size_slug,size_json_path,ollama_ref
72b,profiles/qwen2.5vl/sizes/72b.json,qwen2.5vl:72b
72b-fp16,profiles/qwen2.5vl/sizes/72b-fp16.json,qwen2.5vl:72b-fp16
72b-q4-k-m,profiles/qwen2.5vl/sizes/72b-q4-k-m.json,qwen2.5vl:72b-q4_K_M
72b-q80,profiles/qwen2.5vl/sizes/72b-q80.json,qwen2.5vl:72b-q8_0
32b,profiles/qwen2.5vl/sizes/32b.json,qwen2.5vl:32b
32b-fp16,profiles/qwen2.5vl/sizes/32b-fp16.json,qwen2.5vl:32b-fp16
32b-q4-k-m,profiles/qwen2.5vl/sizes/32b-q4-k-m.json,qwen2.5vl:32b-q4_K_M
32b-q80,profiles/qwen2.5vl/sizes/32b-q80.json,qwen2.5vl:32b-q8_0
7b,profiles/qwen2.5vl/sizes/7b.json,qwen2.5vl:7b
7b-fp16,profiles/qwen2.5vl/sizes/7b-fp16.json,qwen2.5vl:7b-fp16
7b-q4-k-m,profiles/qwen2.5vl/sizes/7b-q4-k-m.json,qwen2.5vl:7b-q4_K_M
7b-q80,profiles/qwen2.5vl/sizes/7b-q80.json,qwen2.5vl:7b-q8_0
3b,profiles/qwen2.5vl/sizes/3b.json,qwen2.5vl:3b
3b-fp16,profiles/qwen2.5vl/sizes/3b-fp16.json,qwen2.5vl:3b-fp16
3b-q4-k-m,profiles/qwen2.5vl/sizes/3b-q4-k-m.json,qwen2.5vl:3b-q4_K_M
3b-q80,profiles/qwen2.5vl/sizes/3b-q80.json,qwen2.5vl:3b-q8_0
latest,profiles/qwen2.5vl/sizes/latest.json,qwen2.5vl:latest
