size_slug,ollama_ref,size_file,fit_status
72b,qwen2:72b,../sizes/72b.json,no_fit
72b-instruct,qwen2:72b-instruct,../sizes/72b-instruct.json,no_fit
72b-instruct-fp16,qwen2:72b-instruct-fp16,../sizes/72b-instruct-fp16.json,no_fit
72b-instruct-q2-k,qwen2:72b-instruct-q2_K,../sizes/72b-instruct-q2-k.json,no_fit
72b-instruct-q3-k-l,qwen2:72b-instruct-q3_K_L,../sizes/72b-instruct-q3-k-l.json,no_fit
72b-instruct-q3-k-m,qwen2:72b-instruct-q3_K_M,../sizes/72b-instruct-q3-k-m.json,no_fit
72b-instruct-q3-k-s,qwen2:72b-instruct-q3_K_S,../sizes/72b-instruct-q3-k-s.json,no_fit
72b-instruct-q4-k-m,qwen2:72b-instruct-q4_K_M,../sizes/72b-instruct-q4-k-m.json,no_fit
72b-instruct-q4-k-s,qwen2:72b-instruct-q4_K_S,../sizes/72b-instruct-q4-k-s.json,no_fit
72b-instruct-q40,qwen2:72b-instruct-q4_0,../sizes/72b-instruct-q40.json,no_fit
72b-instruct-q41,qwen2:72b-instruct-q4_1,../sizes/72b-instruct-q41.json,no_fit
72b-instruct-q5-k-m,qwen2:72b-instruct-q5_K_M,../sizes/72b-instruct-q5-k-m.json,no_fit
72b-instruct-q5-k-s,qwen2:72b-instruct-q5_K_S,../sizes/72b-instruct-q5-k-s.json,no_fit
72b-instruct-q50,qwen2:72b-instruct-q5_0,../sizes/72b-instruct-q50.json,no_fit
72b-instruct-q51,qwen2:72b-instruct-q5_1,../sizes/72b-instruct-q51.json,no_fit
72b-instruct-q6-k,qwen2:72b-instruct-q6_K,../sizes/72b-instruct-q6-k.json,no_fit
72b-instruct-q80,qwen2:72b-instruct-q8_0,../sizes/72b-instruct-q80.json,no_fit
72b-text,qwen2:72b-text,../sizes/72b-text.json,no_fit
72b-text-fp16,qwen2:72b-text-fp16,../sizes/72b-text-fp16.json,no_fit
72b-text-q2-k,qwen2:72b-text-q2_K,../sizes/72b-text-q2-k.json,no_fit
72b-text-q3-k-l,qwen2:72b-text-q3_K_L,../sizes/72b-text-q3-k-l.json,no_fit
72b-text-q3-k-m,qwen2:72b-text-q3_K_M,../sizes/72b-text-q3-k-m.json,no_fit
72b-text-q3-k-s,qwen2:72b-text-q3_K_S,../sizes/72b-text-q3-k-s.json,no_fit
72b-text-q4-k-m,qwen2:72b-text-q4_K_M,../sizes/72b-text-q4-k-m.json,no_fit
72b-text-q4-k-s,qwen2:72b-text-q4_K_S,../sizes/72b-text-q4-k-s.json,no_fit
72b-text-q40,qwen2:72b-text-q4_0,../sizes/72b-text-q40.json,no_fit
72b-text-q41,qwen2:72b-text-q4_1,../sizes/72b-text-q41.json,no_fit
72b-text-q5-k-m,qwen2:72b-text-q5_K_M,../sizes/72b-text-q5-k-m.json,no_fit
72b-text-q5-k-s,qwen2:72b-text-q5_K_S,../sizes/72b-text-q5-k-s.json,no_fit
72b-text-q50,qwen2:72b-text-q5_0,../sizes/72b-text-q50.json,no_fit
72b-text-q51,qwen2:72b-text-q5_1,../sizes/72b-text-q51.json,no_fit
72b-text-q6-k,qwen2:72b-text-q6_K,../sizes/72b-text-q6-k.json,no_fit
72b-text-q80,qwen2:72b-text-q8_0,../sizes/72b-text-q80.json,no_fit
7b,qwen2:7b,../sizes/7b.json,fit
7b-instruct,qwen2:7b-instruct,../sizes/7b-instruct.json,fit
7b-instruct-fp16,qwen2:7b-instruct-fp16,../sizes/7b-instruct-fp16.json,no_fit
7b-instruct-q2-k,qwen2:7b-instruct-q2_K,../sizes/7b-instruct-q2-k.json,fit
7b-instruct-q3-k-l,qwen2:7b-instruct-q3_K_L,../sizes/7b-instruct-q3-k-l.json,fit
7b-instruct-q3-k-m,qwen2:7b-instruct-q3_K_M,../sizes/7b-instruct-q3-k-m.json,fit
7b-instruct-q3-k-s,qwen2:7b-instruct-q3_K_S,../sizes/7b-instruct-q3-k-s.json,fit
7b-instruct-q4-k-m,qwen2:7b-instruct-q4_K_M,../sizes/7b-instruct-q4-k-m.json,fit
7b-instruct-q4-k-s,qwen2:7b-instruct-q4_K_S,../sizes/7b-instruct-q4-k-s.json,fit
7b-instruct-q40,qwen2:7b-instruct-q4_0,../sizes/7b-instruct-q40.json,fit
7b-instruct-q41,qwen2:7b-instruct-q4_1,../sizes/7b-instruct-q41.json,fit
7b-instruct-q5-k-m,qwen2:7b-instruct-q5_K_M,../sizes/7b-instruct-q5-k-m.json,fit
7b-instruct-q5-k-s,qwen2:7b-instruct-q5_K_S,../sizes/7b-instruct-q5-k-s.json,fit
7b-instruct-q50,qwen2:7b-instruct-q5_0,../sizes/7b-instruct-q50.json,fit
7b-instruct-q51,qwen2:7b-instruct-q5_1,../sizes/7b-instruct-q51.json,fit
7b-instruct-q6-k,qwen2:7b-instruct-q6_K,../sizes/7b-instruct-q6-k.json,fit
7b-instruct-q80,qwen2:7b-instruct-q8_0,../sizes/7b-instruct-q80.json,fit
7b-text,qwen2:7b-text,../sizes/7b-text.json,fit
7b-text-q2-k,qwen2:7b-text-q2_K,../sizes/7b-text-q2-k.json,fit
7b-text-q3-k-l,qwen2:7b-text-q3_K_L,../sizes/7b-text-q3-k-l.json,fit
7b-text-q3-k-m,qwen2:7b-text-q3_K_M,../sizes/7b-text-q3-k-m.json,fit
7b-text-q3-k-s,qwen2:7b-text-q3_K_S,../sizes/7b-text-q3-k-s.json,fit
7b-text-q4-k-m,qwen2:7b-text-q4_K_M,../sizes/7b-text-q4-k-m.json,fit
7b-text-q4-k-s,qwen2:7b-text-q4_K_S,../sizes/7b-text-q4-k-s.json,fit
7b-text-q40,qwen2:7b-text-q4_0,../sizes/7b-text-q40.json,fit
7b-text-q41,qwen2:7b-text-q4_1,../sizes/7b-text-q41.json,fit
7b-text-q50,qwen2:7b-text-q5_0,../sizes/7b-text-q50.json,fit
7b-text-q51,qwen2:7b-text-q5_1,../sizes/7b-text-q51.json,fit
7b-text-q80,qwen2:7b-text-q8_0,../sizes/7b-text-q80.json,fit
1.5b,qwen2:1.5b,../sizes/1.5b.json,fit
1.5b-instruct,qwen2:1.5b-instruct,../sizes/1.5b-instruct.json,fit
1.5b-instruct-fp16,qwen2:1.5b-instruct-fp16,../sizes/1.5b-instruct-fp16.json,fit
1.5b-instruct-q2-k,qwen2:1.5b-instruct-q2_K,../sizes/1.5b-instruct-q2-k.json,fit
1.5b-instruct-q3-k-l,qwen2:1.5b-instruct-q3_K_L,../sizes/1.5b-instruct-q3-k-l.json,fit
1.5b-instruct-q3-k-m,qwen2:1.5b-instruct-q3_K_M,../sizes/1.5b-instruct-q3-k-m.json,fit
1.5b-instruct-q3-k-s,qwen2:1.5b-instruct-q3_K_S,../sizes/1.5b-instruct-q3-k-s.json,fit
1.5b-instruct-q4-k-m,qwen2:1.5b-instruct-q4_K_M,../sizes/1.5b-instruct-q4-k-m.json,fit
