size_slug,ollama_ref,size_file,fit_status
30b,qwen3:30b,../sizes/30b.json,not_listed_in_agents_selection
30b-a3b,qwen3:30b-a3b,../sizes/30b-a3b.json,not_listed_in_agents_selection
30b-a3b-fp16,qwen3:30b-a3b-fp16,../sizes/30b-a3b-fp16.json,not_listed_in_agents_selection
30b-a3b-instruct-2507-fp16,qwen3:30b-a3b-instruct-2507-fp16,../sizes/30b-a3b-instruct-2507-fp16.json,not_listed_in_agents_selection
30b-a3b-instruct-2507-q4_k_m,qwen3:30b-a3b-instruct-2507-q4_K_M,../sizes/30b-a3b-instruct-2507-q4_k_m.json,not_listed_in_agents_selection
30b-a3b-instruct-2507-q8_0,qwen3:30b-a3b-instruct-2507-q8_0,../sizes/30b-a3b-instruct-2507-q8_0.json,not_listed_in_agents_selection
30b-a3b-q4_k_m,qwen3:30b-a3b-q4_K_M,../sizes/30b-a3b-q4_k_m.json,not_listed_in_agents_selection
30b-a3b-q8_0,qwen3:30b-a3b-q8_0,../sizes/30b-a3b-q8_0.json,not_listed_in_agents_selection
30b-a3b-thinking-2507-fp16,qwen3:30b-a3b-thinking-2507-fp16,../sizes/30b-a3b-thinking-2507-fp16.json,not_listed_in_agents_selection
30b-a3b-thinking-2507-q4_k_m,qwen3:30b-a3b-thinking-2507-q4_K_M,../sizes/30b-a3b-thinking-2507-q4_k_m.json,not_listed_in_agents_selection
30b-a3b-thinking-2507-q8_0,qwen3:30b-a3b-thinking-2507-q8_0,../sizes/30b-a3b-thinking-2507-q8_0.json,not_listed_in_agents_selection
30b-instruct,qwen3:30b-instruct,../sizes/30b-instruct.json,not_listed_in_agents_selection
30b-thinking,qwen3:30b-thinking,../sizes/30b-thinking.json,not_listed_in_agents_selection
