size_slug,ollama_ref,size_file,fit_status
235b,qwen3-vl:235b,../sizes/235b.json,not_listed_in_agents_selection
235b-a22b,qwen3-vl:235b-a22b,../sizes/235b-a22b.json,not_listed_in_agents_selection
235b-a22b-instruct,qwen3-vl:235b-a22b-instruct,../sizes/235b-a22b-instruct.json,not_listed_in_agents_selection
235b-a22b-instruct-bf16,qwen3-vl:235b-a22b-instruct-bf16,../sizes/235b-a22b-instruct-bf16.json,not_listed_in_agents_selection
235b-a22b-instruct-q4_k_m,qwen3-vl:235b-a22b-instruct-q4_K_M,../sizes/235b-a22b-instruct-q4_k_m.json,not_listed_in_agents_selection
235b-a22b-instruct-q8_0,qwen3-vl:235b-a22b-instruct-q8_0,../sizes/235b-a22b-instruct-q8_0.json,not_listed_in_agents_selection
235b-a22b-thinking,qwen3-vl:235b-a22b-thinking,../sizes/235b-a22b-thinking.json,not_listed_in_agents_selection
235b-a22b-thinking-bf16,qwen3-vl:235b-a22b-thinking-bf16,../sizes/235b-a22b-thinking-bf16.json,not_listed_in_agents_selection
235b-a22b-thinking-q4_k_m,qwen3-vl:235b-a22b-thinking-q4_K_M,../sizes/235b-a22b-thinking-q4_k_m.json,not_listed_in_agents_selection
235b-a22b-thinking-q8_0,qwen3-vl:235b-a22b-thinking-q8_0,../sizes/235b-a22b-thinking-q8_0.json,not_listed_in_agents_selection
