size_slug,ollama_ref,size_file,fit_status
8b,qwen3-vl:8b,../sizes/8b.json,not_listed_in_agents_selection
8b-instruct,qwen3-vl:8b-instruct,../sizes/8b-instruct.json,not_listed_in_agents_selection
8b-instruct-bf16,qwen3-vl:8b-instruct-bf16,../sizes/8b-instruct-bf16.json,not_listed_in_agents_selection
8b-instruct-q4_k_m,qwen3-vl:8b-instruct-q4_K_M,../sizes/8b-instruct-q4_k_m.json,not_listed_in_agents_selection
8b-instruct-q8_0,qwen3-vl:8b-instruct-q8_0,../sizes/8b-instruct-q8_0.json,not_listed_in_agents_selection
8b-thinking,qwen3-vl:8b-thinking,../sizes/8b-thinking.json,not_listed_in_agents_selection
8b-thinking-bf16,qwen3-vl:8b-thinking-bf16,../sizes/8b-thinking-bf16.json,not_listed_in_agents_selection
8b-thinking-q4_k_m,qwen3-vl:8b-thinking-q4_K_M,../sizes/8b-thinking-q4_k_m.json,not_listed_in_agents_selection
8b-thinking-q8_0,qwen3-vl:8b-thinking-q8_0,../sizes/8b-thinking-q8_0.json,not_listed_in_agents_selection
latest,qwen3-vl:latest,../sizes/latest.json,not_listed_in_agents_selection
