size_slug,ollama_ref,size_file,fit_status
7b,samantha-mistral:7b,../sizes/7b.json,fit
7b-instruct-fp16,samantha-mistral:7b-instruct-fp16,../sizes/7b-instruct-fp16.json,no_fit
7b-instruct-q2-k,samantha-mistral:7b-instruct-q2_K,../sizes/7b-instruct-q2-k.json,fit
7b-instruct-q3-k-l,samantha-mistral:7b-instruct-q3_K_L,../sizes/7b-instruct-q3-k-l.json,fit
7b-instruct-q3-k-m,samantha-mistral:7b-instruct-q3_K_M,../sizes/7b-instruct-q3-k-m.json,fit
7b-instruct-q3-k-s,samantha-mistral:7b-instruct-q3_K_S,../sizes/7b-instruct-q3-k-s.json,fit
7b-instruct-q4-k-m,samantha-mistral:7b-instruct-q4_K_M,../sizes/7b-instruct-q4-k-m.json,fit
7b-instruct-q4-k-s,samantha-mistral:7b-instruct-q4_K_S,../sizes/7b-instruct-q4-k-s.json,fit
7b-instruct-q40,samantha-mistral:7b-instruct-q4_0,../sizes/7b-instruct-q40.json,fit
7b-instruct-q41,samantha-mistral:7b-instruct-q4_1,../sizes/7b-instruct-q41.json,fit
7b-instruct-q5-k-m,samantha-mistral:7b-instruct-q5_K_M,../sizes/7b-instruct-q5-k-m.json,fit
7b-instruct-q5-k-s,samantha-mistral:7b-instruct-q5_K_S,../sizes/7b-instruct-q5-k-s.json,fit
7b-instruct-q50,samantha-mistral:7b-instruct-q5_0,../sizes/7b-instruct-q50.json,fit
7b-instruct-q51,samantha-mistral:7b-instruct-q5_1,../sizes/7b-instruct-q51.json,fit
7b-instruct-q6-k,samantha-mistral:7b-instruct-q6_K,../sizes/7b-instruct-q6-k.json,fit
7b-instruct-q80,samantha-mistral:7b-instruct-q8_0,../sizes/7b-instruct-q80.json,fit
7b-text,samantha-mistral:7b-text,../sizes/7b-text.json,fit
7b-text-fp16,samantha-mistral:7b-text-fp16,../sizes/7b-text-fp16.json,no_fit
7b-text-q2-k,samantha-mistral:7b-text-q2_K,../sizes/7b-text-q2-k.json,fit
7b-text-q3-k-l,samantha-mistral:7b-text-q3_K_L,../sizes/7b-text-q3-k-l.json,fit
7b-text-q3-k-m,samantha-mistral:7b-text-q3_K_M,../sizes/7b-text-q3-k-m.json,fit
7b-text-q3-k-s,samantha-mistral:7b-text-q3_K_S,../sizes/7b-text-q3-k-s.json,fit
7b-text-q4-k-m,samantha-mistral:7b-text-q4_K_M,../sizes/7b-text-q4-k-m.json,fit
7b-text-q4-k-s,samantha-mistral:7b-text-q4_K_S,../sizes/7b-text-q4-k-s.json,fit
7b-text-q40,samantha-mistral:7b-text-q4_0,../sizes/7b-text-q40.json,fit
7b-text-q41,samantha-mistral:7b-text-q4_1,../sizes/7b-text-q41.json,fit
7b-text-q5-k-m,samantha-mistral:7b-text-q5_K_M,../sizes/7b-text-q5-k-m.json,fit
7b-text-q5-k-s,samantha-mistral:7b-text-q5_K_S,../sizes/7b-text-q5-k-s.json,fit
7b-text-q50,samantha-mistral:7b-text-q5_0,../sizes/7b-text-q50.json,fit
7b-text-q51,samantha-mistral:7b-text-q5_1,../sizes/7b-text-q51.json,fit
7b-text-q6-k,samantha-mistral:7b-text-q6_K,../sizes/7b-text-q6-k.json,fit
7b-text-q80,samantha-mistral:7b-text-q8_0,../sizes/7b-text-q80.json,fit
7b-v1.2-text,samantha-mistral:7b-v1.2-text,../sizes/7b-v1.2-text.json,fit
7b-v1.2-text-fp16,samantha-mistral:7b-v1.2-text-fp16,../sizes/7b-v1.2-text-fp16.json,no_fit
7b-v1.2-text-q2-k,samantha-mistral:7b-v1.2-text-q2_K,../sizes/7b-v1.2-text-q2-k.json,fit
7b-v1.2-text-q3-k-l,samantha-mistral:7b-v1.2-text-q3_K_L,../sizes/7b-v1.2-text-q3-k-l.json,fit
7b-v1.2-text-q3-k-m,samantha-mistral:7b-v1.2-text-q3_K_M,../sizes/7b-v1.2-text-q3-k-m.json,fit
7b-v1.2-text-q3-k-s,samantha-mistral:7b-v1.2-text-q3_K_S,../sizes/7b-v1.2-text-q3-k-s.json,fit
7b-v1.2-text-q4-k-m,samantha-mistral:7b-v1.2-text-q4_K_M,../sizes/7b-v1.2-text-q4-k-m.json,fit
7b-v1.2-text-q4-k-s,samantha-mistral:7b-v1.2-text-q4_K_S,../sizes/7b-v1.2-text-q4-k-s.json,fit
7b-v1.2-text-q40,samantha-mistral:7b-v1.2-text-q4_0,../sizes/7b-v1.2-text-q40.json,fit
7b-v1.2-text-q41,samantha-mistral:7b-v1.2-text-q4_1,../sizes/7b-v1.2-text-q41.json,fit
7b-v1.2-text-q5-k-m,samantha-mistral:7b-v1.2-text-q5_K_M,../sizes/7b-v1.2-text-q5-k-m.json,fit
7b-v1.2-text-q5-k-s,samantha-mistral:7b-v1.2-text-q5_K_S,../sizes/7b-v1.2-text-q5-k-s.json,fit
7b-v1.2-text-q50,samantha-mistral:7b-v1.2-text-q5_0,../sizes/7b-v1.2-text-q50.json,fit
7b-v1.2-text-q51,samantha-mistral:7b-v1.2-text-q5_1,../sizes/7b-v1.2-text-q51.json,fit
7b-v1.2-text-q6-k,samantha-mistral:7b-v1.2-text-q6_K,../sizes/7b-v1.2-text-q6-k.json,fit
7b-v1.2-text-q80,samantha-mistral:7b-v1.2-text-q8_0,../sizes/7b-v1.2-text-q80.json,fit
latest,samantha-mistral:latest,../sizes/latest.json,fit
