size_slug,ollama_ref,size_file
27b,shieldgemma:27b,sizes/27b.json
27b-fp16,shieldgemma:27b-fp16,sizes/27b-fp16.json
27b-q2_k,shieldgemma:27b-q2_K,sizes/27b-q2_k.json
27b-q3_k_l,shieldgemma:27b-q3_K_L,sizes/27b-q3_k_l.json
27b-q3_k_m,shieldgemma:27b-q3_K_M,sizes/27b-q3_k_m.json
27b-q3_k_s,shieldgemma:27b-q3_K_S,sizes/27b-q3_k_s.json
27b-q4_0,shieldgemma:27b-q4_0,sizes/27b-q4_0.json
27b-q4_1,shieldgemma:27b-q4_1,sizes/27b-q4_1.json
27b-q4_k_m,shieldgemma:27b-q4_K_M,sizes/27b-q4_k_m.json
27b-q4_k_s,shieldgemma:27b-q4_K_S,sizes/27b-q4_k_s.json
27b-q5_0,shieldgemma:27b-q5_0,sizes/27b-q5_0.json
27b-q5_1,shieldgemma:27b-q5_1,sizes/27b-q5_1.json
27b-q5_k_m,shieldgemma:27b-q5_K_M,sizes/27b-q5_k_m.json
27b-q5_k_s,shieldgemma:27b-q5_K_S,sizes/27b-q5_k_s.json
27b-q6_k,shieldgemma:27b-q6_K,sizes/27b-q6_k.json
27b-q8_0,shieldgemma:27b-q8_0,sizes/27b-q8_0.json
