size_slug,ollama_ref,size_file,fit_status
27b,shieldgemma:27b,../sizes/27b.json,not_listed_in_agents_selection
27b-fp16,shieldgemma:27b-fp16,../sizes/27b-fp16.json,not_listed_in_agents_selection
27b-q2_k,shieldgemma:27b-q2_K,../sizes/27b-q2_k.json,not_listed_in_agents_selection
27b-q3_k_l,shieldgemma:27b-q3_K_L,../sizes/27b-q3_k_l.json,not_listed_in_agents_selection
27b-q3_k_m,shieldgemma:27b-q3_K_M,../sizes/27b-q3_k_m.json,not_listed_in_agents_selection
27b-q3_k_s,shieldgemma:27b-q3_K_S,../sizes/27b-q3_k_s.json,not_listed_in_agents_selection
27b-q4_0,shieldgemma:27b-q4_0,../sizes/27b-q4_0.json,not_listed_in_agents_selection
27b-q4_1,shieldgemma:27b-q4_1,../sizes/27b-q4_1.json,not_listed_in_agents_selection
27b-q4_k_m,shieldgemma:27b-q4_K_M,../sizes/27b-q4_k_m.json,not_listed_in_agents_selection
27b-q4_k_s,shieldgemma:27b-q4_K_S,../sizes/27b-q4_k_s.json,not_listed_in_agents_selection
27b-q5_0,shieldgemma:27b-q5_0,../sizes/27b-q5_0.json,not_listed_in_agents_selection
27b-q5_1,shieldgemma:27b-q5_1,../sizes/27b-q5_1.json,not_listed_in_agents_selection
27b-q5_k_m,shieldgemma:27b-q5_K_M,../sizes/27b-q5_k_m.json,not_listed_in_agents_selection
27b-q5_k_s,shieldgemma:27b-q5_K_S,../sizes/27b-q5_k_s.json,not_listed_in_agents_selection
27b-q6_k,shieldgemma:27b-q6_K,../sizes/27b-q6_k.json,not_listed_in_agents_selection
27b-q8_0,shieldgemma:27b-q8_0,../sizes/27b-q8_0.json,not_listed_in_agents_selection
