size_slug,ollama_ref,size_file,fit_status
27b,shieldgemma:27b,../sizes/27b.json,no_fit
27b-fp16,shieldgemma:27b-fp16,../sizes/27b-fp16.json,no_fit
27b-q2-k,shieldgemma:27b-q2_K,../sizes/27b-q2-k.json,no_fit
27b-q3-k-l,shieldgemma:27b-q3_K_L,../sizes/27b-q3-k-l.json,no_fit
27b-q3-k-m,shieldgemma:27b-q3_K_M,../sizes/27b-q3-k-m.json,no_fit
27b-q3-k-s,shieldgemma:27b-q3_K_S,../sizes/27b-q3-k-s.json,no_fit
27b-q4-k-m,shieldgemma:27b-q4_K_M,../sizes/27b-q4-k-m.json,no_fit
27b-q4-k-s,shieldgemma:27b-q4_K_S,../sizes/27b-q4-k-s.json,no_fit
27b-q40,shieldgemma:27b-q4_0,../sizes/27b-q40.json,no_fit
27b-q41,shieldgemma:27b-q4_1,../sizes/27b-q41.json,no_fit
27b-q5-k-m,shieldgemma:27b-q5_K_M,../sizes/27b-q5-k-m.json,no_fit
27b-q5-k-s,shieldgemma:27b-q5_K_S,../sizes/27b-q5-k-s.json,no_fit
27b-q50,shieldgemma:27b-q5_0,../sizes/27b-q50.json,no_fit
27b-q51,shieldgemma:27b-q5_1,../sizes/27b-q51.json,no_fit
27b-q6-k,shieldgemma:27b-q6_K,../sizes/27b-q6-k.json,no_fit
27b-q80,shieldgemma:27b-q8_0,../sizes/27b-q80.json,no_fit
9b,shieldgemma:9b,../sizes/9b.json,no_fit
9b-fp16,shieldgemma:9b-fp16,../sizes/9b-fp16.json,no_fit
9b-q2-k,shieldgemma:9b-q2_K,../sizes/9b-q2-k.json,unknown
9b-q3-k-l,shieldgemma:9b-q3_K_L,../sizes/9b-q3-k-l.json,no_fit
9b-q3-k-m,shieldgemma:9b-q3_K_M,../sizes/9b-q3-k-m.json,unknown
9b-q3-k-s,shieldgemma:9b-q3_K_S,../sizes/9b-q3-k-s.json,unknown
9b-q4-k-m,shieldgemma:9b-q4_K_M,../sizes/9b-q4-k-m.json,no_fit
9b-q4-k-s,shieldgemma:9b-q4_K_S,../sizes/9b-q4-k-s.json,no_fit
9b-q40,shieldgemma:9b-q4_0,../sizes/9b-q40.json,no_fit
9b-q41,shieldgemma:9b-q4_1,../sizes/9b-q41.json,no_fit
9b-q5-k-m,shieldgemma:9b-q5_K_M,../sizes/9b-q5-k-m.json,no_fit
9b-q5-k-s,shieldgemma:9b-q5_K_S,../sizes/9b-q5-k-s.json,no_fit
9b-q50,shieldgemma:9b-q5_0,../sizes/9b-q50.json,no_fit
9b-q51,shieldgemma:9b-q5_1,../sizes/9b-q51.json,no_fit
9b-q6-k,shieldgemma:9b-q6_K,../sizes/9b-q6-k.json,no_fit
9b-q80,shieldgemma:9b-q8_0,../sizes/9b-q80.json,no_fit
2b,shieldgemma:2b,../sizes/2b.json,unknown
2b-fp16,shieldgemma:2b-fp16,../sizes/2b-fp16.json,unknown
2b-q2-k,shieldgemma:2b-q2_K,../sizes/2b-q2-k.json,unknown
2b-q3-k-l,shieldgemma:2b-q3_K_L,../sizes/2b-q3-k-l.json,unknown
2b-q3-k-m,shieldgemma:2b-q3_K_M,../sizes/2b-q3-k-m.json,unknown
2b-q3-k-s,shieldgemma:2b-q3_K_S,../sizes/2b-q3-k-s.json,unknown
2b-q4-k-m,shieldgemma:2b-q4_K_M,../sizes/2b-q4-k-m.json,unknown
2b-q4-k-s,shieldgemma:2b-q4_K_S,../sizes/2b-q4-k-s.json,unknown
2b-q40,shieldgemma:2b-q4_0,../sizes/2b-q40.json,unknown
2b-q41,shieldgemma:2b-q4_1,../sizes/2b-q41.json,unknown
2b-q5-k-m,shieldgemma:2b-q5_K_M,../sizes/2b-q5-k-m.json,unknown
2b-q5-k-s,shieldgemma:2b-q5_K_S,../sizes/2b-q5-k-s.json,unknown
2b-q50,shieldgemma:2b-q5_0,../sizes/2b-q50.json,unknown
2b-q51,shieldgemma:2b-q5_1,../sizes/2b-q51.json,unknown
2b-q6-k,shieldgemma:2b-q6_K,../sizes/2b-q6-k.json,unknown
2b-q80,shieldgemma:2b-q8_0,../sizes/2b-q80.json,unknown
latest,shieldgemma:latest,../sizes/latest.json,unknown
