size_slug,ollama_ref,size_file,fit_status
1.7b,smollm:1.7b,../sizes/1.7b.json,fit
1.7b-base-v0.2-fp16,smollm:1.7b-base-v0.2-fp16,../sizes/1.7b-base-v0.2-fp16.json,no_fit
1.7b-base-v0.2-q2-k,smollm:1.7b-base-v0.2-q2_K,../sizes/1.7b-base-v0.2-q2-k.json,fit
1.7b-base-v0.2-q3-k-l,smollm:1.7b-base-v0.2-q3_K_L,../sizes/1.7b-base-v0.2-q3-k-l.json,fit
1.7b-base-v0.2-q3-k-m,smollm:1.7b-base-v0.2-q3_K_M,../sizes/1.7b-base-v0.2-q3-k-m.json,fit
1.7b-base-v0.2-q3-k-s,smollm:1.7b-base-v0.2-q3_K_S,../sizes/1.7b-base-v0.2-q3-k-s.json,fit
1.7b-base-v0.2-q4-k-m,smollm:1.7b-base-v0.2-q4_K_M,../sizes/1.7b-base-v0.2-q4-k-m.json,fit
1.7b-base-v0.2-q4-k-s,smollm:1.7b-base-v0.2-q4_K_S,../sizes/1.7b-base-v0.2-q4-k-s.json,fit
1.7b-base-v0.2-q40,smollm:1.7b-base-v0.2-q4_0,../sizes/1.7b-base-v0.2-q40.json,fit
1.7b-base-v0.2-q41,smollm:1.7b-base-v0.2-q4_1,../sizes/1.7b-base-v0.2-q41.json,fit
1.7b-base-v0.2-q5-k-m,smollm:1.7b-base-v0.2-q5_K_M,../sizes/1.7b-base-v0.2-q5-k-m.json,fit
1.7b-base-v0.2-q5-k-s,smollm:1.7b-base-v0.2-q5_K_S,../sizes/1.7b-base-v0.2-q5-k-s.json,fit
1.7b-base-v0.2-q50,smollm:1.7b-base-v0.2-q5_0,../sizes/1.7b-base-v0.2-q50.json,fit
1.7b-base-v0.2-q51,smollm:1.7b-base-v0.2-q5_1,../sizes/1.7b-base-v0.2-q51.json,fit
1.7b-base-v0.2-q6-k,smollm:1.7b-base-v0.2-q6_K,../sizes/1.7b-base-v0.2-q6-k.json,fit
1.7b-base-v0.2-q80,smollm:1.7b-base-v0.2-q8_0,../sizes/1.7b-base-v0.2-q80.json,fit
1.7b-instruct-v0.2-fp16,smollm:1.7b-instruct-v0.2-fp16,../sizes/1.7b-instruct-v0.2-fp16.json,no_fit
1.7b-instruct-v0.2-q2-k,smollm:1.7b-instruct-v0.2-q2_K,../sizes/1.7b-instruct-v0.2-q2-k.json,fit
1.7b-instruct-v0.2-q3-k-l,smollm:1.7b-instruct-v0.2-q3_K_L,../sizes/1.7b-instruct-v0.2-q3-k-l.json,fit
1.7b-instruct-v0.2-q3-k-m,smollm:1.7b-instruct-v0.2-q3_K_M,../sizes/1.7b-instruct-v0.2-q3-k-m.json,fit
1.7b-instruct-v0.2-q3-k-s,smollm:1.7b-instruct-v0.2-q3_K_S,../sizes/1.7b-instruct-v0.2-q3-k-s.json,fit
1.7b-instruct-v0.2-q4-k-m,smollm:1.7b-instruct-v0.2-q4_K_M,../sizes/1.7b-instruct-v0.2-q4-k-m.json,fit
1.7b-instruct-v0.2-q4-k-s,smollm:1.7b-instruct-v0.2-q4_K_S,../sizes/1.7b-instruct-v0.2-q4-k-s.json,fit
1.7b-instruct-v0.2-q40,smollm:1.7b-instruct-v0.2-q4_0,../sizes/1.7b-instruct-v0.2-q40.json,fit
1.7b-instruct-v0.2-q41,smollm:1.7b-instruct-v0.2-q4_1,../sizes/1.7b-instruct-v0.2-q41.json,fit
1.7b-instruct-v0.2-q5-k-m,smollm:1.7b-instruct-v0.2-q5_K_M,../sizes/1.7b-instruct-v0.2-q5-k-m.json,fit
1.7b-instruct-v0.2-q5-k-s,smollm:1.7b-instruct-v0.2-q5_K_S,../sizes/1.7b-instruct-v0.2-q5-k-s.json,fit
1.7b-instruct-v0.2-q50,smollm:1.7b-instruct-v0.2-q5_0,../sizes/1.7b-instruct-v0.2-q50.json,fit
1.7b-instruct-v0.2-q51,smollm:1.7b-instruct-v0.2-q5_1,../sizes/1.7b-instruct-v0.2-q51.json,fit
1.7b-instruct-v0.2-q6-k,smollm:1.7b-instruct-v0.2-q6_K,../sizes/1.7b-instruct-v0.2-q6-k.json,fit
1.7b-instruct-v0.2-q80,smollm:1.7b-instruct-v0.2-q8_0,../sizes/1.7b-instruct-v0.2-q80.json,fit
360m,smollm:360m,../sizes/360m.json,fit
360m-base-v0.2-fp16,smollm:360m-base-v0.2-fp16,../sizes/360m-base-v0.2-fp16.json,fit
360m-base-v0.2-q2-k,smollm:360m-base-v0.2-q2_K,../sizes/360m-base-v0.2-q2-k.json,fit
360m-base-v0.2-q3-k-l,smollm:360m-base-v0.2-q3_K_L,../sizes/360m-base-v0.2-q3-k-l.json,fit
360m-base-v0.2-q3-k-m,smollm:360m-base-v0.2-q3_K_M,../sizes/360m-base-v0.2-q3-k-m.json,fit
360m-base-v0.2-q3-k-s,smollm:360m-base-v0.2-q3_K_S,../sizes/360m-base-v0.2-q3-k-s.json,fit
360m-base-v0.2-q4-k-m,smollm:360m-base-v0.2-q4_K_M,../sizes/360m-base-v0.2-q4-k-m.json,fit
360m-base-v0.2-q4-k-s,smollm:360m-base-v0.2-q4_K_S,../sizes/360m-base-v0.2-q4-k-s.json,fit
360m-base-v0.2-q40,smollm:360m-base-v0.2-q4_0,../sizes/360m-base-v0.2-q40.json,fit
360m-base-v0.2-q41,smollm:360m-base-v0.2-q4_1,../sizes/360m-base-v0.2-q41.json,fit
360m-base-v0.2-q5-k-m,smollm:360m-base-v0.2-q5_K_M,../sizes/360m-base-v0.2-q5-k-m.json,fit
360m-base-v0.2-q5-k-s,smollm:360m-base-v0.2-q5_K_S,../sizes/360m-base-v0.2-q5-k-s.json,fit
360m-base-v0.2-q50,smollm:360m-base-v0.2-q5_0,../sizes/360m-base-v0.2-q50.json,fit
360m-base-v0.2-q51,smollm:360m-base-v0.2-q5_1,../sizes/360m-base-v0.2-q51.json,fit
360m-base-v0.2-q6-k,smollm:360m-base-v0.2-q6_K,../sizes/360m-base-v0.2-q6-k.json,fit
360m-base-v0.2-q80,smollm:360m-base-v0.2-q8_0,../sizes/360m-base-v0.2-q80.json,fit
360m-instruct-v0.2-fp16,smollm:360m-instruct-v0.2-fp16,../sizes/360m-instruct-v0.2-fp16.json,fit
360m-instruct-v0.2-q2-k,smollm:360m-instruct-v0.2-q2_K,../sizes/360m-instruct-v0.2-q2-k.json,fit
360m-instruct-v0.2-q3-k-l,smollm:360m-instruct-v0.2-q3_K_L,../sizes/360m-instruct-v0.2-q3-k-l.json,fit
360m-instruct-v0.2-q3-k-m,smollm:360m-instruct-v0.2-q3_K_M,../sizes/360m-instruct-v0.2-q3-k-m.json,fit
360m-instruct-v0.2-q3-k-s,smollm:360m-instruct-v0.2-q3_K_S,../sizes/360m-instruct-v0.2-q3-k-s.json,fit
360m-instruct-v0.2-q4-k-m,smollm:360m-instruct-v0.2-q4_K_M,../sizes/360m-instruct-v0.2-q4-k-m.json,fit
360m-instruct-v0.2-q4-k-s,smollm:360m-instruct-v0.2-q4_K_S,../sizes/360m-instruct-v0.2-q4-k-s.json,fit
360m-instruct-v0.2-q40,smollm:360m-instruct-v0.2-q4_0,../sizes/360m-instruct-v0.2-q40.json,fit
360m-instruct-v0.2-q41,smollm:360m-instruct-v0.2-q4_1,../sizes/360m-instruct-v0.2-q41.json,fit
360m-instruct-v0.2-q5-k-m,smollm:360m-instruct-v0.2-q5_K_M,../sizes/360m-instruct-v0.2-q5-k-m.json,fit
360m-instruct-v0.2-q5-k-s,smollm:360m-instruct-v0.2-q5_K_S,../sizes/360m-instruct-v0.2-q5-k-s.json,fit
360m-instruct-v0.2-q50,smollm:360m-instruct-v0.2-q5_0,../sizes/360m-instruct-v0.2-q50.json,fit
360m-instruct-v0.2-q51,smollm:360m-instruct-v0.2-q5_1,../sizes/360m-instruct-v0.2-q51.json,fit
360m-instruct-v0.2-q6-k,smollm:360m-instruct-v0.2-q6_K,../sizes/360m-instruct-v0.2-q6-k.json,fit
360m-instruct-v0.2-q80,smollm:360m-instruct-v0.2-q8_0,../sizes/360m-instruct-v0.2-q80.json,fit
135m,smollm:135m,../sizes/135m.json,fit
135m-base-v0.2-fp16,smollm:135m-base-v0.2-fp16,../sizes/135m-base-v0.2-fp16.json,fit
135m-base-v0.2-q2-k,smollm:135m-base-v0.2-q2_K,../sizes/135m-base-v0.2-q2-k.json,fit
135m-base-v0.2-q3-k-l,smollm:135m-base-v0.2-q3_K_L,../sizes/135m-base-v0.2-q3-k-l.json,fit
135m-base-v0.2-q3-k-m,smollm:135m-base-v0.2-q3_K_M,../sizes/135m-base-v0.2-q3-k-m.json,fit
135m-base-v0.2-q3-k-s,smollm:135m-base-v0.2-q3_K_S,../sizes/135m-base-v0.2-q3-k-s.json,fit
135m-base-v0.2-q4-k-m,smollm:135m-base-v0.2-q4_K_M,../sizes/135m-base-v0.2-q4-k-m.json,fit
135m-base-v0.2-q4-k-s,smollm:135m-base-v0.2-q4_K_S,../sizes/135m-base-v0.2-q4-k-s.json,fit
135m-base-v0.2-q40,smollm:135m-base-v0.2-q4_0,../sizes/135m-base-v0.2-q40.json,fit
135m-base-v0.2-q41,smollm:135m-base-v0.2-q4_1,../sizes/135m-base-v0.2-q41.json,fit
135m-base-v0.2-q5-k-m,smollm:135m-base-v0.2-q5_K_M,../sizes/135m-base-v0.2-q5-k-m.json,fit
135m-base-v0.2-q5-k-s,smollm:135m-base-v0.2-q5_K_S,../sizes/135m-base-v0.2-q5-k-s.json,fit
135m-base-v0.2-q50,smollm:135m-base-v0.2-q5_0,../sizes/135m-base-v0.2-q50.json,fit
135m-base-v0.2-q51,smollm:135m-base-v0.2-q5_1,../sizes/135m-base-v0.2-q51.json,fit
135m-base-v0.2-q6-k,smollm:135m-base-v0.2-q6_K,../sizes/135m-base-v0.2-q6-k.json,fit
135m-base-v0.2-q80,smollm:135m-base-v0.2-q8_0,../sizes/135m-base-v0.2-q80.json,fit
135m-instruct-v0.2-fp16,smollm:135m-instruct-v0.2-fp16,../sizes/135m-instruct-v0.2-fp16.json,fit
