size_slug,size_json_path,ollama_ref
1.7b,profiles/smollm2/sizes/1.7b.json,smollm2:1.7b
1.7b-instruct-fp16,profiles/smollm2/sizes/1.7b-instruct-fp16.json,smollm2:1.7b-instruct-fp16
1.7b-instruct-q2-k,profiles/smollm2/sizes/1.7b-instruct-q2-k.json,smollm2:1.7b-instruct-q2_K
1.7b-instruct-q3-k-l,profiles/smollm2/sizes/1.7b-instruct-q3-k-l.json,smollm2:1.7b-instruct-q3_K_L
1.7b-instruct-q3-k-m,profiles/smollm2/sizes/1.7b-instruct-q3-k-m.json,smollm2:1.7b-instruct-q3_K_M
1.7b-instruct-q3-k-s,profiles/smollm2/sizes/1.7b-instruct-q3-k-s.json,smollm2:1.7b-instruct-q3_K_S
1.7b-instruct-q4-k-m,profiles/smollm2/sizes/1.7b-instruct-q4-k-m.json,smollm2:1.7b-instruct-q4_K_M
1.7b-instruct-q4-k-s,profiles/smollm2/sizes/1.7b-instruct-q4-k-s.json,smollm2:1.7b-instruct-q4_K_S
1.7b-instruct-q40,profiles/smollm2/sizes/1.7b-instruct-q40.json,smollm2:1.7b-instruct-q4_0
1.7b-instruct-q41,profiles/smollm2/sizes/1.7b-instruct-q41.json,smollm2:1.7b-instruct-q4_1
1.7b-instruct-q5-k-m,profiles/smollm2/sizes/1.7b-instruct-q5-k-m.json,smollm2:1.7b-instruct-q5_K_M
1.7b-instruct-q5-k-s,profiles/smollm2/sizes/1.7b-instruct-q5-k-s.json,smollm2:1.7b-instruct-q5_K_S
1.7b-instruct-q50,profiles/smollm2/sizes/1.7b-instruct-q50.json,smollm2:1.7b-instruct-q5_0
1.7b-instruct-q51,profiles/smollm2/sizes/1.7b-instruct-q51.json,smollm2:1.7b-instruct-q5_1
1.7b-instruct-q6-k,profiles/smollm2/sizes/1.7b-instruct-q6-k.json,smollm2:1.7b-instruct-q6_K
1.7b-instruct-q80,profiles/smollm2/sizes/1.7b-instruct-q80.json,smollm2:1.7b-instruct-q8_0
360m,profiles/smollm2/sizes/360m.json,smollm2:360m
360m-instruct-fp16,profiles/smollm2/sizes/360m-instruct-fp16.json,smollm2:360m-instruct-fp16
360m-instruct-q2-k,profiles/smollm2/sizes/360m-instruct-q2-k.json,smollm2:360m-instruct-q2_K
360m-instruct-q3-k-l,profiles/smollm2/sizes/360m-instruct-q3-k-l.json,smollm2:360m-instruct-q3_K_L
360m-instruct-q3-k-m,profiles/smollm2/sizes/360m-instruct-q3-k-m.json,smollm2:360m-instruct-q3_K_M
360m-instruct-q3-k-s,profiles/smollm2/sizes/360m-instruct-q3-k-s.json,smollm2:360m-instruct-q3_K_S
360m-instruct-q4-k-m,profiles/smollm2/sizes/360m-instruct-q4-k-m.json,smollm2:360m-instruct-q4_K_M
360m-instruct-q4-k-s,profiles/smollm2/sizes/360m-instruct-q4-k-s.json,smollm2:360m-instruct-q4_K_S
360m-instruct-q40,profiles/smollm2/sizes/360m-instruct-q40.json,smollm2:360m-instruct-q4_0
360m-instruct-q41,profiles/smollm2/sizes/360m-instruct-q41.json,smollm2:360m-instruct-q4_1
360m-instruct-q5-k-m,profiles/smollm2/sizes/360m-instruct-q5-k-m.json,smollm2:360m-instruct-q5_K_M
360m-instruct-q5-k-s,profiles/smollm2/sizes/360m-instruct-q5-k-s.json,smollm2:360m-instruct-q5_K_S
360m-instruct-q50,profiles/smollm2/sizes/360m-instruct-q50.json,smollm2:360m-instruct-q5_0
360m-instruct-q51,profiles/smollm2/sizes/360m-instruct-q51.json,smollm2:360m-instruct-q5_1
360m-instruct-q6-k,profiles/smollm2/sizes/360m-instruct-q6-k.json,smollm2:360m-instruct-q6_K
360m-instruct-q80,profiles/smollm2/sizes/360m-instruct-q80.json,smollm2:360m-instruct-q8_0
135m,profiles/smollm2/sizes/135m.json,smollm2:135m
135m-instruct-fp16,profiles/smollm2/sizes/135m-instruct-fp16.json,smollm2:135m-instruct-fp16
135m-instruct-q2-k,profiles/smollm2/sizes/135m-instruct-q2-k.json,smollm2:135m-instruct-q2_K
135m-instruct-q3-k-l,profiles/smollm2/sizes/135m-instruct-q3-k-l.json,smollm2:135m-instruct-q3_K_L
