size_slug,ollama_ref,size_file,fit_status
1.7b,smollm2:1.7b,../sizes/1.7b.json,unknown
1.7b-instruct-fp16,smollm2:1.7b-instruct-fp16,../sizes/1.7b-instruct-fp16.json,unknown
1.7b-instruct-q2-k,smollm2:1.7b-instruct-q2_K,../sizes/1.7b-instruct-q2-k.json,unknown
1.7b-instruct-q3-k-l,smollm2:1.7b-instruct-q3_K_L,../sizes/1.7b-instruct-q3-k-l.json,unknown
1.7b-instruct-q3-k-m,smollm2:1.7b-instruct-q3_K_M,../sizes/1.7b-instruct-q3-k-m.json,unknown
1.7b-instruct-q3-k-s,smollm2:1.7b-instruct-q3_K_S,../sizes/1.7b-instruct-q3-k-s.json,unknown
1.7b-instruct-q4-k-m,smollm2:1.7b-instruct-q4_K_M,../sizes/1.7b-instruct-q4-k-m.json,unknown
1.7b-instruct-q4-k-s,smollm2:1.7b-instruct-q4_K_S,../sizes/1.7b-instruct-q4-k-s.json,unknown
1.7b-instruct-q40,smollm2:1.7b-instruct-q4_0,../sizes/1.7b-instruct-q40.json,unknown
1.7b-instruct-q41,smollm2:1.7b-instruct-q4_1,../sizes/1.7b-instruct-q41.json,unknown
1.7b-instruct-q5-k-m,smollm2:1.7b-instruct-q5_K_M,../sizes/1.7b-instruct-q5-k-m.json,unknown
1.7b-instruct-q5-k-s,smollm2:1.7b-instruct-q5_K_S,../sizes/1.7b-instruct-q5-k-s.json,unknown
1.7b-instruct-q50,smollm2:1.7b-instruct-q5_0,../sizes/1.7b-instruct-q50.json,unknown
1.7b-instruct-q51,smollm2:1.7b-instruct-q5_1,../sizes/1.7b-instruct-q51.json,unknown
1.7b-instruct-q6-k,smollm2:1.7b-instruct-q6_K,../sizes/1.7b-instruct-q6-k.json,unknown
1.7b-instruct-q80,smollm2:1.7b-instruct-q8_0,../sizes/1.7b-instruct-q80.json,unknown
360m,smollm2:360m,../sizes/360m.json,unknown
360m-instruct-fp16,smollm2:360m-instruct-fp16,../sizes/360m-instruct-fp16.json,unknown
360m-instruct-q2-k,smollm2:360m-instruct-q2_K,../sizes/360m-instruct-q2-k.json,unknown
360m-instruct-q3-k-l,smollm2:360m-instruct-q3_K_L,../sizes/360m-instruct-q3-k-l.json,unknown
360m-instruct-q3-k-m,smollm2:360m-instruct-q3_K_M,../sizes/360m-instruct-q3-k-m.json,unknown
360m-instruct-q3-k-s,smollm2:360m-instruct-q3_K_S,../sizes/360m-instruct-q3-k-s.json,unknown
360m-instruct-q4-k-m,smollm2:360m-instruct-q4_K_M,../sizes/360m-instruct-q4-k-m.json,unknown
360m-instruct-q4-k-s,smollm2:360m-instruct-q4_K_S,../sizes/360m-instruct-q4-k-s.json,unknown
360m-instruct-q40,smollm2:360m-instruct-q4_0,../sizes/360m-instruct-q40.json,unknown
360m-instruct-q41,smollm2:360m-instruct-q4_1,../sizes/360m-instruct-q41.json,unknown
360m-instruct-q5-k-m,smollm2:360m-instruct-q5_K_M,../sizes/360m-instruct-q5-k-m.json,unknown
360m-instruct-q5-k-s,smollm2:360m-instruct-q5_K_S,../sizes/360m-instruct-q5-k-s.json,unknown
360m-instruct-q50,smollm2:360m-instruct-q5_0,../sizes/360m-instruct-q50.json,unknown
360m-instruct-q51,smollm2:360m-instruct-q5_1,../sizes/360m-instruct-q51.json,unknown
360m-instruct-q6-k,smollm2:360m-instruct-q6_K,../sizes/360m-instruct-q6-k.json,unknown
360m-instruct-q80,smollm2:360m-instruct-q8_0,../sizes/360m-instruct-q80.json,unknown
135m,smollm2:135m,../sizes/135m.json,unknown
135m-instruct-fp16,smollm2:135m-instruct-fp16,../sizes/135m-instruct-fp16.json,unknown
135m-instruct-q2-k,smollm2:135m-instruct-q2_K,../sizes/135m-instruct-q2-k.json,unknown
135m-instruct-q3-k-l,smollm2:135m-instruct-q3_K_L,../sizes/135m-instruct-q3-k-l.json,unknown
135m-instruct-q3-k-m,smollm2:135m-instruct-q3_K_M,../sizes/135m-instruct-q3-k-m.json,unknown
135m-instruct-q3-k-s,smollm2:135m-instruct-q3_K_S,../sizes/135m-instruct-q3-k-s.json,unknown
135m-instruct-q4-k-m,smollm2:135m-instruct-q4_K_M,../sizes/135m-instruct-q4-k-m.json,unknown
135m-instruct-q4-k-s,smollm2:135m-instruct-q4_K_S,../sizes/135m-instruct-q4-k-s.json,unknown
135m-instruct-q40,smollm2:135m-instruct-q4_0,../sizes/135m-instruct-q40.json,unknown
135m-instruct-q41,smollm2:135m-instruct-q4_1,../sizes/135m-instruct-q41.json,unknown
135m-instruct-q5-k-m,smollm2:135m-instruct-q5_K_M,../sizes/135m-instruct-q5-k-m.json,unknown
135m-instruct-q5-k-s,smollm2:135m-instruct-q5_K_S,../sizes/135m-instruct-q5-k-s.json,unknown
135m-instruct-q50,smollm2:135m-instruct-q5_0,../sizes/135m-instruct-q50.json,unknown
135m-instruct-q51,smollm2:135m-instruct-q5_1,../sizes/135m-instruct-q51.json,unknown
135m-instruct-q6-k,smollm2:135m-instruct-q6_K,../sizes/135m-instruct-q6-k.json,unknown
135m-instruct-q80,smollm2:135m-instruct-q8_0,../sizes/135m-instruct-q80.json,unknown
latest,smollm2:latest,../sizes/latest.json,unknown
