size_slug,ollama_ref,size_file
335m,snowflake-arctic-embed:335m,sizes/335m.json
335m-l-fp16,snowflake-arctic-embed:335m-l-fp16,sizes/335m-l-fp16.json
137m,snowflake-arctic-embed:137m,sizes/137m.json
137m-m-long-fp16,snowflake-arctic-embed:137m-m-long-fp16,sizes/137m-m-long-fp16.json
110m,snowflake-arctic-embed:110m,sizes/110m.json
110m-m-fp16,snowflake-arctic-embed:110m-m-fp16,sizes/110m-m-fp16.json
33m,snowflake-arctic-embed:33m,sizes/33m.json
33m-s-fp16,snowflake-arctic-embed:33m-s-fp16,sizes/33m-s-fp16.json
22m,snowflake-arctic-embed:22m,sizes/22m.json
22m-xs-fp16,snowflake-arctic-embed:22m-xs-fp16,sizes/22m-xs-fp16.json
l,snowflake-arctic-embed:l,sizes/l.json
latest,snowflake-arctic-embed:latest,sizes/latest.json
m,snowflake-arctic-embed:m,sizes/m.json
m-long,snowflake-arctic-embed:m-long,sizes/m-long.json
s,snowflake-arctic-embed:s,sizes/s.json
xs,snowflake-arctic-embed:xs,sizes/xs.json
