size_slug,ollama_ref,size_file
22b,solar-pro:22b,sizes/22b.json
22b-preview-instruct-fp16,solar-pro:22b-preview-instruct-fp16,sizes/22b-preview-instruct-fp16.json
22b-preview-instruct-q2_k,solar-pro:22b-preview-instruct-q2_K,sizes/22b-preview-instruct-q2_k.json
22b-preview-instruct-q3_k_l,solar-pro:22b-preview-instruct-q3_K_L,sizes/22b-preview-instruct-q3_k_l.json
22b-preview-instruct-q3_k_m,solar-pro:22b-preview-instruct-q3_K_M,sizes/22b-preview-instruct-q3_k_m.json
22b-preview-instruct-q3_k_s,solar-pro:22b-preview-instruct-q3_K_S,sizes/22b-preview-instruct-q3_k_s.json
22b-preview-instruct-q4_0,solar-pro:22b-preview-instruct-q4_0,sizes/22b-preview-instruct-q4_0.json
22b-preview-instruct-q4_1,solar-pro:22b-preview-instruct-q4_1,sizes/22b-preview-instruct-q4_1.json
22b-preview-instruct-q4_k_m,solar-pro:22b-preview-instruct-q4_K_M,sizes/22b-preview-instruct-q4_k_m.json
22b-preview-instruct-q4_k_s,solar-pro:22b-preview-instruct-q4_K_S,sizes/22b-preview-instruct-q4_k_s.json
22b-preview-instruct-q5_0,solar-pro:22b-preview-instruct-q5_0,sizes/22b-preview-instruct-q5_0.json
22b-preview-instruct-q5_1,solar-pro:22b-preview-instruct-q5_1,sizes/22b-preview-instruct-q5_1.json
22b-preview-instruct-q5_k_m,solar-pro:22b-preview-instruct-q5_K_M,sizes/22b-preview-instruct-q5_k_m.json
22b-preview-instruct-q5_k_s,solar-pro:22b-preview-instruct-q5_K_S,sizes/22b-preview-instruct-q5_k_s.json
22b-preview-instruct-q6_k,solar-pro:22b-preview-instruct-q6_K,sizes/22b-preview-instruct-q6_k.json
22b-preview-instruct-q8_0,solar-pro:22b-preview-instruct-q8_0,sizes/22b-preview-instruct-q8_0.json
latest,solar-pro:latest,sizes/latest.json
preview,solar-pro:preview,sizes/preview.json
