size_slug,ollama_ref,size_file,fit_status
22b,solar-pro:22b,../sizes/22b.json,no_fit
22b-preview-instruct-fp16,solar-pro:22b-preview-instruct-fp16,../sizes/22b-preview-instruct-fp16.json,no_fit
22b-preview-instruct-q2-k,solar-pro:22b-preview-instruct-q2_K,../sizes/22b-preview-instruct-q2-k.json,no_fit
22b-preview-instruct-q3-k-l,solar-pro:22b-preview-instruct-q3_K_L,../sizes/22b-preview-instruct-q3-k-l.json,no_fit
22b-preview-instruct-q3-k-m,solar-pro:22b-preview-instruct-q3_K_M,../sizes/22b-preview-instruct-q3-k-m.json,no_fit
22b-preview-instruct-q3-k-s,solar-pro:22b-preview-instruct-q3_K_S,../sizes/22b-preview-instruct-q3-k-s.json,no_fit
22b-preview-instruct-q4-k-m,solar-pro:22b-preview-instruct-q4_K_M,../sizes/22b-preview-instruct-q4-k-m.json,no_fit
22b-preview-instruct-q4-k-s,solar-pro:22b-preview-instruct-q4_K_S,../sizes/22b-preview-instruct-q4-k-s.json,no_fit
22b-preview-instruct-q40,solar-pro:22b-preview-instruct-q4_0,../sizes/22b-preview-instruct-q40.json,no_fit
22b-preview-instruct-q41,solar-pro:22b-preview-instruct-q4_1,../sizes/22b-preview-instruct-q41.json,no_fit
22b-preview-instruct-q5-k-m,solar-pro:22b-preview-instruct-q5_K_M,../sizes/22b-preview-instruct-q5-k-m.json,no_fit
22b-preview-instruct-q5-k-s,solar-pro:22b-preview-instruct-q5_K_S,../sizes/22b-preview-instruct-q5-k-s.json,no_fit
22b-preview-instruct-q50,solar-pro:22b-preview-instruct-q5_0,../sizes/22b-preview-instruct-q50.json,no_fit
22b-preview-instruct-q51,solar-pro:22b-preview-instruct-q5_1,../sizes/22b-preview-instruct-q51.json,no_fit
22b-preview-instruct-q6-k,solar-pro:22b-preview-instruct-q6_K,../sizes/22b-preview-instruct-q6-k.json,no_fit
22b-preview-instruct-q80,solar-pro:22b-preview-instruct-q8_0,../sizes/22b-preview-instruct-q80.json,no_fit
latest,solar-pro:latest,../sizes/latest.json,no_fit
preview,solar-pro:preview,../sizes/preview.json,no_fit
