size_slug,ollama_ref,size_file
10.7b,solar:10.7b,sizes/10.7b.json
10.7b-instruct-v1-fp16,solar:10.7b-instruct-v1-fp16,sizes/10.7b-instruct-v1-fp16.json
10.7b-instruct-v1-q2-k,solar:10.7b-instruct-v1-q2_K,sizes/10.7b-instruct-v1-q2-k.json
10.7b-instruct-v1-q3-k-l,solar:10.7b-instruct-v1-q3_K_L,sizes/10.7b-instruct-v1-q3-k-l.json
10.7b-instruct-v1-q3-k-m,solar:10.7b-instruct-v1-q3_K_M,sizes/10.7b-instruct-v1-q3-k-m.json
10.7b-instruct-v1-q3-k-s,solar:10.7b-instruct-v1-q3_K_S,sizes/10.7b-instruct-v1-q3-k-s.json
10.7b-instruct-v1-q4-k-m,solar:10.7b-instruct-v1-q4_K_M,sizes/10.7b-instruct-v1-q4-k-m.json
10.7b-instruct-v1-q4-k-s,solar:10.7b-instruct-v1-q4_K_S,sizes/10.7b-instruct-v1-q4-k-s.json
10.7b-instruct-v1-q40,solar:10.7b-instruct-v1-q4_0,sizes/10.7b-instruct-v1-q40.json
10.7b-instruct-v1-q41,solar:10.7b-instruct-v1-q4_1,sizes/10.7b-instruct-v1-q41.json
10.7b-instruct-v1-q5-k-m,solar:10.7b-instruct-v1-q5_K_M,sizes/10.7b-instruct-v1-q5-k-m.json
10.7b-instruct-v1-q5-k-s,solar:10.7b-instruct-v1-q5_K_S,sizes/10.7b-instruct-v1-q5-k-s.json
10.7b-instruct-v1-q50,solar:10.7b-instruct-v1-q5_0,sizes/10.7b-instruct-v1-q50.json
10.7b-instruct-v1-q51,solar:10.7b-instruct-v1-q5_1,sizes/10.7b-instruct-v1-q51.json
10.7b-instruct-v1-q6-k,solar:10.7b-instruct-v1-q6_K,sizes/10.7b-instruct-v1-q6-k.json
10.7b-instruct-v1-q80,solar:10.7b-instruct-v1-q8_0,sizes/10.7b-instruct-v1-q80.json
10.7b-text-v1-fp16,solar:10.7b-text-v1-fp16,sizes/10.7b-text-v1-fp16.json
10.7b-text-v1-q2-k,solar:10.7b-text-v1-q2_K,sizes/10.7b-text-v1-q2-k.json
10.7b-text-v1-q3-k-l,solar:10.7b-text-v1-q3_K_L,sizes/10.7b-text-v1-q3-k-l.json
10.7b-text-v1-q3-k-m,solar:10.7b-text-v1-q3_K_M,sizes/10.7b-text-v1-q3-k-m.json
10.7b-text-v1-q3-k-s,solar:10.7b-text-v1-q3_K_S,sizes/10.7b-text-v1-q3-k-s.json
10.7b-text-v1-q4-k-m,solar:10.7b-text-v1-q4_K_M,sizes/10.7b-text-v1-q4-k-m.json
10.7b-text-v1-q4-k-s,solar:10.7b-text-v1-q4_K_S,sizes/10.7b-text-v1-q4-k-s.json
10.7b-text-v1-q40,solar:10.7b-text-v1-q4_0,sizes/10.7b-text-v1-q40.json
10.7b-text-v1-q41,solar:10.7b-text-v1-q4_1,sizes/10.7b-text-v1-q41.json
10.7b-text-v1-q5-k-m,solar:10.7b-text-v1-q5_K_M,sizes/10.7b-text-v1-q5-k-m.json
10.7b-text-v1-q5-k-s,solar:10.7b-text-v1-q5_K_S,sizes/10.7b-text-v1-q5-k-s.json
10.7b-text-v1-q50,solar:10.7b-text-v1-q5_0,sizes/10.7b-text-v1-q50.json
10.7b-text-v1-q51,solar:10.7b-text-v1-q5_1,sizes/10.7b-text-v1-q51.json
10.7b-text-v1-q6-k,solar:10.7b-text-v1-q6_K,sizes/10.7b-text-v1-q6-k.json
10.7b-text-v1-q80,solar:10.7b-text-v1-q8_0,sizes/10.7b-text-v1-q80.json
latest,solar:latest,sizes/latest.json
