size_slug,ollama_ref,size_file,fit_status
15b,sqlcoder:15b,../sizes/15b.json,not_listed_in_agents_selection
15b-fp16,sqlcoder:15b-fp16,../sizes/15b-fp16.json,not_listed_in_agents_selection
15b-q2_k,sqlcoder:15b-q2_K,../sizes/15b-q2_k.json,not_listed_in_agents_selection
15b-q3_k_l,sqlcoder:15b-q3_K_L,../sizes/15b-q3_k_l.json,not_listed_in_agents_selection
15b-q3_k_m,sqlcoder:15b-q3_K_M,../sizes/15b-q3_k_m.json,not_listed_in_agents_selection
15b-q3_k_s,sqlcoder:15b-q3_K_S,../sizes/15b-q3_k_s.json,not_listed_in_agents_selection
15b-q4_0,sqlcoder:15b-q4_0,../sizes/15b-q4_0.json,not_listed_in_agents_selection
15b-q4_1,sqlcoder:15b-q4_1,../sizes/15b-q4_1.json,not_listed_in_agents_selection
15b-q4_k_m,sqlcoder:15b-q4_K_M,../sizes/15b-q4_k_m.json,not_listed_in_agents_selection
15b-q4_k_s,sqlcoder:15b-q4_K_S,../sizes/15b-q4_k_s.json,not_listed_in_agents_selection
15b-q5_0,sqlcoder:15b-q5_0,../sizes/15b-q5_0.json,not_listed_in_agents_selection
15b-q5_1,sqlcoder:15b-q5_1,../sizes/15b-q5_1.json,not_listed_in_agents_selection
15b-q5_k_m,sqlcoder:15b-q5_K_M,../sizes/15b-q5_k_m.json,not_listed_in_agents_selection
15b-q5_k_s,sqlcoder:15b-q5_K_S,../sizes/15b-q5_k_s.json,not_listed_in_agents_selection
15b-q6_k,sqlcoder:15b-q6_K,../sizes/15b-q6_k.json,not_listed_in_agents_selection
15b-q8_0,sqlcoder:15b-q8_0,../sizes/15b-q8_0.json,not_listed_in_agents_selection
