size_slug,ollama_ref,size_file,fit_status
70b-alpha-fp16,sqlcoder:70b-alpha-fp16,../sizes/70b-alpha-fp16.json,not_listed_in_agents_selection
70b-alpha-q2_k,sqlcoder:70b-alpha-q2_K,../sizes/70b-alpha-q2_k.json,not_listed_in_agents_selection
70b-alpha-q3_k_l,sqlcoder:70b-alpha-q3_K_L,../sizes/70b-alpha-q3_k_l.json,not_listed_in_agents_selection
70b-alpha-q3_k_m,sqlcoder:70b-alpha-q3_K_M,../sizes/70b-alpha-q3_k_m.json,not_listed_in_agents_selection
70b-alpha-q3_k_s,sqlcoder:70b-alpha-q3_K_S,../sizes/70b-alpha-q3_k_s.json,not_listed_in_agents_selection
70b-alpha-q4_0,sqlcoder:70b-alpha-q4_0,../sizes/70b-alpha-q4_0.json,not_listed_in_agents_selection
70b-alpha-q4_1,sqlcoder:70b-alpha-q4_1,../sizes/70b-alpha-q4_1.json,not_listed_in_agents_selection
70b-alpha-q4_k_m,sqlcoder:70b-alpha-q4_K_M,../sizes/70b-alpha-q4_k_m.json,not_listed_in_agents_selection
70b-alpha-q4_k_s,sqlcoder:70b-alpha-q4_K_S,../sizes/70b-alpha-q4_k_s.json,not_listed_in_agents_selection
70b-alpha-q5_0,sqlcoder:70b-alpha-q5_0,../sizes/70b-alpha-q5_0.json,not_listed_in_agents_selection
70b-alpha-q5_1,sqlcoder:70b-alpha-q5_1,../sizes/70b-alpha-q5_1.json,not_listed_in_agents_selection
70b-alpha-q5_k_m,sqlcoder:70b-alpha-q5_K_M,../sizes/70b-alpha-q5_k_m.json,not_listed_in_agents_selection
70b-alpha-q5_k_s,sqlcoder:70b-alpha-q5_K_S,../sizes/70b-alpha-q5_k_s.json,not_listed_in_agents_selection
70b-alpha-q6_k,sqlcoder:70b-alpha-q6_K,../sizes/70b-alpha-q6_k.json,not_listed_in_agents_selection
70b-alpha-q8_0,sqlcoder:70b-alpha-q8_0,../sizes/70b-alpha-q8_0.json,not_listed_in_agents_selection
