size_slug,size_json_path,ollama_ref
70b-alpha-fp16,profiles/sqlcoder/sizes/70b-alpha-fp16.json,sqlcoder:70b-alpha-fp16
70b-alpha-q2-k,profiles/sqlcoder/sizes/70b-alpha-q2-k.json,sqlcoder:70b-alpha-q2_K
70b-alpha-q3-k-l,profiles/sqlcoder/sizes/70b-alpha-q3-k-l.json,sqlcoder:70b-alpha-q3_K_L
70b-alpha-q3-k-m,profiles/sqlcoder/sizes/70b-alpha-q3-k-m.json,sqlcoder:70b-alpha-q3_K_M
70b-alpha-q3-k-s,profiles/sqlcoder/sizes/70b-alpha-q3-k-s.json,sqlcoder:70b-alpha-q3_K_S
70b-alpha-q4-k-m,profiles/sqlcoder/sizes/70b-alpha-q4-k-m.json,sqlcoder:70b-alpha-q4_K_M
70b-alpha-q4-k-s,profiles/sqlcoder/sizes/70b-alpha-q4-k-s.json,sqlcoder:70b-alpha-q4_K_S
70b-alpha-q40,profiles/sqlcoder/sizes/70b-alpha-q40.json,sqlcoder:70b-alpha-q4_0
70b-alpha-q41,profiles/sqlcoder/sizes/70b-alpha-q41.json,sqlcoder:70b-alpha-q4_1
70b-alpha-q5-k-m,profiles/sqlcoder/sizes/70b-alpha-q5-k-m.json,sqlcoder:70b-alpha-q5_K_M
70b-alpha-q5-k-s,profiles/sqlcoder/sizes/70b-alpha-q5-k-s.json,sqlcoder:70b-alpha-q5_K_S
70b-alpha-q50,profiles/sqlcoder/sizes/70b-alpha-q50.json,sqlcoder:70b-alpha-q5_0
70b-alpha-q51,profiles/sqlcoder/sizes/70b-alpha-q51.json,sqlcoder:70b-alpha-q5_1
70b-alpha-q6-k,profiles/sqlcoder/sizes/70b-alpha-q6-k.json,sqlcoder:70b-alpha-q6_K
70b-alpha-q80,profiles/sqlcoder/sizes/70b-alpha-q80.json,sqlcoder:70b-alpha-q8_0
15b,profiles/sqlcoder/sizes/15b.json,sqlcoder:15b
15b-fp16,profiles/sqlcoder/sizes/15b-fp16.json,sqlcoder:15b-fp16
15b-q2-k,profiles/sqlcoder/sizes/15b-q2-k.json,sqlcoder:15b-q2_K
15b-q3-k-l,profiles/sqlcoder/sizes/15b-q3-k-l.json,sqlcoder:15b-q3_K_L
15b-q3-k-m,profiles/sqlcoder/sizes/15b-q3-k-m.json,sqlcoder:15b-q3_K_M
15b-q3-k-s,profiles/sqlcoder/sizes/15b-q3-k-s.json,sqlcoder:15b-q3_K_S
15b-q4-k-m,profiles/sqlcoder/sizes/15b-q4-k-m.json,sqlcoder:15b-q4_K_M
15b-q4-k-s,profiles/sqlcoder/sizes/15b-q4-k-s.json,sqlcoder:15b-q4_K_S
15b-q40,profiles/sqlcoder/sizes/15b-q40.json,sqlcoder:15b-q4_0
15b-q41,profiles/sqlcoder/sizes/15b-q41.json,sqlcoder:15b-q4_1
15b-q5-k-m,profiles/sqlcoder/sizes/15b-q5-k-m.json,sqlcoder:15b-q5_K_M
15b-q5-k-s,profiles/sqlcoder/sizes/15b-q5-k-s.json,sqlcoder:15b-q5_K_S
15b-q50,profiles/sqlcoder/sizes/15b-q50.json,sqlcoder:15b-q5_0
15b-q51,profiles/sqlcoder/sizes/15b-q51.json,sqlcoder:15b-q5_1
15b-q6-k,profiles/sqlcoder/sizes/15b-q6-k.json,sqlcoder:15b-q6_K
15b-q80,profiles/sqlcoder/sizes/15b-q80.json,sqlcoder:15b-q8_0
7b,profiles/sqlcoder/sizes/7b.json,sqlcoder:7b
7b-fp16,profiles/sqlcoder/sizes/7b-fp16.json,sqlcoder:7b-fp16
7b-q2-k,profiles/sqlcoder/sizes/7b-q2-k.json,sqlcoder:7b-q2_K
7b-q3-k-l,profiles/sqlcoder/sizes/7b-q3-k-l.json,sqlcoder:7b-q3_K_L
7b-q3-k-m,profiles/sqlcoder/sizes/7b-q3-k-m.json,sqlcoder:7b-q3_K_M
7b-q3-k-s,profiles/sqlcoder/sizes/7b-q3-k-s.json,sqlcoder:7b-q3_K_S
7b-q4-k-m,profiles/sqlcoder/sizes/7b-q4-k-m.json,sqlcoder:7b-q4_K_M
7b-q4-k-s,profiles/sqlcoder/sizes/7b-q4-k-s.json,sqlcoder:7b-q4_K_S
7b-q40,profiles/sqlcoder/sizes/7b-q40.json,sqlcoder:7b-q4_0
7b-q41,profiles/sqlcoder/sizes/7b-q41.json,sqlcoder:7b-q4_1
7b-q5-k-m,profiles/sqlcoder/sizes/7b-q5-k-m.json,sqlcoder:7b-q5_K_M
7b-q5-k-s,profiles/sqlcoder/sizes/7b-q5-k-s.json,sqlcoder:7b-q5_K_S
7b-q50,profiles/sqlcoder/sizes/7b-q50.json,sqlcoder:7b-q5_0
7b-q51,profiles/sqlcoder/sizes/7b-q51.json,sqlcoder:7b-q5_1
7b-q6-k,profiles/sqlcoder/sizes/7b-q6-k.json,sqlcoder:7b-q6_K
7b-q80,profiles/sqlcoder/sizes/7b-q80.json,sqlcoder:7b-q8_0
latest,profiles/sqlcoder/sizes/latest.json,sqlcoder:latest
