size_slug,size_json_path,ollama_ref
70b,profiles/stable-beluga/sizes/70b.json,stable-beluga:70b
70b-fp16,profiles/stable-beluga/sizes/70b-fp16.json,stable-beluga:70b-fp16
70b-q2-k,profiles/stable-beluga/sizes/70b-q2-k.json,stable-beluga:70b-q2_K
70b-q3-k-l,profiles/stable-beluga/sizes/70b-q3-k-l.json,stable-beluga:70b-q3_K_L
70b-q3-k-m,profiles/stable-beluga/sizes/70b-q3-k-m.json,stable-beluga:70b-q3_K_M
70b-q3-k-s,profiles/stable-beluga/sizes/70b-q3-k-s.json,stable-beluga:70b-q3_K_S
70b-q4-k-m,profiles/stable-beluga/sizes/70b-q4-k-m.json,stable-beluga:70b-q4_K_M
70b-q4-k-s,profiles/stable-beluga/sizes/70b-q4-k-s.json,stable-beluga:70b-q4_K_S
70b-q40,profiles/stable-beluga/sizes/70b-q40.json,stable-beluga:70b-q4_0
70b-q41,profiles/stable-beluga/sizes/70b-q41.json,stable-beluga:70b-q4_1
70b-q5-k-m,profiles/stable-beluga/sizes/70b-q5-k-m.json,stable-beluga:70b-q5_K_M
70b-q5-k-s,profiles/stable-beluga/sizes/70b-q5-k-s.json,stable-beluga:70b-q5_K_S
70b-q50,profiles/stable-beluga/sizes/70b-q50.json,stable-beluga:70b-q5_0
70b-q51,profiles/stable-beluga/sizes/70b-q51.json,stable-beluga:70b-q5_1
70b-q6-k,profiles/stable-beluga/sizes/70b-q6-k.json,stable-beluga:70b-q6_K
70b-q80,profiles/stable-beluga/sizes/70b-q80.json,stable-beluga:70b-q8_0
13b,profiles/stable-beluga/sizes/13b.json,stable-beluga:13b
13b-fp16,profiles/stable-beluga/sizes/13b-fp16.json,stable-beluga:13b-fp16
13b-q2-k,profiles/stable-beluga/sizes/13b-q2-k.json,stable-beluga:13b-q2_K
13b-q3-k-l,profiles/stable-beluga/sizes/13b-q3-k-l.json,stable-beluga:13b-q3_K_L
13b-q3-k-m,profiles/stable-beluga/sizes/13b-q3-k-m.json,stable-beluga:13b-q3_K_M
13b-q3-k-s,profiles/stable-beluga/sizes/13b-q3-k-s.json,stable-beluga:13b-q3_K_S
13b-q4-k-m,profiles/stable-beluga/sizes/13b-q4-k-m.json,stable-beluga:13b-q4_K_M
13b-q4-k-s,profiles/stable-beluga/sizes/13b-q4-k-s.json,stable-beluga:13b-q4_K_S
13b-q40,profiles/stable-beluga/sizes/13b-q40.json,stable-beluga:13b-q4_0
13b-q41,profiles/stable-beluga/sizes/13b-q41.json,stable-beluga:13b-q4_1
13b-q5-k-m,profiles/stable-beluga/sizes/13b-q5-k-m.json,stable-beluga:13b-q5_K_M
13b-q5-k-s,profiles/stable-beluga/sizes/13b-q5-k-s.json,stable-beluga:13b-q5_K_S
13b-q50,profiles/stable-beluga/sizes/13b-q50.json,stable-beluga:13b-q5_0
13b-q51,profiles/stable-beluga/sizes/13b-q51.json,stable-beluga:13b-q5_1
13b-q6-k,profiles/stable-beluga/sizes/13b-q6-k.json,stable-beluga:13b-q6_K
13b-q80,profiles/stable-beluga/sizes/13b-q80.json,stable-beluga:13b-q8_0
7b,profiles/stable-beluga/sizes/7b.json,stable-beluga:7b
7b-fp16,profiles/stable-beluga/sizes/7b-fp16.json,stable-beluga:7b-fp16
7b-q2-k,profiles/stable-beluga/sizes/7b-q2-k.json,stable-beluga:7b-q2_K
7b-q3-k-l,profiles/stable-beluga/sizes/7b-q3-k-l.json,stable-beluga:7b-q3_K_L
7b-q3-k-m,profiles/stable-beluga/sizes/7b-q3-k-m.json,stable-beluga:7b-q3_K_M
7b-q3-k-s,profiles/stable-beluga/sizes/7b-q3-k-s.json,stable-beluga:7b-q3_K_S
7b-q4-k-m,profiles/stable-beluga/sizes/7b-q4-k-m.json,stable-beluga:7b-q4_K_M
7b-q4-k-s,profiles/stable-beluga/sizes/7b-q4-k-s.json,stable-beluga:7b-q4_K_S
7b-q40,profiles/stable-beluga/sizes/7b-q40.json,stable-beluga:7b-q4_0
7b-q41,profiles/stable-beluga/sizes/7b-q41.json,stable-beluga:7b-q4_1
7b-q5-k-m,profiles/stable-beluga/sizes/7b-q5-k-m.json,stable-beluga:7b-q5_K_M
7b-q5-k-s,profiles/stable-beluga/sizes/7b-q5-k-s.json,stable-beluga:7b-q5_K_S
7b-q50,profiles/stable-beluga/sizes/7b-q50.json,stable-beluga:7b-q5_0
7b-q51,profiles/stable-beluga/sizes/7b-q51.json,stable-beluga:7b-q5_1
7b-q6-k,profiles/stable-beluga/sizes/7b-q6-k.json,stable-beluga:7b-q6_K
7b-q80,profiles/stable-beluga/sizes/7b-q80.json,stable-beluga:7b-q8_0
latest,profiles/stable-beluga/sizes/latest.json,stable-beluga:latest
