size_slug,ollama_ref,size_file,fit_status
3b,stable-code:3b,../sizes/3b.json,not_listed_in_agents_selection
3b-code,stable-code:3b-code,../sizes/3b-code.json,not_listed_in_agents_selection
3b-code-fp16,stable-code:3b-code-fp16,../sizes/3b-code-fp16.json,not_listed_in_agents_selection
3b-code-q2_k,stable-code:3b-code-q2_K,../sizes/3b-code-q2_k.json,not_listed_in_agents_selection
3b-code-q3_k_l,stable-code:3b-code-q3_K_L,../sizes/3b-code-q3_k_l.json,not_listed_in_agents_selection
3b-code-q3_k_m,stable-code:3b-code-q3_K_M,../sizes/3b-code-q3_k_m.json,not_listed_in_agents_selection
3b-code-q3_k_s,stable-code:3b-code-q3_K_S,../sizes/3b-code-q3_k_s.json,not_listed_in_agents_selection
3b-code-q4_0,stable-code:3b-code-q4_0,../sizes/3b-code-q4_0.json,not_listed_in_agents_selection
3b-code-q4_1,stable-code:3b-code-q4_1,../sizes/3b-code-q4_1.json,not_listed_in_agents_selection
3b-code-q4_k_m,stable-code:3b-code-q4_K_M,../sizes/3b-code-q4_k_m.json,not_listed_in_agents_selection
3b-code-q4_k_s,stable-code:3b-code-q4_K_S,../sizes/3b-code-q4_k_s.json,not_listed_in_agents_selection
3b-code-q5_0,stable-code:3b-code-q5_0,../sizes/3b-code-q5_0.json,not_listed_in_agents_selection
3b-code-q5_1,stable-code:3b-code-q5_1,../sizes/3b-code-q5_1.json,not_listed_in_agents_selection
3b-code-q5_k_m,stable-code:3b-code-q5_K_M,../sizes/3b-code-q5_k_m.json,not_listed_in_agents_selection
3b-code-q5_k_s,stable-code:3b-code-q5_K_S,../sizes/3b-code-q5_k_s.json,not_listed_in_agents_selection
3b-code-q6_k,stable-code:3b-code-q6_K,../sizes/3b-code-q6_k.json,not_listed_in_agents_selection
3b-code-q8_0,stable-code:3b-code-q8_0,../sizes/3b-code-q8_0.json,not_listed_in_agents_selection
3b-instruct,stable-code:3b-instruct,../sizes/3b-instruct.json,not_listed_in_agents_selection
3b-instruct-fp16,stable-code:3b-instruct-fp16,../sizes/3b-instruct-fp16.json,not_listed_in_agents_selection
3b-instruct-q2_k,stable-code:3b-instruct-q2_K,../sizes/3b-instruct-q2_k.json,not_listed_in_agents_selection
3b-instruct-q3_k_l,stable-code:3b-instruct-q3_K_L,../sizes/3b-instruct-q3_k_l.json,not_listed_in_agents_selection
3b-instruct-q3_k_m,stable-code:3b-instruct-q3_K_M,../sizes/3b-instruct-q3_k_m.json,not_listed_in_agents_selection
3b-instruct-q3_k_s,stable-code:3b-instruct-q3_K_S,../sizes/3b-instruct-q3_k_s.json,not_listed_in_agents_selection
3b-instruct-q4_0,stable-code:3b-instruct-q4_0,../sizes/3b-instruct-q4_0.json,not_listed_in_agents_selection
3b-instruct-q4_1,stable-code:3b-instruct-q4_1,../sizes/3b-instruct-q4_1.json,not_listed_in_agents_selection
3b-instruct-q4_k_m,stable-code:3b-instruct-q4_K_M,../sizes/3b-instruct-q4_k_m.json,not_listed_in_agents_selection
3b-instruct-q4_k_s,stable-code:3b-instruct-q4_K_S,../sizes/3b-instruct-q4_k_s.json,not_listed_in_agents_selection
3b-instruct-q5_0,stable-code:3b-instruct-q5_0,../sizes/3b-instruct-q5_0.json,not_listed_in_agents_selection
3b-instruct-q5_1,stable-code:3b-instruct-q5_1,../sizes/3b-instruct-q5_1.json,not_listed_in_agents_selection
3b-instruct-q5_k_m,stable-code:3b-instruct-q5_K_M,../sizes/3b-instruct-q5_k_m.json,not_listed_in_agents_selection
3b-instruct-q5_k_s,stable-code:3b-instruct-q5_K_S,../sizes/3b-instruct-q5_k_s.json,not_listed_in_agents_selection
3b-instruct-q6_k,stable-code:3b-instruct-q6_K,../sizes/3b-instruct-q6_k.json,not_listed_in_agents_selection
3b-instruct-q8_0,stable-code:3b-instruct-q8_0,../sizes/3b-instruct-q8_0.json,not_listed_in_agents_selection
code,stable-code:code,../sizes/code.json,not_listed_in_agents_selection
instruct,stable-code:instruct,../sizes/instruct.json,not_listed_in_agents_selection
latest,stable-code:latest,../sizes/latest.json,not_listed_in_agents_selection
