size_slug,size_json_path,ollama_ref
3b,profiles/stable-code/sizes/3b.json,stable-code:3b
3b-code,profiles/stable-code/sizes/3b-code.json,stable-code:3b-code
3b-code-fp16,profiles/stable-code/sizes/3b-code-fp16.json,stable-code:3b-code-fp16
3b-code-q2-k,profiles/stable-code/sizes/3b-code-q2-k.json,stable-code:3b-code-q2_K
3b-code-q3-k-l,profiles/stable-code/sizes/3b-code-q3-k-l.json,stable-code:3b-code-q3_K_L
3b-code-q3-k-m,profiles/stable-code/sizes/3b-code-q3-k-m.json,stable-code:3b-code-q3_K_M
3b-code-q3-k-s,profiles/stable-code/sizes/3b-code-q3-k-s.json,stable-code:3b-code-q3_K_S
3b-code-q4-k-m,profiles/stable-code/sizes/3b-code-q4-k-m.json,stable-code:3b-code-q4_K_M
3b-code-q4-k-s,profiles/stable-code/sizes/3b-code-q4-k-s.json,stable-code:3b-code-q4_K_S
3b-code-q40,profiles/stable-code/sizes/3b-code-q40.json,stable-code:3b-code-q4_0
3b-code-q41,profiles/stable-code/sizes/3b-code-q41.json,stable-code:3b-code-q4_1
3b-code-q5-k-m,profiles/stable-code/sizes/3b-code-q5-k-m.json,stable-code:3b-code-q5_K_M
3b-code-q5-k-s,profiles/stable-code/sizes/3b-code-q5-k-s.json,stable-code:3b-code-q5_K_S
3b-code-q50,profiles/stable-code/sizes/3b-code-q50.json,stable-code:3b-code-q5_0
3b-code-q51,profiles/stable-code/sizes/3b-code-q51.json,stable-code:3b-code-q5_1
3b-code-q6-k,profiles/stable-code/sizes/3b-code-q6-k.json,stable-code:3b-code-q6_K
3b-code-q80,profiles/stable-code/sizes/3b-code-q80.json,stable-code:3b-code-q8_0
3b-instruct,profiles/stable-code/sizes/3b-instruct.json,stable-code:3b-instruct
3b-instruct-fp16,profiles/stable-code/sizes/3b-instruct-fp16.json,stable-code:3b-instruct-fp16
3b-instruct-q2-k,profiles/stable-code/sizes/3b-instruct-q2-k.json,stable-code:3b-instruct-q2_K
3b-instruct-q3-k-l,profiles/stable-code/sizes/3b-instruct-q3-k-l.json,stable-code:3b-instruct-q3_K_L
3b-instruct-q3-k-m,profiles/stable-code/sizes/3b-instruct-q3-k-m.json,stable-code:3b-instruct-q3_K_M
3b-instruct-q3-k-s,profiles/stable-code/sizes/3b-instruct-q3-k-s.json,stable-code:3b-instruct-q3_K_S
3b-instruct-q4-k-m,profiles/stable-code/sizes/3b-instruct-q4-k-m.json,stable-code:3b-instruct-q4_K_M
3b-instruct-q4-k-s,profiles/stable-code/sizes/3b-instruct-q4-k-s.json,stable-code:3b-instruct-q4_K_S
3b-instruct-q40,profiles/stable-code/sizes/3b-instruct-q40.json,stable-code:3b-instruct-q4_0
3b-instruct-q41,profiles/stable-code/sizes/3b-instruct-q41.json,stable-code:3b-instruct-q4_1
3b-instruct-q5-k-m,profiles/stable-code/sizes/3b-instruct-q5-k-m.json,stable-code:3b-instruct-q5_K_M
3b-instruct-q5-k-s,profiles/stable-code/sizes/3b-instruct-q5-k-s.json,stable-code:3b-instruct-q5_K_S
3b-instruct-q50,profiles/stable-code/sizes/3b-instruct-q50.json,stable-code:3b-instruct-q5_0
3b-instruct-q51,profiles/stable-code/sizes/3b-instruct-q51.json,stable-code:3b-instruct-q5_1
3b-instruct-q6-k,profiles/stable-code/sizes/3b-instruct-q6-k.json,stable-code:3b-instruct-q6_K
3b-instruct-q80,profiles/stable-code/sizes/3b-instruct-q80.json,stable-code:3b-instruct-q8_0
code,profiles/stable-code/sizes/code.json,stable-code:code
instruct,profiles/stable-code/sizes/instruct.json,stable-code:instruct
latest,profiles/stable-code/sizes/latest.json,stable-code:latest
