size_slug,ollama_ref,size_file,fit_status
12b,stablelm2:12b,../sizes/12b.json,not_listed_in_agents_selection
12b-chat,stablelm2:12b-chat,../sizes/12b-chat.json,not_listed_in_agents_selection
12b-chat-fp16,stablelm2:12b-chat-fp16,../sizes/12b-chat-fp16.json,not_listed_in_agents_selection
12b-chat-q2_k,stablelm2:12b-chat-q2_K,../sizes/12b-chat-q2_k.json,not_listed_in_agents_selection
12b-chat-q3_k_l,stablelm2:12b-chat-q3_K_L,../sizes/12b-chat-q3_k_l.json,not_listed_in_agents_selection
12b-chat-q3_k_m,stablelm2:12b-chat-q3_K_M,../sizes/12b-chat-q3_k_m.json,not_listed_in_agents_selection
12b-chat-q3_k_s,stablelm2:12b-chat-q3_K_S,../sizes/12b-chat-q3_k_s.json,not_listed_in_agents_selection
12b-chat-q4_0,stablelm2:12b-chat-q4_0,../sizes/12b-chat-q4_0.json,not_listed_in_agents_selection
12b-chat-q4_1,stablelm2:12b-chat-q4_1,../sizes/12b-chat-q4_1.json,not_listed_in_agents_selection
12b-chat-q4_k_m,stablelm2:12b-chat-q4_K_M,../sizes/12b-chat-q4_k_m.json,not_listed_in_agents_selection
12b-chat-q4_k_s,stablelm2:12b-chat-q4_K_S,../sizes/12b-chat-q4_k_s.json,not_listed_in_agents_selection
12b-chat-q5_0,stablelm2:12b-chat-q5_0,../sizes/12b-chat-q5_0.json,not_listed_in_agents_selection
12b-chat-q5_1,stablelm2:12b-chat-q5_1,../sizes/12b-chat-q5_1.json,not_listed_in_agents_selection
12b-chat-q5_k_m,stablelm2:12b-chat-q5_K_M,../sizes/12b-chat-q5_k_m.json,not_listed_in_agents_selection
12b-chat-q5_k_s,stablelm2:12b-chat-q5_K_S,../sizes/12b-chat-q5_k_s.json,not_listed_in_agents_selection
12b-chat-q6_k,stablelm2:12b-chat-q6_K,../sizes/12b-chat-q6_k.json,not_listed_in_agents_selection
12b-chat-q8_0,stablelm2:12b-chat-q8_0,../sizes/12b-chat-q8_0.json,not_listed_in_agents_selection
12b-fp16,stablelm2:12b-fp16,../sizes/12b-fp16.json,not_listed_in_agents_selection
12b-q2_k,stablelm2:12b-q2_K,../sizes/12b-q2_k.json,not_listed_in_agents_selection
12b-q3_k_l,stablelm2:12b-q3_K_L,../sizes/12b-q3_k_l.json,not_listed_in_agents_selection
12b-q3_k_m,stablelm2:12b-q3_K_M,../sizes/12b-q3_k_m.json,not_listed_in_agents_selection
12b-q3_k_s,stablelm2:12b-q3_K_S,../sizes/12b-q3_k_s.json,not_listed_in_agents_selection
12b-q4_0,stablelm2:12b-q4_0,../sizes/12b-q4_0.json,not_listed_in_agents_selection
12b-q4_1,stablelm2:12b-q4_1,../sizes/12b-q4_1.json,not_listed_in_agents_selection
12b-q4_k_m,stablelm2:12b-q4_K_M,../sizes/12b-q4_k_m.json,not_listed_in_agents_selection
12b-q4_k_s,stablelm2:12b-q4_K_S,../sizes/12b-q4_k_s.json,not_listed_in_agents_selection
12b-q5_0,stablelm2:12b-q5_0,../sizes/12b-q5_0.json,not_listed_in_agents_selection
12b-q5_1,stablelm2:12b-q5_1,../sizes/12b-q5_1.json,not_listed_in_agents_selection
12b-q5_k_m,stablelm2:12b-q5_K_M,../sizes/12b-q5_k_m.json,not_listed_in_agents_selection
12b-q5_k_s,stablelm2:12b-q5_K_S,../sizes/12b-q5_k_s.json,not_listed_in_agents_selection
12b-q6_k,stablelm2:12b-q6_K,../sizes/12b-q6_k.json,not_listed_in_agents_selection
12b-q8_0,stablelm2:12b-q8_0,../sizes/12b-q8_0.json,not_listed_in_agents_selection
12b-text,stablelm2:12b-text,../sizes/12b-text.json,not_listed_in_agents_selection
