size_slug,ollama_ref,size_file
15b,starcoder:15b,sizes/15b.json
15b-base,starcoder:15b-base,sizes/15b-base.json
15b-base-fp16,starcoder:15b-base-fp16,sizes/15b-base-fp16.json
15b-base-q2_k,starcoder:15b-base-q2_K,sizes/15b-base-q2_k.json
15b-base-q3_k_l,starcoder:15b-base-q3_K_L,sizes/15b-base-q3_k_l.json
15b-base-q3_k_m,starcoder:15b-base-q3_K_M,sizes/15b-base-q3_k_m.json
15b-base-q3_k_s,starcoder:15b-base-q3_K_S,sizes/15b-base-q3_k_s.json
15b-base-q4_0,starcoder:15b-base-q4_0,sizes/15b-base-q4_0.json
15b-base-q4_1,starcoder:15b-base-q4_1,sizes/15b-base-q4_1.json
15b-base-q4_k_m,starcoder:15b-base-q4_K_M,sizes/15b-base-q4_k_m.json
15b-base-q4_k_s,starcoder:15b-base-q4_K_S,sizes/15b-base-q4_k_s.json
15b-base-q5_0,starcoder:15b-base-q5_0,sizes/15b-base-q5_0.json
15b-base-q5_1,starcoder:15b-base-q5_1,sizes/15b-base-q5_1.json
15b-base-q5_k_m,starcoder:15b-base-q5_K_M,sizes/15b-base-q5_k_m.json
15b-base-q5_k_s,starcoder:15b-base-q5_K_S,sizes/15b-base-q5_k_s.json
15b-base-q6_k,starcoder:15b-base-q6_K,sizes/15b-base-q6_k.json
15b-base-q8_0,starcoder:15b-base-q8_0,sizes/15b-base-q8_0.json
15b-fp16,starcoder:15b-fp16,sizes/15b-fp16.json
15b-plus,starcoder:15b-plus,sizes/15b-plus.json
15b-plus-fp16,starcoder:15b-plus-fp16,sizes/15b-plus-fp16.json
15b-plus-q2_k,starcoder:15b-plus-q2_K,sizes/15b-plus-q2_k.json
15b-plus-q3_k_l,starcoder:15b-plus-q3_K_L,sizes/15b-plus-q3_k_l.json
15b-plus-q3_k_m,starcoder:15b-plus-q3_K_M,sizes/15b-plus-q3_k_m.json
15b-plus-q3_k_s,starcoder:15b-plus-q3_K_S,sizes/15b-plus-q3_k_s.json
15b-plus-q4_0,starcoder:15b-plus-q4_0,sizes/15b-plus-q4_0.json
15b-plus-q4_1,starcoder:15b-plus-q4_1,sizes/15b-plus-q4_1.json
15b-plus-q4_k_m,starcoder:15b-plus-q4_K_M,sizes/15b-plus-q4_k_m.json
15b-plus-q4_k_s,starcoder:15b-plus-q4_K_S,sizes/15b-plus-q4_k_s.json
15b-plus-q5_0,starcoder:15b-plus-q5_0,sizes/15b-plus-q5_0.json
15b-plus-q5_1,starcoder:15b-plus-q5_1,sizes/15b-plus-q5_1.json
15b-plus-q5_k_m,starcoder:15b-plus-q5_K_M,sizes/15b-plus-q5_k_m.json
15b-plus-q5_k_s,starcoder:15b-plus-q5_K_S,sizes/15b-plus-q5_k_s.json
15b-plus-q6_k,starcoder:15b-plus-q6_K,sizes/15b-plus-q6_k.json
15b-plus-q8_0,starcoder:15b-plus-q8_0,sizes/15b-plus-q8_0.json
15b-q2_k,starcoder:15b-q2_K,sizes/15b-q2_k.json
15b-q3_k_l,starcoder:15b-q3_K_L,sizes/15b-q3_k_l.json
15b-q3_k_m,starcoder:15b-q3_K_M,sizes/15b-q3_k_m.json
15b-q3_k_s,starcoder:15b-q3_K_S,sizes/15b-q3_k_s.json
15b-q4_0,starcoder:15b-q4_0,sizes/15b-q4_0.json
15b-q4_1,starcoder:15b-q4_1,sizes/15b-q4_1.json
15b-q4_k_m,starcoder:15b-q4_K_M,sizes/15b-q4_k_m.json
15b-q4_k_s,starcoder:15b-q4_K_S,sizes/15b-q4_k_s.json
15b-q5_0,starcoder:15b-q5_0,sizes/15b-q5_0.json
15b-q5_1,starcoder:15b-q5_1,sizes/15b-q5_1.json
15b-q5_k_m,starcoder:15b-q5_K_M,sizes/15b-q5_k_m.json
15b-q5_k_s,starcoder:15b-q5_K_S,sizes/15b-q5_k_s.json
15b-q6_k,starcoder:15b-q6_K,sizes/15b-q6_k.json
15b-q8_0,starcoder:15b-q8_0,sizes/15b-q8_0.json
