size_slug,ollama_ref,size_file,fit_status
15b,starcoder:15b,../sizes/15b.json,unknown
15b-base,starcoder:15b-base,../sizes/15b-base.json,unknown
15b-base-fp16,starcoder:15b-base-fp16,../sizes/15b-base-fp16.json,no_fit
15b-base-q2-k,starcoder:15b-base-q2_K,../sizes/15b-base-q2-k.json,unknown
15b-base-q3-k-l,starcoder:15b-base-q3_K_L,../sizes/15b-base-q3-k-l.json,unknown
15b-base-q3-k-m,starcoder:15b-base-q3_K_M,../sizes/15b-base-q3-k-m.json,unknown
15b-base-q3-k-s,starcoder:15b-base-q3_K_S,../sizes/15b-base-q3-k-s.json,unknown
15b-base-q4-k-m,starcoder:15b-base-q4_K_M,../sizes/15b-base-q4-k-m.json,unknown
15b-base-q4-k-s,starcoder:15b-base-q4_K_S,../sizes/15b-base-q4-k-s.json,unknown
15b-base-q40,starcoder:15b-base-q4_0,../sizes/15b-base-q40.json,unknown
15b-base-q41,starcoder:15b-base-q4_1,../sizes/15b-base-q41.json,unknown
15b-base-q5-k-m,starcoder:15b-base-q5_K_M,../sizes/15b-base-q5-k-m.json,unknown
15b-base-q5-k-s,starcoder:15b-base-q5_K_S,../sizes/15b-base-q5-k-s.json,unknown
15b-base-q50,starcoder:15b-base-q5_0,../sizes/15b-base-q50.json,unknown
15b-base-q51,starcoder:15b-base-q5_1,../sizes/15b-base-q51.json,unknown
15b-base-q6-k,starcoder:15b-base-q6_K,../sizes/15b-base-q6-k.json,no_fit
15b-base-q80,starcoder:15b-base-q8_0,../sizes/15b-base-q80.json,no_fit
15b-fp16,starcoder:15b-fp16,../sizes/15b-fp16.json,no_fit
15b-plus,starcoder:15b-plus,../sizes/15b-plus.json,unknown
15b-plus-fp16,starcoder:15b-plus-fp16,../sizes/15b-plus-fp16.json,no_fit
15b-plus-q2-k,starcoder:15b-plus-q2_K,../sizes/15b-plus-q2-k.json,unknown
15b-plus-q3-k-l,starcoder:15b-plus-q3_K_L,../sizes/15b-plus-q3-k-l.json,unknown
15b-plus-q3-k-m,starcoder:15b-plus-q3_K_M,../sizes/15b-plus-q3-k-m.json,unknown
15b-plus-q3-k-s,starcoder:15b-plus-q3_K_S,../sizes/15b-plus-q3-k-s.json,unknown
15b-plus-q4-k-m,starcoder:15b-plus-q4_K_M,../sizes/15b-plus-q4-k-m.json,unknown
15b-plus-q4-k-s,starcoder:15b-plus-q4_K_S,../sizes/15b-plus-q4-k-s.json,unknown
15b-plus-q40,starcoder:15b-plus-q4_0,../sizes/15b-plus-q40.json,unknown
15b-plus-q41,starcoder:15b-plus-q4_1,../sizes/15b-plus-q41.json,unknown
15b-plus-q5-k-m,starcoder:15b-plus-q5_K_M,../sizes/15b-plus-q5-k-m.json,unknown
15b-plus-q5-k-s,starcoder:15b-plus-q5_K_S,../sizes/15b-plus-q5-k-s.json,unknown
15b-plus-q50,starcoder:15b-plus-q5_0,../sizes/15b-plus-q50.json,unknown
15b-plus-q51,starcoder:15b-plus-q5_1,../sizes/15b-plus-q51.json,unknown
15b-plus-q6-k,starcoder:15b-plus-q6_K,../sizes/15b-plus-q6-k.json,no_fit
15b-plus-q80,starcoder:15b-plus-q8_0,../sizes/15b-plus-q80.json,no_fit
15b-q2-k,starcoder:15b-q2_K,../sizes/15b-q2-k.json,unknown
15b-q3-k-l,starcoder:15b-q3_K_L,../sizes/15b-q3-k-l.json,unknown
15b-q3-k-m,starcoder:15b-q3_K_M,../sizes/15b-q3-k-m.json,unknown
15b-q3-k-s,starcoder:15b-q3_K_S,../sizes/15b-q3-k-s.json,unknown
15b-q4-k-m,starcoder:15b-q4_K_M,../sizes/15b-q4-k-m.json,unknown
15b-q4-k-s,starcoder:15b-q4_K_S,../sizes/15b-q4-k-s.json,unknown
15b-q40,starcoder:15b-q4_0,../sizes/15b-q40.json,unknown
15b-q41,starcoder:15b-q4_1,../sizes/15b-q41.json,unknown
15b-q5-k-m,starcoder:15b-q5_K_M,../sizes/15b-q5-k-m.json,unknown
15b-q5-k-s,starcoder:15b-q5_K_S,../sizes/15b-q5-k-s.json,unknown
15b-q50,starcoder:15b-q5_0,../sizes/15b-q50.json,unknown
15b-q51,starcoder:15b-q5_1,../sizes/15b-q51.json,unknown
15b-q6-k,starcoder:15b-q6_K,../sizes/15b-q6-k.json,no_fit
15b-q80,starcoder:15b-q8_0,../sizes/15b-q80.json,no_fit
7b,starcoder:7b,../sizes/7b.json,unknown
7b-base,starcoder:7b-base,../sizes/7b-base.json,unknown
7b-base-fp16,starcoder:7b-base-fp16,../sizes/7b-base-fp16.json,no_fit
7b-base-q2-k,starcoder:7b-base-q2_K,../sizes/7b-base-q2-k.json,unknown
7b-base-q3-k-l,starcoder:7b-base-q3_K_L,../sizes/7b-base-q3-k-l.json,unknown
7b-base-q3-k-m,starcoder:7b-base-q3_K_M,../sizes/7b-base-q3-k-m.json,unknown
7b-base-q3-k-s,starcoder:7b-base-q3_K_S,../sizes/7b-base-q3-k-s.json,unknown
7b-base-q4-k-m,starcoder:7b-base-q4_K_M,../sizes/7b-base-q4-k-m.json,unknown
7b-base-q4-k-s,starcoder:7b-base-q4_K_S,../sizes/7b-base-q4-k-s.json,unknown
7b-base-q40,starcoder:7b-base-q4_0,../sizes/7b-base-q40.json,unknown
7b-base-q41,starcoder:7b-base-q4_1,../sizes/7b-base-q41.json,unknown
7b-base-q5-k-m,starcoder:7b-base-q5_K_M,../sizes/7b-base-q5-k-m.json,unknown
7b-base-q5-k-s,starcoder:7b-base-q5_K_S,../sizes/7b-base-q5-k-s.json,unknown
7b-base-q50,starcoder:7b-base-q5_0,../sizes/7b-base-q50.json,unknown
7b-base-q51,starcoder:7b-base-q5_1,../sizes/7b-base-q51.json,unknown
7b-base-q6-k,starcoder:7b-base-q6_K,../sizes/7b-base-q6-k.json,unknown
7b-base-q80,starcoder:7b-base-q8_0,../sizes/7b-base-q80.json,unknown
3b,starcoder:3b,../sizes/3b.json,unknown
3b-base,starcoder:3b-base,../sizes/3b-base.json,unknown
3b-base-fp16,starcoder:3b-base-fp16,../sizes/3b-base-fp16.json,unknown
3b-base-q2-k,starcoder:3b-base-q2_K,../sizes/3b-base-q2-k.json,unknown
3b-base-q3-k-l,starcoder:3b-base-q3_K_L,../sizes/3b-base-q3-k-l.json,unknown
3b-base-q3-k-m,starcoder:3b-base-q3_K_M,../sizes/3b-base-q3-k-m.json,unknown
3b-base-q3-k-s,starcoder:3b-base-q3_K_S,../sizes/3b-base-q3-k-s.json,unknown
3b-base-q4-k-m,starcoder:3b-base-q4_K_M,../sizes/3b-base-q4-k-m.json,unknown
3b-base-q4-k-s,starcoder:3b-base-q4_K_S,../sizes/3b-base-q4-k-s.json,unknown
3b-base-q40,starcoder:3b-base-q4_0,../sizes/3b-base-q40.json,unknown
3b-base-q41,starcoder:3b-base-q4_1,../sizes/3b-base-q41.json,unknown
3b-base-q5-k-m,starcoder:3b-base-q5_K_M,../sizes/3b-base-q5-k-m.json,unknown
3b-base-q5-k-s,starcoder:3b-base-q5_K_S,../sizes/3b-base-q5-k-s.json,unknown
3b-base-q50,starcoder:3b-base-q5_0,../sizes/3b-base-q50.json,unknown
3b-base-q51,starcoder:3b-base-q5_1,../sizes/3b-base-q51.json,unknown
3b-base-q6-k,starcoder:3b-base-q6_K,../sizes/3b-base-q6-k.json,unknown
3b-base-q80,starcoder:3b-base-q8_0,../sizes/3b-base-q80.json,unknown
1b,starcoder:1b,../sizes/1b.json,unknown
1b-base,starcoder:1b-base,../sizes/1b-base.json,unknown
1b-base-fp16,starcoder:1b-base-fp16,../sizes/1b-base-fp16.json,unknown
1b-base-q2-k,starcoder:1b-base-q2_K,../sizes/1b-base-q2-k.json,unknown
1b-base-q3-k-l,starcoder:1b-base-q3_K_L,../sizes/1b-base-q3-k-l.json,unknown
1b-base-q3-k-m,starcoder:1b-base-q3_K_M,../sizes/1b-base-q3-k-m.json,unknown
1b-base-q3-k-s,starcoder:1b-base-q3_K_S,../sizes/1b-base-q3-k-s.json,unknown
1b-base-q4-k-m,starcoder:1b-base-q4_K_M,../sizes/1b-base-q4-k-m.json,unknown
1b-base-q4-k-s,starcoder:1b-base-q4_K_S,../sizes/1b-base-q4-k-s.json,unknown
1b-base-q40,starcoder:1b-base-q4_0,../sizes/1b-base-q40.json,unknown
1b-base-q41,starcoder:1b-base-q4_1,../sizes/1b-base-q41.json,unknown
1b-base-q5-k-m,starcoder:1b-base-q5_K_M,../sizes/1b-base-q5-k-m.json,unknown
1b-base-q5-k-s,starcoder:1b-base-q5_K_S,../sizes/1b-base-q5-k-s.json,unknown
1b-base-q50,starcoder:1b-base-q5_0,../sizes/1b-base-q50.json,unknown
1b-base-q51,starcoder:1b-base-q5_1,../sizes/1b-base-q51.json,unknown
1b-base-q6-k,starcoder:1b-base-q6_K,../sizes/1b-base-q6-k.json,unknown
1b-base-q80,starcoder:1b-base-q8_0,../sizes/1b-base-q80.json,unknown
latest,starcoder:latest,../sizes/latest.json,unknown
