size_slug,ollama_ref,size_file
15b,starcoder2:15b,sizes/15b.json
15b-fp16,starcoder2:15b-fp16,sizes/15b-fp16.json
15b-instruct,starcoder2:15b-instruct,sizes/15b-instruct.json
15b-instruct-q4_0,starcoder2:15b-instruct-q4_0,sizes/15b-instruct-q4_0.json
15b-instruct-v0-1-fp16,starcoder2:15b-instruct-v0.1-fp16,sizes/15b-instruct-v0-1-fp16.json
15b-instruct-v0-1-q2_k,starcoder2:15b-instruct-v0.1-q2_K,sizes/15b-instruct-v0-1-q2_k.json
15b-instruct-v0-1-q3_k_l,starcoder2:15b-instruct-v0.1-q3_K_L,sizes/15b-instruct-v0-1-q3_k_l.json
15b-instruct-v0-1-q3_k_m,starcoder2:15b-instruct-v0.1-q3_K_M,sizes/15b-instruct-v0-1-q3_k_m.json
15b-instruct-v0-1-q3_k_s,starcoder2:15b-instruct-v0.1-q3_K_S,sizes/15b-instruct-v0-1-q3_k_s.json
15b-instruct-v0-1-q4_0,starcoder2:15b-instruct-v0.1-q4_0,sizes/15b-instruct-v0-1-q4_0.json
15b-instruct-v0-1-q4_1,starcoder2:15b-instruct-v0.1-q4_1,sizes/15b-instruct-v0-1-q4_1.json
15b-instruct-v0-1-q4_k_m,starcoder2:15b-instruct-v0.1-q4_K_M,sizes/15b-instruct-v0-1-q4_k_m.json
15b-instruct-v0-1-q4_k_s,starcoder2:15b-instruct-v0.1-q4_K_S,sizes/15b-instruct-v0-1-q4_k_s.json
15b-instruct-v0-1-q5_0,starcoder2:15b-instruct-v0.1-q5_0,sizes/15b-instruct-v0-1-q5_0.json
15b-instruct-v0-1-q5_1,starcoder2:15b-instruct-v0.1-q5_1,sizes/15b-instruct-v0-1-q5_1.json
15b-instruct-v0-1-q5_k_m,starcoder2:15b-instruct-v0.1-q5_K_M,sizes/15b-instruct-v0-1-q5_k_m.json
15b-instruct-v0-1-q5_k_s,starcoder2:15b-instruct-v0.1-q5_K_S,sizes/15b-instruct-v0-1-q5_k_s.json
15b-instruct-v0-1-q6_k,starcoder2:15b-instruct-v0.1-q6_K,sizes/15b-instruct-v0-1-q6_k.json
15b-instruct-v0-1-q8_0,starcoder2:15b-instruct-v0.1-q8_0,sizes/15b-instruct-v0-1-q8_0.json
15b-q2_k,starcoder2:15b-q2_K,sizes/15b-q2_k.json
15b-q3_k_l,starcoder2:15b-q3_K_L,sizes/15b-q3_k_l.json
15b-q3_k_m,starcoder2:15b-q3_K_M,sizes/15b-q3_k_m.json
15b-q3_k_s,starcoder2:15b-q3_K_S,sizes/15b-q3_k_s.json
15b-q4_0,starcoder2:15b-q4_0,sizes/15b-q4_0.json
15b-q4_1,starcoder2:15b-q4_1,sizes/15b-q4_1.json
15b-q4_k_m,starcoder2:15b-q4_K_M,sizes/15b-q4_k_m.json
15b-q4_k_s,starcoder2:15b-q4_K_S,sizes/15b-q4_k_s.json
15b-q5_0,starcoder2:15b-q5_0,sizes/15b-q5_0.json
15b-q5_1,starcoder2:15b-q5_1,sizes/15b-q5_1.json
15b-q5_k_m,starcoder2:15b-q5_K_M,sizes/15b-q5_k_m.json
15b-q5_k_s,starcoder2:15b-q5_K_S,sizes/15b-q5_k_s.json
15b-q6_k,starcoder2:15b-q6_K,sizes/15b-q6_k.json
15b-q8_0,starcoder2:15b-q8_0,sizes/15b-q8_0.json
instruct,starcoder2:instruct,sizes/instruct.json
