size_slug,ollama_ref,size_file,fit_status
15b,starcoder2:15b,../sizes/15b.json,unknown
15b-fp16,starcoder2:15b-fp16,../sizes/15b-fp16.json,no_fit
15b-instruct,starcoder2:15b-instruct,../sizes/15b-instruct.json,unknown
15b-instruct-q40,starcoder2:15b-instruct-q4_0,../sizes/15b-instruct-q40.json,unknown
15b-instruct-v0.1-fp16,starcoder2:15b-instruct-v0.1-fp16,../sizes/15b-instruct-v0.1-fp16.json,no_fit
15b-instruct-v0.1-q2-k,starcoder2:15b-instruct-v0.1-q2_K,../sizes/15b-instruct-v0.1-q2-k.json,unknown
15b-instruct-v0.1-q3-k-l,starcoder2:15b-instruct-v0.1-q3_K_L,../sizes/15b-instruct-v0.1-q3-k-l.json,unknown
15b-instruct-v0.1-q3-k-m,starcoder2:15b-instruct-v0.1-q3_K_M,../sizes/15b-instruct-v0.1-q3-k-m.json,unknown
15b-instruct-v0.1-q3-k-s,starcoder2:15b-instruct-v0.1-q3_K_S,../sizes/15b-instruct-v0.1-q3-k-s.json,unknown
15b-instruct-v0.1-q4-k-m,starcoder2:15b-instruct-v0.1-q4_K_M,../sizes/15b-instruct-v0.1-q4-k-m.json,unknown
15b-instruct-v0.1-q4-k-s,starcoder2:15b-instruct-v0.1-q4_K_S,../sizes/15b-instruct-v0.1-q4-k-s.json,unknown
15b-instruct-v0.1-q40,starcoder2:15b-instruct-v0.1-q4_0,../sizes/15b-instruct-v0.1-q40.json,unknown
15b-instruct-v0.1-q41,starcoder2:15b-instruct-v0.1-q4_1,../sizes/15b-instruct-v0.1-q41.json,unknown
15b-instruct-v0.1-q5-k-m,starcoder2:15b-instruct-v0.1-q5_K_M,../sizes/15b-instruct-v0.1-q5-k-m.json,unknown
15b-instruct-v0.1-q5-k-s,starcoder2:15b-instruct-v0.1-q5_K_S,../sizes/15b-instruct-v0.1-q5-k-s.json,unknown
15b-instruct-v0.1-q50,starcoder2:15b-instruct-v0.1-q5_0,../sizes/15b-instruct-v0.1-q50.json,unknown
15b-instruct-v0.1-q51,starcoder2:15b-instruct-v0.1-q5_1,../sizes/15b-instruct-v0.1-q51.json,unknown
15b-instruct-v0.1-q6-k,starcoder2:15b-instruct-v0.1-q6_K,../sizes/15b-instruct-v0.1-q6-k.json,no_fit
15b-instruct-v0.1-q80,starcoder2:15b-instruct-v0.1-q8_0,../sizes/15b-instruct-v0.1-q80.json,no_fit
15b-q2-k,starcoder2:15b-q2_K,../sizes/15b-q2-k.json,unknown
15b-q3-k-l,starcoder2:15b-q3_K_L,../sizes/15b-q3-k-l.json,unknown
15b-q3-k-m,starcoder2:15b-q3_K_M,../sizes/15b-q3-k-m.json,unknown
15b-q3-k-s,starcoder2:15b-q3_K_S,../sizes/15b-q3-k-s.json,unknown
15b-q4-k-m,starcoder2:15b-q4_K_M,../sizes/15b-q4-k-m.json,unknown
15b-q4-k-s,starcoder2:15b-q4_K_S,../sizes/15b-q4-k-s.json,unknown
15b-q40,starcoder2:15b-q4_0,../sizes/15b-q40.json,unknown
15b-q41,starcoder2:15b-q4_1,../sizes/15b-q41.json,unknown
15b-q5-k-m,starcoder2:15b-q5_K_M,../sizes/15b-q5-k-m.json,unknown
15b-q5-k-s,starcoder2:15b-q5_K_S,../sizes/15b-q5-k-s.json,unknown
15b-q50,starcoder2:15b-q5_0,../sizes/15b-q50.json,unknown
15b-q51,starcoder2:15b-q5_1,../sizes/15b-q51.json,unknown
15b-q6-k,starcoder2:15b-q6_K,../sizes/15b-q6-k.json,no_fit
15b-q80,starcoder2:15b-q8_0,../sizes/15b-q80.json,no_fit
7b,starcoder2:7b,../sizes/7b.json,unknown
7b-fp16,starcoder2:7b-fp16,../sizes/7b-fp16.json,unknown
7b-q2-k,starcoder2:7b-q2_K,../sizes/7b-q2-k.json,unknown
7b-q3-k-l,starcoder2:7b-q3_K_L,../sizes/7b-q3-k-l.json,unknown
7b-q3-k-m,starcoder2:7b-q3_K_M,../sizes/7b-q3-k-m.json,unknown
7b-q3-k-s,starcoder2:7b-q3_K_S,../sizes/7b-q3-k-s.json,unknown
7b-q4-k-m,starcoder2:7b-q4_K_M,../sizes/7b-q4-k-m.json,unknown
7b-q4-k-s,starcoder2:7b-q4_K_S,../sizes/7b-q4-k-s.json,unknown
7b-q40,starcoder2:7b-q4_0,../sizes/7b-q40.json,unknown
7b-q41,starcoder2:7b-q4_1,../sizes/7b-q41.json,unknown
7b-q5-k-m,starcoder2:7b-q5_K_M,../sizes/7b-q5-k-m.json,unknown
7b-q5-k-s,starcoder2:7b-q5_K_S,../sizes/7b-q5-k-s.json,unknown
7b-q50,starcoder2:7b-q5_0,../sizes/7b-q50.json,unknown
7b-q51,starcoder2:7b-q5_1,../sizes/7b-q51.json,unknown
7b-q6-k,starcoder2:7b-q6_K,../sizes/7b-q6-k.json,unknown
7b-q80,starcoder2:7b-q8_0,../sizes/7b-q80.json,unknown
3b,starcoder2:3b,../sizes/3b.json,unknown
3b-fp16,starcoder2:3b-fp16,../sizes/3b-fp16.json,unknown
3b-q2-k,starcoder2:3b-q2_K,../sizes/3b-q2-k.json,unknown
3b-q3-k-l,starcoder2:3b-q3_K_L,../sizes/3b-q3-k-l.json,unknown
3b-q3-k-m,starcoder2:3b-q3_K_M,../sizes/3b-q3-k-m.json,unknown
3b-q3-k-s,starcoder2:3b-q3_K_S,../sizes/3b-q3-k-s.json,unknown
3b-q4-k-m,starcoder2:3b-q4_K_M,../sizes/3b-q4-k-m.json,unknown
3b-q4-k-s,starcoder2:3b-q4_K_S,../sizes/3b-q4-k-s.json,unknown
3b-q40,starcoder2:3b-q4_0,../sizes/3b-q40.json,unknown
3b-q41,starcoder2:3b-q4_1,../sizes/3b-q41.json,unknown
3b-q5-k-m,starcoder2:3b-q5_K_M,../sizes/3b-q5-k-m.json,unknown
3b-q5-k-s,starcoder2:3b-q5_K_S,../sizes/3b-q5-k-s.json,unknown
3b-q50,starcoder2:3b-q5_0,../sizes/3b-q50.json,unknown
3b-q51,starcoder2:3b-q5_1,../sizes/3b-q51.json,unknown
3b-q6-k,starcoder2:3b-q6_K,../sizes/3b-q6-k.json,unknown
3b-q80,starcoder2:3b-q8_0,../sizes/3b-q80.json,unknown
instruct,starcoder2:instruct,../sizes/instruct.json,unknown
latest,starcoder2:latest,../sizes/latest.json,unknown
