size_slug,ollama_ref,size_file
7b,starling-lm:7b,sizes/7b.json
7b-alpha,starling-lm:7b-alpha,sizes/7b-alpha.json
7b-alpha-fp16,starling-lm:7b-alpha-fp16,sizes/7b-alpha-fp16.json
7b-alpha-q2_k,starling-lm:7b-alpha-q2_K,sizes/7b-alpha-q2_k.json
7b-alpha-q3_k_l,starling-lm:7b-alpha-q3_K_L,sizes/7b-alpha-q3_k_l.json
7b-alpha-q3_k_m,starling-lm:7b-alpha-q3_K_M,sizes/7b-alpha-q3_k_m.json
7b-alpha-q3_k_s,starling-lm:7b-alpha-q3_K_S,sizes/7b-alpha-q3_k_s.json
7b-alpha-q4_0,starling-lm:7b-alpha-q4_0,sizes/7b-alpha-q4_0.json
7b-alpha-q4_1,starling-lm:7b-alpha-q4_1,sizes/7b-alpha-q4_1.json
7b-alpha-q4_k_m,starling-lm:7b-alpha-q4_K_M,sizes/7b-alpha-q4_k_m.json
7b-alpha-q4_k_s,starling-lm:7b-alpha-q4_K_S,sizes/7b-alpha-q4_k_s.json
7b-alpha-q5_0,starling-lm:7b-alpha-q5_0,sizes/7b-alpha-q5_0.json
7b-alpha-q5_1,starling-lm:7b-alpha-q5_1,sizes/7b-alpha-q5_1.json
7b-alpha-q5_k_m,starling-lm:7b-alpha-q5_K_M,sizes/7b-alpha-q5_k_m.json
7b-alpha-q5_k_s,starling-lm:7b-alpha-q5_K_S,sizes/7b-alpha-q5_k_s.json
7b-alpha-q6_k,starling-lm:7b-alpha-q6_K,sizes/7b-alpha-q6_k.json
7b-alpha-q8_0,starling-lm:7b-alpha-q8_0,sizes/7b-alpha-q8_0.json
7b-beta,starling-lm:7b-beta,sizes/7b-beta.json
7b-beta-fp16,starling-lm:7b-beta-fp16,sizes/7b-beta-fp16.json
7b-beta-q2_k,starling-lm:7b-beta-q2_K,sizes/7b-beta-q2_k.json
7b-beta-q3_k_l,starling-lm:7b-beta-q3_K_L,sizes/7b-beta-q3_k_l.json
7b-beta-q3_k_m,starling-lm:7b-beta-q3_K_M,sizes/7b-beta-q3_k_m.json
7b-beta-q3_k_s,starling-lm:7b-beta-q3_K_S,sizes/7b-beta-q3_k_s.json
7b-beta-q4_0,starling-lm:7b-beta-q4_0,sizes/7b-beta-q4_0.json
7b-beta-q4_1,starling-lm:7b-beta-q4_1,sizes/7b-beta-q4_1.json
7b-beta-q4_k_m,starling-lm:7b-beta-q4_K_M,sizes/7b-beta-q4_k_m.json
7b-beta-q4_k_s,starling-lm:7b-beta-q4_K_S,sizes/7b-beta-q4_k_s.json
7b-beta-q5_0,starling-lm:7b-beta-q5_0,sizes/7b-beta-q5_0.json
7b-beta-q5_1,starling-lm:7b-beta-q5_1,sizes/7b-beta-q5_1.json
7b-beta-q5_k_m,starling-lm:7b-beta-q5_K_M,sizes/7b-beta-q5_k_m.json
7b-beta-q5_k_s,starling-lm:7b-beta-q5_K_S,sizes/7b-beta-q5_k_s.json
7b-beta-q6_k,starling-lm:7b-beta-q6_K,sizes/7b-beta-q6_k.json
7b-beta-q8_0,starling-lm:7b-beta-q8_0,sizes/7b-beta-q8_0.json
alpha,starling-lm:alpha,sizes/alpha.json
beta,starling-lm:beta,sizes/beta.json
latest,starling-lm:latest,sizes/latest.json
