size_slug,ollama_ref,size_file,fit_status
7b,starling-lm:7b,../sizes/7b.json,not_listed_in_agents_selection
7b-alpha,starling-lm:7b-alpha,../sizes/7b-alpha.json,not_listed_in_agents_selection
7b-alpha-fp16,starling-lm:7b-alpha-fp16,../sizes/7b-alpha-fp16.json,not_listed_in_agents_selection
7b-alpha-q2_k,starling-lm:7b-alpha-q2_K,../sizes/7b-alpha-q2_k.json,not_listed_in_agents_selection
7b-alpha-q3_k_l,starling-lm:7b-alpha-q3_K_L,../sizes/7b-alpha-q3_k_l.json,not_listed_in_agents_selection
7b-alpha-q3_k_m,starling-lm:7b-alpha-q3_K_M,../sizes/7b-alpha-q3_k_m.json,not_listed_in_agents_selection
7b-alpha-q3_k_s,starling-lm:7b-alpha-q3_K_S,../sizes/7b-alpha-q3_k_s.json,not_listed_in_agents_selection
7b-alpha-q4_0,starling-lm:7b-alpha-q4_0,../sizes/7b-alpha-q4_0.json,not_listed_in_agents_selection
7b-alpha-q4_1,starling-lm:7b-alpha-q4_1,../sizes/7b-alpha-q4_1.json,not_listed_in_agents_selection
7b-alpha-q4_k_m,starling-lm:7b-alpha-q4_K_M,../sizes/7b-alpha-q4_k_m.json,not_listed_in_agents_selection
7b-alpha-q4_k_s,starling-lm:7b-alpha-q4_K_S,../sizes/7b-alpha-q4_k_s.json,not_listed_in_agents_selection
7b-alpha-q5_0,starling-lm:7b-alpha-q5_0,../sizes/7b-alpha-q5_0.json,not_listed_in_agents_selection
7b-alpha-q5_1,starling-lm:7b-alpha-q5_1,../sizes/7b-alpha-q5_1.json,not_listed_in_agents_selection
7b-alpha-q5_k_m,starling-lm:7b-alpha-q5_K_M,../sizes/7b-alpha-q5_k_m.json,not_listed_in_agents_selection
7b-alpha-q5_k_s,starling-lm:7b-alpha-q5_K_S,../sizes/7b-alpha-q5_k_s.json,not_listed_in_agents_selection
7b-alpha-q6_k,starling-lm:7b-alpha-q6_K,../sizes/7b-alpha-q6_k.json,not_listed_in_agents_selection
7b-alpha-q8_0,starling-lm:7b-alpha-q8_0,../sizes/7b-alpha-q8_0.json,not_listed_in_agents_selection
7b-beta,starling-lm:7b-beta,../sizes/7b-beta.json,not_listed_in_agents_selection
7b-beta-fp16,starling-lm:7b-beta-fp16,../sizes/7b-beta-fp16.json,not_listed_in_agents_selection
7b-beta-q2_k,starling-lm:7b-beta-q2_K,../sizes/7b-beta-q2_k.json,not_listed_in_agents_selection
7b-beta-q3_k_l,starling-lm:7b-beta-q3_K_L,../sizes/7b-beta-q3_k_l.json,not_listed_in_agents_selection
7b-beta-q3_k_m,starling-lm:7b-beta-q3_K_M,../sizes/7b-beta-q3_k_m.json,not_listed_in_agents_selection
7b-beta-q3_k_s,starling-lm:7b-beta-q3_K_S,../sizes/7b-beta-q3_k_s.json,not_listed_in_agents_selection
7b-beta-q4_0,starling-lm:7b-beta-q4_0,../sizes/7b-beta-q4_0.json,not_listed_in_agents_selection
7b-beta-q4_1,starling-lm:7b-beta-q4_1,../sizes/7b-beta-q4_1.json,not_listed_in_agents_selection
7b-beta-q4_k_m,starling-lm:7b-beta-q4_K_M,../sizes/7b-beta-q4_k_m.json,not_listed_in_agents_selection
7b-beta-q4_k_s,starling-lm:7b-beta-q4_K_S,../sizes/7b-beta-q4_k_s.json,not_listed_in_agents_selection
7b-beta-q5_0,starling-lm:7b-beta-q5_0,../sizes/7b-beta-q5_0.json,not_listed_in_agents_selection
7b-beta-q5_1,starling-lm:7b-beta-q5_1,../sizes/7b-beta-q5_1.json,not_listed_in_agents_selection
7b-beta-q5_k_m,starling-lm:7b-beta-q5_K_M,../sizes/7b-beta-q5_k_m.json,not_listed_in_agents_selection
7b-beta-q5_k_s,starling-lm:7b-beta-q5_K_S,../sizes/7b-beta-q5_k_s.json,not_listed_in_agents_selection
7b-beta-q6_k,starling-lm:7b-beta-q6_K,../sizes/7b-beta-q6_k.json,not_listed_in_agents_selection
7b-beta-q8_0,starling-lm:7b-beta-q8_0,../sizes/7b-beta-q8_0.json,not_listed_in_agents_selection
alpha,starling-lm:alpha,../sizes/alpha.json,not_listed_in_agents_selection
beta,starling-lm:beta,../sizes/beta.json,not_listed_in_agents_selection
latest,starling-lm:latest,../sizes/latest.json,not_listed_in_agents_selection
