size_slug,ollama_ref,size_file
13b,vicuna:13b,sizes/13b.json
13b-16k,vicuna:13b-16k,sizes/13b-16k.json
13b-fp16,vicuna:13b-fp16,sizes/13b-fp16.json
13b-q2_k,vicuna:13b-q2_K,sizes/13b-q2_k.json
13b-q3_k_l,vicuna:13b-q3_K_L,sizes/13b-q3_k_l.json
13b-q3_k_m,vicuna:13b-q3_K_M,sizes/13b-q3_k_m.json
13b-q3_k_s,vicuna:13b-q3_K_S,sizes/13b-q3_k_s.json
13b-q4_0,vicuna:13b-q4_0,sizes/13b-q4_0.json
13b-q4_1,vicuna:13b-q4_1,sizes/13b-q4_1.json
13b-q4_k_m,vicuna:13b-q4_K_M,sizes/13b-q4_k_m.json
13b-q4_k_s,vicuna:13b-q4_K_S,sizes/13b-q4_k_s.json
13b-q5_0,vicuna:13b-q5_0,sizes/13b-q5_0.json
13b-q5_1,vicuna:13b-q5_1,sizes/13b-q5_1.json
13b-q5_k_m,vicuna:13b-q5_K_M,sizes/13b-q5_k_m.json
13b-q5_k_s,vicuna:13b-q5_K_S,sizes/13b-q5_k_s.json
13b-q6_k,vicuna:13b-q6_K,sizes/13b-q6_k.json
13b-q8_0,vicuna:13b-q8_0,sizes/13b-q8_0.json
13b-v1-5-16k-fp16,vicuna:13b-v1.5-16k-fp16,sizes/13b-v1-5-16k-fp16.json
13b-v1-5-16k-q2_k,vicuna:13b-v1.5-16k-q2_K,sizes/13b-v1-5-16k-q2_k.json
13b-v1-5-16k-q3_k_l,vicuna:13b-v1.5-16k-q3_K_L,sizes/13b-v1-5-16k-q3_k_l.json
13b-v1-5-16k-q3_k_m,vicuna:13b-v1.5-16k-q3_K_M,sizes/13b-v1-5-16k-q3_k_m.json
13b-v1-5-16k-q3_k_s,vicuna:13b-v1.5-16k-q3_K_S,sizes/13b-v1-5-16k-q3_k_s.json
13b-v1-5-16k-q4_0,vicuna:13b-v1.5-16k-q4_0,sizes/13b-v1-5-16k-q4_0.json
13b-v1-5-16k-q4_1,vicuna:13b-v1.5-16k-q4_1,sizes/13b-v1-5-16k-q4_1.json
13b-v1-5-16k-q4_k_m,vicuna:13b-v1.5-16k-q4_K_M,sizes/13b-v1-5-16k-q4_k_m.json
13b-v1-5-16k-q4_k_s,vicuna:13b-v1.5-16k-q4_K_S,sizes/13b-v1-5-16k-q4_k_s.json
13b-v1-5-16k-q5_0,vicuna:13b-v1.5-16k-q5_0,sizes/13b-v1-5-16k-q5_0.json
13b-v1-5-16k-q5_1,vicuna:13b-v1.5-16k-q5_1,sizes/13b-v1-5-16k-q5_1.json
13b-v1-5-16k-q5_k_m,vicuna:13b-v1.5-16k-q5_K_M,sizes/13b-v1-5-16k-q5_k_m.json
13b-v1-5-16k-q5_k_s,vicuna:13b-v1.5-16k-q5_K_S,sizes/13b-v1-5-16k-q5_k_s.json
13b-v1-5-16k-q6_k,vicuna:13b-v1.5-16k-q6_K,sizes/13b-v1-5-16k-q6_k.json
13b-v1-5-16k-q8_0,vicuna:13b-v1.5-16k-q8_0,sizes/13b-v1-5-16k-q8_0.json
13b-v1-5-fp16,vicuna:13b-v1.5-fp16,sizes/13b-v1-5-fp16.json
13b-v1-5-q2_k,vicuna:13b-v1.5-q2_K,sizes/13b-v1-5-q2_k.json
13b-v1-5-q3_k_l,vicuna:13b-v1.5-q3_K_L,sizes/13b-v1-5-q3_k_l.json
13b-v1-5-q3_k_m,vicuna:13b-v1.5-q3_K_M,sizes/13b-v1-5-q3_k_m.json
13b-v1-5-q3_k_s,vicuna:13b-v1.5-q3_K_S,sizes/13b-v1-5-q3_k_s.json
13b-v1-5-q4_0,vicuna:13b-v1.5-q4_0,sizes/13b-v1-5-q4_0.json
13b-v1-5-q4_1,vicuna:13b-v1.5-q4_1,sizes/13b-v1-5-q4_1.json
13b-v1-5-q4_k_m,vicuna:13b-v1.5-q4_K_M,sizes/13b-v1-5-q4_k_m.json
13b-v1-5-q4_k_s,vicuna:13b-v1.5-q4_K_S,sizes/13b-v1-5-q4_k_s.json
13b-v1-5-q5_0,vicuna:13b-v1.5-q5_0,sizes/13b-v1-5-q5_0.json
13b-v1-5-q5_1,vicuna:13b-v1.5-q5_1,sizes/13b-v1-5-q5_1.json
13b-v1-5-q5_k_m,vicuna:13b-v1.5-q5_K_M,sizes/13b-v1-5-q5_k_m.json
13b-v1-5-q5_k_s,vicuna:13b-v1.5-q5_K_S,sizes/13b-v1-5-q5_k_s.json
13b-v1-5-q6_k,vicuna:13b-v1.5-q6_K,sizes/13b-v1-5-q6_k.json
13b-v1-5-q8_0,vicuna:13b-v1.5-q8_0,sizes/13b-v1-5-q8_0.json
