size_slug,ollama_ref,size_file,fit_status
13b,vicuna:13b,../sizes/13b.json,not_listed_in_agents_selection
13b-16k,vicuna:13b-16k,../sizes/13b-16k.json,not_listed_in_agents_selection
13b-fp16,vicuna:13b-fp16,../sizes/13b-fp16.json,not_listed_in_agents_selection
13b-q2_k,vicuna:13b-q2_K,../sizes/13b-q2_k.json,not_listed_in_agents_selection
13b-q3_k_l,vicuna:13b-q3_K_L,../sizes/13b-q3_k_l.json,not_listed_in_agents_selection
13b-q3_k_m,vicuna:13b-q3_K_M,../sizes/13b-q3_k_m.json,not_listed_in_agents_selection
13b-q3_k_s,vicuna:13b-q3_K_S,../sizes/13b-q3_k_s.json,not_listed_in_agents_selection
13b-q4_0,vicuna:13b-q4_0,../sizes/13b-q4_0.json,not_listed_in_agents_selection
13b-q4_1,vicuna:13b-q4_1,../sizes/13b-q4_1.json,not_listed_in_agents_selection
13b-q4_k_m,vicuna:13b-q4_K_M,../sizes/13b-q4_k_m.json,not_listed_in_agents_selection
13b-q4_k_s,vicuna:13b-q4_K_S,../sizes/13b-q4_k_s.json,not_listed_in_agents_selection
13b-q5_0,vicuna:13b-q5_0,../sizes/13b-q5_0.json,not_listed_in_agents_selection
13b-q5_1,vicuna:13b-q5_1,../sizes/13b-q5_1.json,not_listed_in_agents_selection
13b-q5_k_m,vicuna:13b-q5_K_M,../sizes/13b-q5_k_m.json,not_listed_in_agents_selection
13b-q5_k_s,vicuna:13b-q5_K_S,../sizes/13b-q5_k_s.json,not_listed_in_agents_selection
13b-q6_k,vicuna:13b-q6_K,../sizes/13b-q6_k.json,not_listed_in_agents_selection
13b-q8_0,vicuna:13b-q8_0,../sizes/13b-q8_0.json,not_listed_in_agents_selection
13b-v1-5-16k-fp16,vicuna:13b-v1.5-16k-fp16,../sizes/13b-v1-5-16k-fp16.json,not_listed_in_agents_selection
13b-v1-5-16k-q2_k,vicuna:13b-v1.5-16k-q2_K,../sizes/13b-v1-5-16k-q2_k.json,not_listed_in_agents_selection
13b-v1-5-16k-q3_k_l,vicuna:13b-v1.5-16k-q3_K_L,../sizes/13b-v1-5-16k-q3_k_l.json,not_listed_in_agents_selection
13b-v1-5-16k-q3_k_m,vicuna:13b-v1.5-16k-q3_K_M,../sizes/13b-v1-5-16k-q3_k_m.json,not_listed_in_agents_selection
13b-v1-5-16k-q3_k_s,vicuna:13b-v1.5-16k-q3_K_S,../sizes/13b-v1-5-16k-q3_k_s.json,not_listed_in_agents_selection
13b-v1-5-16k-q4_0,vicuna:13b-v1.5-16k-q4_0,../sizes/13b-v1-5-16k-q4_0.json,not_listed_in_agents_selection
13b-v1-5-16k-q4_1,vicuna:13b-v1.5-16k-q4_1,../sizes/13b-v1-5-16k-q4_1.json,not_listed_in_agents_selection
13b-v1-5-16k-q4_k_m,vicuna:13b-v1.5-16k-q4_K_M,../sizes/13b-v1-5-16k-q4_k_m.json,not_listed_in_agents_selection
13b-v1-5-16k-q4_k_s,vicuna:13b-v1.5-16k-q4_K_S,../sizes/13b-v1-5-16k-q4_k_s.json,not_listed_in_agents_selection
13b-v1-5-16k-q5_0,vicuna:13b-v1.5-16k-q5_0,../sizes/13b-v1-5-16k-q5_0.json,not_listed_in_agents_selection
13b-v1-5-16k-q5_1,vicuna:13b-v1.5-16k-q5_1,../sizes/13b-v1-5-16k-q5_1.json,not_listed_in_agents_selection
13b-v1-5-16k-q5_k_m,vicuna:13b-v1.5-16k-q5_K_M,../sizes/13b-v1-5-16k-q5_k_m.json,not_listed_in_agents_selection
13b-v1-5-16k-q5_k_s,vicuna:13b-v1.5-16k-q5_K_S,../sizes/13b-v1-5-16k-q5_k_s.json,not_listed_in_agents_selection
13b-v1-5-16k-q6_k,vicuna:13b-v1.5-16k-q6_K,../sizes/13b-v1-5-16k-q6_k.json,not_listed_in_agents_selection
13b-v1-5-16k-q8_0,vicuna:13b-v1.5-16k-q8_0,../sizes/13b-v1-5-16k-q8_0.json,not_listed_in_agents_selection
13b-v1-5-fp16,vicuna:13b-v1.5-fp16,../sizes/13b-v1-5-fp16.json,not_listed_in_agents_selection
13b-v1-5-q2_k,vicuna:13b-v1.5-q2_K,../sizes/13b-v1-5-q2_k.json,not_listed_in_agents_selection
13b-v1-5-q3_k_l,vicuna:13b-v1.5-q3_K_L,../sizes/13b-v1-5-q3_k_l.json,not_listed_in_agents_selection
13b-v1-5-q3_k_m,vicuna:13b-v1.5-q3_K_M,../sizes/13b-v1-5-q3_k_m.json,not_listed_in_agents_selection
13b-v1-5-q3_k_s,vicuna:13b-v1.5-q3_K_S,../sizes/13b-v1-5-q3_k_s.json,not_listed_in_agents_selection
13b-v1-5-q4_0,vicuna:13b-v1.5-q4_0,../sizes/13b-v1-5-q4_0.json,not_listed_in_agents_selection
13b-v1-5-q4_1,vicuna:13b-v1.5-q4_1,../sizes/13b-v1-5-q4_1.json,not_listed_in_agents_selection
13b-v1-5-q4_k_m,vicuna:13b-v1.5-q4_K_M,../sizes/13b-v1-5-q4_k_m.json,not_listed_in_agents_selection
13b-v1-5-q4_k_s,vicuna:13b-v1.5-q4_K_S,../sizes/13b-v1-5-q4_k_s.json,not_listed_in_agents_selection
13b-v1-5-q5_0,vicuna:13b-v1.5-q5_0,../sizes/13b-v1-5-q5_0.json,not_listed_in_agents_selection
13b-v1-5-q5_1,vicuna:13b-v1.5-q5_1,../sizes/13b-v1-5-q5_1.json,not_listed_in_agents_selection
13b-v1-5-q5_k_m,vicuna:13b-v1.5-q5_K_M,../sizes/13b-v1-5-q5_k_m.json,not_listed_in_agents_selection
13b-v1-5-q5_k_s,vicuna:13b-v1.5-q5_K_S,../sizes/13b-v1-5-q5_k_s.json,not_listed_in_agents_selection
13b-v1-5-q6_k,vicuna:13b-v1.5-q6_K,../sizes/13b-v1-5-q6_k.json,not_listed_in_agents_selection
13b-v1-5-q8_0,vicuna:13b-v1.5-q8_0,../sizes/13b-v1-5-q8_0.json,not_listed_in_agents_selection
