size_slug,size_json_path,ollama_ref
30b,profiles/wizard-vicuna-uncensored/sizes/30b.json,wizard-vicuna-uncensored:30b
30b-fp16,profiles/wizard-vicuna-uncensored/sizes/30b-fp16.json,wizard-vicuna-uncensored:30b-fp16
30b-q2-k,profiles/wizard-vicuna-uncensored/sizes/30b-q2-k.json,wizard-vicuna-uncensored:30b-q2_K
30b-q3-k-l,profiles/wizard-vicuna-uncensored/sizes/30b-q3-k-l.json,wizard-vicuna-uncensored:30b-q3_K_L
30b-q3-k-m,profiles/wizard-vicuna-uncensored/sizes/30b-q3-k-m.json,wizard-vicuna-uncensored:30b-q3_K_M
30b-q3-k-s,profiles/wizard-vicuna-uncensored/sizes/30b-q3-k-s.json,wizard-vicuna-uncensored:30b-q3_K_S
30b-q4-k-m,profiles/wizard-vicuna-uncensored/sizes/30b-q4-k-m.json,wizard-vicuna-uncensored:30b-q4_K_M
30b-q4-k-s,profiles/wizard-vicuna-uncensored/sizes/30b-q4-k-s.json,wizard-vicuna-uncensored:30b-q4_K_S
30b-q40,profiles/wizard-vicuna-uncensored/sizes/30b-q40.json,wizard-vicuna-uncensored:30b-q4_0
30b-q41,profiles/wizard-vicuna-uncensored/sizes/30b-q41.json,wizard-vicuna-uncensored:30b-q4_1
30b-q5-k-m,profiles/wizard-vicuna-uncensored/sizes/30b-q5-k-m.json,wizard-vicuna-uncensored:30b-q5_K_M
30b-q5-k-s,profiles/wizard-vicuna-uncensored/sizes/30b-q5-k-s.json,wizard-vicuna-uncensored:30b-q5_K_S
30b-q50,profiles/wizard-vicuna-uncensored/sizes/30b-q50.json,wizard-vicuna-uncensored:30b-q5_0
30b-q51,profiles/wizard-vicuna-uncensored/sizes/30b-q51.json,wizard-vicuna-uncensored:30b-q5_1
30b-q6-k,profiles/wizard-vicuna-uncensored/sizes/30b-q6-k.json,wizard-vicuna-uncensored:30b-q6_K
30b-q80,profiles/wizard-vicuna-uncensored/sizes/30b-q80.json,wizard-vicuna-uncensored:30b-q8_0
13b,profiles/wizard-vicuna-uncensored/sizes/13b.json,wizard-vicuna-uncensored:13b
13b-fp16,profiles/wizard-vicuna-uncensored/sizes/13b-fp16.json,wizard-vicuna-uncensored:13b-fp16
13b-q2-k,profiles/wizard-vicuna-uncensored/sizes/13b-q2-k.json,wizard-vicuna-uncensored:13b-q2_K
13b-q3-k-l,profiles/wizard-vicuna-uncensored/sizes/13b-q3-k-l.json,wizard-vicuna-uncensored:13b-q3_K_L
13b-q3-k-m,profiles/wizard-vicuna-uncensored/sizes/13b-q3-k-m.json,wizard-vicuna-uncensored:13b-q3_K_M
13b-q3-k-s,profiles/wizard-vicuna-uncensored/sizes/13b-q3-k-s.json,wizard-vicuna-uncensored:13b-q3_K_S
13b-q4-k-m,profiles/wizard-vicuna-uncensored/sizes/13b-q4-k-m.json,wizard-vicuna-uncensored:13b-q4_K_M
13b-q4-k-s,profiles/wizard-vicuna-uncensored/sizes/13b-q4-k-s.json,wizard-vicuna-uncensored:13b-q4_K_S
13b-q40,profiles/wizard-vicuna-uncensored/sizes/13b-q40.json,wizard-vicuna-uncensored:13b-q4_0
13b-q41,profiles/wizard-vicuna-uncensored/sizes/13b-q41.json,wizard-vicuna-uncensored:13b-q4_1
13b-q5-k-m,profiles/wizard-vicuna-uncensored/sizes/13b-q5-k-m.json,wizard-vicuna-uncensored:13b-q5_K_M
13b-q5-k-s,profiles/wizard-vicuna-uncensored/sizes/13b-q5-k-s.json,wizard-vicuna-uncensored:13b-q5_K_S
13b-q50,profiles/wizard-vicuna-uncensored/sizes/13b-q50.json,wizard-vicuna-uncensored:13b-q5_0
13b-q51,profiles/wizard-vicuna-uncensored/sizes/13b-q51.json,wizard-vicuna-uncensored:13b-q5_1
13b-q6-k,profiles/wizard-vicuna-uncensored/sizes/13b-q6-k.json,wizard-vicuna-uncensored:13b-q6_K
13b-q80,profiles/wizard-vicuna-uncensored/sizes/13b-q80.json,wizard-vicuna-uncensored:13b-q8_0
7b,profiles/wizard-vicuna-uncensored/sizes/7b.json,wizard-vicuna-uncensored:7b
7b-fp16,profiles/wizard-vicuna-uncensored/sizes/7b-fp16.json,wizard-vicuna-uncensored:7b-fp16
7b-q2-k,profiles/wizard-vicuna-uncensored/sizes/7b-q2-k.json,wizard-vicuna-uncensored:7b-q2_K
7b-q3-k-l,profiles/wizard-vicuna-uncensored/sizes/7b-q3-k-l.json,wizard-vicuna-uncensored:7b-q3_K_L
7b-q3-k-m,profiles/wizard-vicuna-uncensored/sizes/7b-q3-k-m.json,wizard-vicuna-uncensored:7b-q3_K_M
