size_slug,ollama_ref,size_file,fit_status
30b,wizard-vicuna-uncensored:30b,../sizes/30b.json,no_fit
30b-fp16,wizard-vicuna-uncensored:30b-fp16,../sizes/30b-fp16.json,no_fit
30b-q2-k,wizard-vicuna-uncensored:30b-q2_K,../sizes/30b-q2-k.json,no_fit
30b-q3-k-l,wizard-vicuna-uncensored:30b-q3_K_L,../sizes/30b-q3-k-l.json,no_fit
30b-q3-k-m,wizard-vicuna-uncensored:30b-q3_K_M,../sizes/30b-q3-k-m.json,no_fit
30b-q3-k-s,wizard-vicuna-uncensored:30b-q3_K_S,../sizes/30b-q3-k-s.json,no_fit
30b-q4-k-m,wizard-vicuna-uncensored:30b-q4_K_M,../sizes/30b-q4-k-m.json,no_fit
30b-q4-k-s,wizard-vicuna-uncensored:30b-q4_K_S,../sizes/30b-q4-k-s.json,no_fit
30b-q40,wizard-vicuna-uncensored:30b-q4_0,../sizes/30b-q40.json,no_fit
30b-q41,wizard-vicuna-uncensored:30b-q4_1,../sizes/30b-q41.json,no_fit
30b-q5-k-m,wizard-vicuna-uncensored:30b-q5_K_M,../sizes/30b-q5-k-m.json,no_fit
30b-q5-k-s,wizard-vicuna-uncensored:30b-q5_K_S,../sizes/30b-q5-k-s.json,no_fit
30b-q50,wizard-vicuna-uncensored:30b-q5_0,../sizes/30b-q50.json,no_fit
30b-q51,wizard-vicuna-uncensored:30b-q5_1,../sizes/30b-q51.json,no_fit
30b-q6-k,wizard-vicuna-uncensored:30b-q6_K,../sizes/30b-q6-k.json,no_fit
30b-q80,wizard-vicuna-uncensored:30b-q8_0,../sizes/30b-q80.json,no_fit
13b,wizard-vicuna-uncensored:13b,../sizes/13b.json,no_fit
13b-fp16,wizard-vicuna-uncensored:13b-fp16,../sizes/13b-fp16.json,no_fit
13b-q2-k,wizard-vicuna-uncensored:13b-q2_K,../sizes/13b-q2-k.json,no_fit
13b-q3-k-l,wizard-vicuna-uncensored:13b-q3_K_L,../sizes/13b-q3-k-l.json,no_fit
13b-q3-k-m,wizard-vicuna-uncensored:13b-q3_K_M,../sizes/13b-q3-k-m.json,no_fit
13b-q3-k-s,wizard-vicuna-uncensored:13b-q3_K_S,../sizes/13b-q3-k-s.json,no_fit
13b-q4-k-m,wizard-vicuna-uncensored:13b-q4_K_M,../sizes/13b-q4-k-m.json,no_fit
13b-q4-k-s,wizard-vicuna-uncensored:13b-q4_K_S,../sizes/13b-q4-k-s.json,no_fit
13b-q40,wizard-vicuna-uncensored:13b-q4_0,../sizes/13b-q40.json,no_fit
13b-q41,wizard-vicuna-uncensored:13b-q4_1,../sizes/13b-q41.json,no_fit
13b-q5-k-m,wizard-vicuna-uncensored:13b-q5_K_M,../sizes/13b-q5-k-m.json,no_fit
13b-q5-k-s,wizard-vicuna-uncensored:13b-q5_K_S,../sizes/13b-q5-k-s.json,no_fit
13b-q50,wizard-vicuna-uncensored:13b-q5_0,../sizes/13b-q50.json,no_fit
13b-q51,wizard-vicuna-uncensored:13b-q5_1,../sizes/13b-q51.json,no_fit
13b-q6-k,wizard-vicuna-uncensored:13b-q6_K,../sizes/13b-q6-k.json,no_fit
13b-q80,wizard-vicuna-uncensored:13b-q8_0,../sizes/13b-q80.json,no_fit
7b,wizard-vicuna-uncensored:7b,../sizes/7b.json,fit
7b-fp16,wizard-vicuna-uncensored:7b-fp16,../sizes/7b-fp16.json,no_fit
7b-q2-k,wizard-vicuna-uncensored:7b-q2_K,../sizes/7b-q2-k.json,fit
7b-q3-k-l,wizard-vicuna-uncensored:7b-q3_K_L,../sizes/7b-q3-k-l.json,fit
7b-q3-k-m,wizard-vicuna-uncensored:7b-q3_K_M,../sizes/7b-q3-k-m.json,fit
7b-q3-k-s,wizard-vicuna-uncensored:7b-q3_K_S,../sizes/7b-q3-k-s.json,fit
7b-q4-k-m,wizard-vicuna-uncensored:7b-q4_K_M,../sizes/7b-q4-k-m.json,fit
7b-q4-k-s,wizard-vicuna-uncensored:7b-q4_K_S,../sizes/7b-q4-k-s.json,fit
7b-q40,wizard-vicuna-uncensored:7b-q4_0,../sizes/7b-q40.json,fit
7b-q41,wizard-vicuna-uncensored:7b-q4_1,../sizes/7b-q41.json,fit
7b-q5-k-m,wizard-vicuna-uncensored:7b-q5_K_M,../sizes/7b-q5-k-m.json,no_fit
7b-q5-k-s,wizard-vicuna-uncensored:7b-q5_K_S,../sizes/7b-q5-k-s.json,no_fit
7b-q50,wizard-vicuna-uncensored:7b-q5_0,../sizes/7b-q50.json,no_fit
7b-q51,wizard-vicuna-uncensored:7b-q5_1,../sizes/7b-q51.json,no_fit
7b-q6-k,wizard-vicuna-uncensored:7b-q6_K,../sizes/7b-q6-k.json,no_fit
7b-q80,wizard-vicuna-uncensored:7b-q8_0,../sizes/7b-q80.json,no_fit
latest,wizard-vicuna-uncensored:latest,../sizes/latest.json,fit
