size_slug,ollama_ref,size_file,fit_status
13b,wizard-vicuna:13b,../sizes/13b.json,no_fit
13b-fp16,wizard-vicuna:13b-fp16,../sizes/13b-fp16.json,no_fit
13b-q2-k,wizard-vicuna:13b-q2_K,../sizes/13b-q2-k.json,no_fit
13b-q3-k-l,wizard-vicuna:13b-q3_K_L,../sizes/13b-q3-k-l.json,no_fit
13b-q3-k-m,wizard-vicuna:13b-q3_K_M,../sizes/13b-q3-k-m.json,no_fit
13b-q3-k-s,wizard-vicuna:13b-q3_K_S,../sizes/13b-q3-k-s.json,no_fit
13b-q4-k-m,wizard-vicuna:13b-q4_K_M,../sizes/13b-q4-k-m.json,no_fit
13b-q4-k-s,wizard-vicuna:13b-q4_K_S,../sizes/13b-q4-k-s.json,no_fit
13b-q40,wizard-vicuna:13b-q4_0,../sizes/13b-q40.json,no_fit
13b-q41,wizard-vicuna:13b-q4_1,../sizes/13b-q41.json,no_fit
13b-q5-k-m,wizard-vicuna:13b-q5_K_M,../sizes/13b-q5-k-m.json,no_fit
13b-q5-k-s,wizard-vicuna:13b-q5_K_S,../sizes/13b-q5-k-s.json,no_fit
13b-q50,wizard-vicuna:13b-q5_0,../sizes/13b-q50.json,no_fit
13b-q51,wizard-vicuna:13b-q5_1,../sizes/13b-q51.json,no_fit
13b-q6-k,wizard-vicuna:13b-q6_K,../sizes/13b-q6-k.json,no_fit
13b-q80,wizard-vicuna:13b-q8_0,../sizes/13b-q80.json,no_fit
latest,wizard-vicuna:latest,../sizes/latest.json,no_fit
