size_slug,ollama_ref,size_file
7b-python,wizardcoder:7b-python,sizes/7b-python.json
7b-python-fp16,wizardcoder:7b-python-fp16,sizes/7b-python-fp16.json
7b-python-q2_k,wizardcoder:7b-python-q2_K,sizes/7b-python-q2_k.json
7b-python-q3_k_l,wizardcoder:7b-python-q3_K_L,sizes/7b-python-q3_k_l.json
7b-python-q3_k_m,wizardcoder:7b-python-q3_K_M,sizes/7b-python-q3_k_m.json
7b-python-q3_k_s,wizardcoder:7b-python-q3_K_S,sizes/7b-python-q3_k_s.json
7b-python-q4_0,wizardcoder:7b-python-q4_0,sizes/7b-python-q4_0.json
7b-python-q4_1,wizardcoder:7b-python-q4_1,sizes/7b-python-q4_1.json
7b-python-q4_k_m,wizardcoder:7b-python-q4_K_M,sizes/7b-python-q4_k_m.json
7b-python-q4_k_s,wizardcoder:7b-python-q4_K_S,sizes/7b-python-q4_k_s.json
7b-python-q5_0,wizardcoder:7b-python-q5_0,sizes/7b-python-q5_0.json
7b-python-q5_1,wizardcoder:7b-python-q5_1,sizes/7b-python-q5_1.json
7b-python-q5_k_m,wizardcoder:7b-python-q5_K_M,sizes/7b-python-q5_k_m.json
7b-python-q5_k_s,wizardcoder:7b-python-q5_K_S,sizes/7b-python-q5_k_s.json
7b-python-q6_k,wizardcoder:7b-python-q6_K,sizes/7b-python-q6_k.json
7b-python-q8_0,wizardcoder:7b-python-q8_0,sizes/7b-python-q8_0.json
latest,wizardcoder:latest,sizes/latest.json
python,wizardcoder:python,sizes/python.json
