size_slug,ollama_ref,size_file,fit_status
34b-python,wizardcoder:34b-python,../sizes/34b-python.json,no_fit
34b-python-fp16,wizardcoder:34b-python-fp16,../sizes/34b-python-fp16.json,no_fit
34b-python-q2-k,wizardcoder:34b-python-q2_K,../sizes/34b-python-q2-k.json,no_fit
34b-python-q3-k-l,wizardcoder:34b-python-q3_K_L,../sizes/34b-python-q3-k-l.json,no_fit
34b-python-q3-k-m,wizardcoder:34b-python-q3_K_M,../sizes/34b-python-q3-k-m.json,no_fit
34b-python-q3-k-s,wizardcoder:34b-python-q3_K_S,../sizes/34b-python-q3-k-s.json,no_fit
34b-python-q4-k-m,wizardcoder:34b-python-q4_K_M,../sizes/34b-python-q4-k-m.json,no_fit
34b-python-q4-k-s,wizardcoder:34b-python-q4_K_S,../sizes/34b-python-q4-k-s.json,no_fit
34b-python-q40,wizardcoder:34b-python-q4_0,../sizes/34b-python-q40.json,no_fit
34b-python-q41,wizardcoder:34b-python-q4_1,../sizes/34b-python-q41.json,no_fit
34b-python-q5-k-m,wizardcoder:34b-python-q5_K_M,../sizes/34b-python-q5-k-m.json,no_fit
34b-python-q5-k-s,wizardcoder:34b-python-q5_K_S,../sizes/34b-python-q5-k-s.json,no_fit
34b-python-q50,wizardcoder:34b-python-q5_0,../sizes/34b-python-q50.json,no_fit
34b-python-q51,wizardcoder:34b-python-q5_1,../sizes/34b-python-q51.json,no_fit
34b-python-q6-k,wizardcoder:34b-python-q6_K,../sizes/34b-python-q6-k.json,no_fit
34b-python-q80,wizardcoder:34b-python-q8_0,../sizes/34b-python-q80.json,no_fit
33b,wizardcoder:33b,../sizes/33b.json,no_fit
33b-v1.1,wizardcoder:33b-v1.1,../sizes/33b-v1.1.json,no_fit
33b-v1.1-fp16,wizardcoder:33b-v1.1-fp16,../sizes/33b-v1.1-fp16.json,no_fit
33b-v1.1-q2-k,wizardcoder:33b-v1.1-q2_K,../sizes/33b-v1.1-q2-k.json,no_fit
33b-v1.1-q3-k-l,wizardcoder:33b-v1.1-q3_K_L,../sizes/33b-v1.1-q3-k-l.json,no_fit
33b-v1.1-q3-k-m,wizardcoder:33b-v1.1-q3_K_M,../sizes/33b-v1.1-q3-k-m.json,no_fit
33b-v1.1-q3-k-s,wizardcoder:33b-v1.1-q3_K_S,../sizes/33b-v1.1-q3-k-s.json,no_fit
33b-v1.1-q4-k-m,wizardcoder:33b-v1.1-q4_K_M,../sizes/33b-v1.1-q4-k-m.json,no_fit
33b-v1.1-q4-k-s,wizardcoder:33b-v1.1-q4_K_S,../sizes/33b-v1.1-q4-k-s.json,no_fit
33b-v1.1-q40,wizardcoder:33b-v1.1-q4_0,../sizes/33b-v1.1-q40.json,no_fit
33b-v1.1-q41,wizardcoder:33b-v1.1-q4_1,../sizes/33b-v1.1-q41.json,no_fit
33b-v1.1-q5-k-m,wizardcoder:33b-v1.1-q5_K_M,../sizes/33b-v1.1-q5-k-m.json,no_fit
33b-v1.1-q5-k-s,wizardcoder:33b-v1.1-q5_K_S,../sizes/33b-v1.1-q5-k-s.json,no_fit
33b-v1.1-q50,wizardcoder:33b-v1.1-q5_0,../sizes/33b-v1.1-q50.json,no_fit
33b-v1.1-q51,wizardcoder:33b-v1.1-q5_1,../sizes/33b-v1.1-q51.json,no_fit
33b-v1.1-q6-k,wizardcoder:33b-v1.1-q6_K,../sizes/33b-v1.1-q6-k.json,no_fit
33b-v1.1-q80,wizardcoder:33b-v1.1-q8_0,../sizes/33b-v1.1-q80.json,no_fit
13b-python,wizardcoder:13b-python,../sizes/13b-python.json,unknown
13b-python-fp16,wizardcoder:13b-python-fp16,../sizes/13b-python-fp16.json,no_fit
13b-python-q2-k,wizardcoder:13b-python-q2_K,../sizes/13b-python-q2-k.json,unknown
13b-python-q3-k-l,wizardcoder:13b-python-q3_K_L,../sizes/13b-python-q3-k-l.json,unknown
13b-python-q3-k-m,wizardcoder:13b-python-q3_K_M,../sizes/13b-python-q3-k-m.json,unknown
13b-python-q3-k-s,wizardcoder:13b-python-q3_K_S,../sizes/13b-python-q3-k-s.json,unknown
13b-python-q4-k-m,wizardcoder:13b-python-q4_K_M,../sizes/13b-python-q4-k-m.json,unknown
13b-python-q4-k-s,wizardcoder:13b-python-q4_K_S,../sizes/13b-python-q4-k-s.json,unknown
13b-python-q40,wizardcoder:13b-python-q4_0,../sizes/13b-python-q40.json,unknown
13b-python-q41,wizardcoder:13b-python-q4_1,../sizes/13b-python-q41.json,unknown
13b-python-q5-k-m,wizardcoder:13b-python-q5_K_M,../sizes/13b-python-q5-k-m.json,unknown
13b-python-q5-k-s,wizardcoder:13b-python-q5_K_S,../sizes/13b-python-q5-k-s.json,unknown
13b-python-q50,wizardcoder:13b-python-q5_0,../sizes/13b-python-q50.json,unknown
13b-python-q51,wizardcoder:13b-python-q5_1,../sizes/13b-python-q51.json,unknown
13b-python-q6-k,wizardcoder:13b-python-q6_K,../sizes/13b-python-q6-k.json,unknown
