size_slug,ollama_ref,size_file
13b,wizardlm-uncensored:13b,sizes/13b.json
13b-llama2,wizardlm-uncensored:13b-llama2,sizes/13b-llama2.json
13b-llama2-fp16,wizardlm-uncensored:13b-llama2-fp16,sizes/13b-llama2-fp16.json
13b-llama2-q2_k,wizardlm-uncensored:13b-llama2-q2_K,sizes/13b-llama2-q2_k.json
13b-llama2-q3_k_l,wizardlm-uncensored:13b-llama2-q3_K_L,sizes/13b-llama2-q3_k_l.json
13b-llama2-q3_k_m,wizardlm-uncensored:13b-llama2-q3_K_M,sizes/13b-llama2-q3_k_m.json
13b-llama2-q3_k_s,wizardlm-uncensored:13b-llama2-q3_K_S,sizes/13b-llama2-q3_k_s.json
13b-llama2-q4_0,wizardlm-uncensored:13b-llama2-q4_0,sizes/13b-llama2-q4_0.json
13b-llama2-q4_1,wizardlm-uncensored:13b-llama2-q4_1,sizes/13b-llama2-q4_1.json
13b-llama2-q4_k_m,wizardlm-uncensored:13b-llama2-q4_K_M,sizes/13b-llama2-q4_k_m.json
13b-llama2-q4_k_s,wizardlm-uncensored:13b-llama2-q4_K_S,sizes/13b-llama2-q4_k_s.json
13b-llama2-q5_0,wizardlm-uncensored:13b-llama2-q5_0,sizes/13b-llama2-q5_0.json
13b-llama2-q5_1,wizardlm-uncensored:13b-llama2-q5_1,sizes/13b-llama2-q5_1.json
13b-llama2-q5_k_m,wizardlm-uncensored:13b-llama2-q5_K_M,sizes/13b-llama2-q5_k_m.json
13b-llama2-q5_k_s,wizardlm-uncensored:13b-llama2-q5_K_S,sizes/13b-llama2-q5_k_s.json
13b-llama2-q6_k,wizardlm-uncensored:13b-llama2-q6_K,sizes/13b-llama2-q6_k.json
13b-llama2-q8_0,wizardlm-uncensored:13b-llama2-q8_0,sizes/13b-llama2-q8_0.json
latest,wizardlm-uncensored:latest,sizes/latest.json
