size_slug,ollama_ref,size_file
70b-llama2-q2-k,wizardlm:70b-llama2-q2_K,sizes/70b-llama2-q2-k.json
70b-llama2-q3-k-l,wizardlm:70b-llama2-q3_K_L,sizes/70b-llama2-q3-k-l.json
70b-llama2-q3-k-m,wizardlm:70b-llama2-q3_K_M,sizes/70b-llama2-q3-k-m.json
70b-llama2-q3-k-s,wizardlm:70b-llama2-q3_K_S,sizes/70b-llama2-q3-k-s.json
70b-llama2-q4-k-m,wizardlm:70b-llama2-q4_K_M,sizes/70b-llama2-q4-k-m.json
70b-llama2-q4-k-s,wizardlm:70b-llama2-q4_K_S,sizes/70b-llama2-q4-k-s.json
70b-llama2-q40,wizardlm:70b-llama2-q4_0,sizes/70b-llama2-q40.json
70b-llama2-q41,wizardlm:70b-llama2-q4_1,sizes/70b-llama2-q41.json
70b-llama2-q5-k-m,wizardlm:70b-llama2-q5_K_M,sizes/70b-llama2-q5-k-m.json
70b-llama2-q5-k-s,wizardlm:70b-llama2-q5_K_S,sizes/70b-llama2-q5-k-s.json
70b-llama2-q50,wizardlm:70b-llama2-q5_0,sizes/70b-llama2-q50.json
70b-llama2-q6-k,wizardlm:70b-llama2-q6_K,sizes/70b-llama2-q6-k.json
70b-llama2-q80,wizardlm:70b-llama2-q8_0,sizes/70b-llama2-q80.json
30b-fp16,wizardlm:30b-fp16,sizes/30b-fp16.json
30b-q2-k,wizardlm:30b-q2_K,sizes/30b-q2-k.json
30b-q3-k-l,wizardlm:30b-q3_K_L,sizes/30b-q3-k-l.json
30b-q3-k-m,wizardlm:30b-q3_K_M,sizes/30b-q3-k-m.json
30b-q3-k-s,wizardlm:30b-q3_K_S,sizes/30b-q3-k-s.json
30b-q4-k-m,wizardlm:30b-q4_K_M,sizes/30b-q4-k-m.json
30b-q4-k-s,wizardlm:30b-q4_K_S,sizes/30b-q4-k-s.json
30b-q40,wizardlm:30b-q4_0,sizes/30b-q40.json
30b-q41,wizardlm:30b-q4_1,sizes/30b-q41.json
30b-q5-k-m,wizardlm:30b-q5_K_M,sizes/30b-q5-k-m.json
30b-q5-k-s,wizardlm:30b-q5_K_S,sizes/30b-q5-k-s.json
30b-q50,wizardlm:30b-q5_0,sizes/30b-q50.json
30b-q51,wizardlm:30b-q5_1,sizes/30b-q51.json
30b-q6-k,wizardlm:30b-q6_K,sizes/30b-q6-k.json
30b-q80,wizardlm:30b-q8_0,sizes/30b-q80.json
13b-fp16,wizardlm:13b-fp16,sizes/13b-fp16.json
13b-llama2-fp16,wizardlm:13b-llama2-fp16,sizes/13b-llama2-fp16.json
13b-llama2-q2-k,wizardlm:13b-llama2-q2_K,sizes/13b-llama2-q2-k.json
13b-llama2-q3-k-l,wizardlm:13b-llama2-q3_K_L,sizes/13b-llama2-q3-k-l.json
13b-llama2-q3-k-m,wizardlm:13b-llama2-q3_K_M,sizes/13b-llama2-q3-k-m.json
13b-llama2-q3-k-s,wizardlm:13b-llama2-q3_K_S,sizes/13b-llama2-q3-k-s.json
13b-llama2-q4-k-m,wizardlm:13b-llama2-q4_K_M,sizes/13b-llama2-q4-k-m.json
13b-llama2-q4-k-s,wizardlm:13b-llama2-q4_K_S,sizes/13b-llama2-q4-k-s.json
13b-llama2-q40,wizardlm:13b-llama2-q4_0,sizes/13b-llama2-q40.json
13b-llama2-q41,wizardlm:13b-llama2-q4_1,sizes/13b-llama2-q41.json
13b-llama2-q5-k-m,wizardlm:13b-llama2-q5_K_M,sizes/13b-llama2-q5-k-m.json
13b-llama2-q5-k-s,wizardlm:13b-llama2-q5_K_S,sizes/13b-llama2-q5-k-s.json
13b-llama2-q50,wizardlm:13b-llama2-q5_0,sizes/13b-llama2-q50.json
13b-llama2-q51,wizardlm:13b-llama2-q5_1,sizes/13b-llama2-q51.json
13b-llama2-q6-k,wizardlm:13b-llama2-q6_K,sizes/13b-llama2-q6-k.json
13b-llama2-q80,wizardlm:13b-llama2-q8_0,sizes/13b-llama2-q80.json
13b-q2-k,wizardlm:13b-q2_K,sizes/13b-q2-k.json
13b-q3-k-l,wizardlm:13b-q3_K_L,sizes/13b-q3-k-l.json
13b-q3-k-m,wizardlm:13b-q3_K_M,sizes/13b-q3-k-m.json
13b-q3-k-s,wizardlm:13b-q3_K_S,sizes/13b-q3-k-s.json
13b-q4-k-m,wizardlm:13b-q4_K_M,sizes/13b-q4-k-m.json
13b-q4-k-s,wizardlm:13b-q4_K_S,sizes/13b-q4-k-s.json
13b-q40,wizardlm:13b-q4_0,sizes/13b-q40.json
13b-q41,wizardlm:13b-q4_1,sizes/13b-q41.json
13b-q5-k-m,wizardlm:13b-q5_K_M,sizes/13b-q5-k-m.json
13b-q5-k-s,wizardlm:13b-q5_K_S,sizes/13b-q5-k-s.json
13b-q50,wizardlm:13b-q5_0,sizes/13b-q50.json
13b-q51,wizardlm:13b-q5_1,sizes/13b-q51.json
13b-q6-k,wizardlm:13b-q6_K,sizes/13b-q6-k.json
13b-q80,wizardlm:13b-q8_0,sizes/13b-q80.json
7b-fp16,wizardlm:7b-fp16,sizes/7b-fp16.json
7b-q2-k,wizardlm:7b-q2_K,sizes/7b-q2-k.json
7b-q3-k-l,wizardlm:7b-q3_K_L,sizes/7b-q3-k-l.json
7b-q3-k-m,wizardlm:7b-q3_K_M,sizes/7b-q3-k-m.json
7b-q3-k-s,wizardlm:7b-q3_K_S,sizes/7b-q3-k-s.json
7b-q4-k-m,wizardlm:7b-q4_K_M,sizes/7b-q4-k-m.json
7b-q4-k-s,wizardlm:7b-q4_K_S,sizes/7b-q4-k-s.json
7b-q40,wizardlm:7b-q4_0,sizes/7b-q40.json
7b-q41,wizardlm:7b-q4_1,sizes/7b-q41.json
7b-q5-k-m,wizardlm:7b-q5_K_M,sizes/7b-q5-k-m.json
7b-q5-k-s,wizardlm:7b-q5_K_S,sizes/7b-q5-k-s.json
7b-q50,wizardlm:7b-q5_0,sizes/7b-q50.json
7b-q51,wizardlm:7b-q5_1,sizes/7b-q51.json
7b-q6-k,wizardlm:7b-q6_K,sizes/7b-q6-k.json
7b-q80,wizardlm:7b-q8_0,sizes/7b-q80.json
