size_slug,size_json_path,ollama_ref
70b-v0.1,profiles/xwinlm/sizes/70b-v0.1.json,xwinlm:70b-v0.1
70b-v0.1-fp16,profiles/xwinlm/sizes/70b-v0.1-fp16.json,xwinlm:70b-v0.1-fp16
70b-v0.1-q2-k,profiles/xwinlm/sizes/70b-v0.1-q2-k.json,xwinlm:70b-v0.1-q2_K
70b-v0.1-q3-k-l,profiles/xwinlm/sizes/70b-v0.1-q3-k-l.json,xwinlm:70b-v0.1-q3_K_L
70b-v0.1-q3-k-m,profiles/xwinlm/sizes/70b-v0.1-q3-k-m.json,xwinlm:70b-v0.1-q3_K_M
70b-v0.1-q3-k-s,profiles/xwinlm/sizes/70b-v0.1-q3-k-s.json,xwinlm:70b-v0.1-q3_K_S
70b-v0.1-q4-k-m,profiles/xwinlm/sizes/70b-v0.1-q4-k-m.json,xwinlm:70b-v0.1-q4_K_M
70b-v0.1-q4-k-s,profiles/xwinlm/sizes/70b-v0.1-q4-k-s.json,xwinlm:70b-v0.1-q4_K_S
70b-v0.1-q40,profiles/xwinlm/sizes/70b-v0.1-q40.json,xwinlm:70b-v0.1-q4_0
70b-v0.1-q41,profiles/xwinlm/sizes/70b-v0.1-q41.json,xwinlm:70b-v0.1-q4_1
70b-v0.1-q5-k-s,profiles/xwinlm/sizes/70b-v0.1-q5-k-s.json,xwinlm:70b-v0.1-q5_K_S
70b-v0.1-q50,profiles/xwinlm/sizes/70b-v0.1-q50.json,xwinlm:70b-v0.1-q5_0
70b-v0.1-q51,profiles/xwinlm/sizes/70b-v0.1-q51.json,xwinlm:70b-v0.1-q5_1
70b-v0.1-q6-k,profiles/xwinlm/sizes/70b-v0.1-q6-k.json,xwinlm:70b-v0.1-q6_K
70b-v0.1-q80,profiles/xwinlm/sizes/70b-v0.1-q80.json,xwinlm:70b-v0.1-q8_0
13b,profiles/xwinlm/sizes/13b.json,xwinlm:13b
13b-v0.1,profiles/xwinlm/sizes/13b-v0.1.json,xwinlm:13b-v0.1
13b-v0.1-fp16,profiles/xwinlm/sizes/13b-v0.1-fp16.json,xwinlm:13b-v0.1-fp16
13b-v0.1-q2-k,profiles/xwinlm/sizes/13b-v0.1-q2-k.json,xwinlm:13b-v0.1-q2_K
13b-v0.1-q3-k-l,profiles/xwinlm/sizes/13b-v0.1-q3-k-l.json,xwinlm:13b-v0.1-q3_K_L
13b-v0.1-q3-k-m,profiles/xwinlm/sizes/13b-v0.1-q3-k-m.json,xwinlm:13b-v0.1-q3_K_M
13b-v0.1-q3-k-s,profiles/xwinlm/sizes/13b-v0.1-q3-k-s.json,xwinlm:13b-v0.1-q3_K_S
13b-v0.1-q4-k-m,profiles/xwinlm/sizes/13b-v0.1-q4-k-m.json,xwinlm:13b-v0.1-q4_K_M
13b-v0.1-q4-k-s,profiles/xwinlm/sizes/13b-v0.1-q4-k-s.json,xwinlm:13b-v0.1-q4_K_S
13b-v0.1-q40,profiles/xwinlm/sizes/13b-v0.1-q40.json,xwinlm:13b-v0.1-q4_0
13b-v0.1-q41,profiles/xwinlm/sizes/13b-v0.1-q41.json,xwinlm:13b-v0.1-q4_1
13b-v0.1-q5-k-m,profiles/xwinlm/sizes/13b-v0.1-q5-k-m.json,xwinlm:13b-v0.1-q5_K_M
13b-v0.1-q5-k-s,profiles/xwinlm/sizes/13b-v0.1-q5-k-s.json,xwinlm:13b-v0.1-q5_K_S
13b-v0.1-q50,profiles/xwinlm/sizes/13b-v0.1-q50.json,xwinlm:13b-v0.1-q5_0
13b-v0.1-q51,profiles/xwinlm/sizes/13b-v0.1-q51.json,xwinlm:13b-v0.1-q5_1
13b-v0.1-q6-k,profiles/xwinlm/sizes/13b-v0.1-q6-k.json,xwinlm:13b-v0.1-q6_K
13b-v0.1-q80,profiles/xwinlm/sizes/13b-v0.1-q80.json,xwinlm:13b-v0.1-q8_0
13b-v0.2,profiles/xwinlm/sizes/13b-v0.2.json,xwinlm:13b-v0.2
13b-v0.2-fp16,profiles/xwinlm/sizes/13b-v0.2-fp16.json,xwinlm:13b-v0.2-fp16
13b-v0.2-q2-k,profiles/xwinlm/sizes/13b-v0.2-q2-k.json,xwinlm:13b-v0.2-q2_K
13b-v0.2-q3-k-l,profiles/xwinlm/sizes/13b-v0.2-q3-k-l.json,xwinlm:13b-v0.2-q3_K_L
13b-v0.2-q3-k-m,profiles/xwinlm/sizes/13b-v0.2-q3-k-m.json,xwinlm:13b-v0.2-q3_K_M
13b-v0.2-q3-k-s,profiles/xwinlm/sizes/13b-v0.2-q3-k-s.json,xwinlm:13b-v0.2-q3_K_S
13b-v0.2-q4-k-m,profiles/xwinlm/sizes/13b-v0.2-q4-k-m.json,xwinlm:13b-v0.2-q4_K_M
13b-v0.2-q4-k-s,profiles/xwinlm/sizes/13b-v0.2-q4-k-s.json,xwinlm:13b-v0.2-q4_K_S
13b-v0.2-q40,profiles/xwinlm/sizes/13b-v0.2-q40.json,xwinlm:13b-v0.2-q4_0
13b-v0.2-q41,profiles/xwinlm/sizes/13b-v0.2-q41.json,xwinlm:13b-v0.2-q4_1
13b-v0.2-q5-k-m,profiles/xwinlm/sizes/13b-v0.2-q5-k-m.json,xwinlm:13b-v0.2-q5_K_M
13b-v0.2-q5-k-s,profiles/xwinlm/sizes/13b-v0.2-q5-k-s.json,xwinlm:13b-v0.2-q5_K_S
13b-v0.2-q50,profiles/xwinlm/sizes/13b-v0.2-q50.json,xwinlm:13b-v0.2-q5_0
