size_slug,ollama_ref,size_file,fit_status
13b,yarn-llama2:13b,../sizes/13b.json,not_listed_in_agents_selection
13b-128k,yarn-llama2:13b-128k,../sizes/13b-128k.json,not_listed_in_agents_selection
13b-128k-fp16,yarn-llama2:13b-128k-fp16,../sizes/13b-128k-fp16.json,not_listed_in_agents_selection
13b-128k-q2_k,yarn-llama2:13b-128k-q2_K,../sizes/13b-128k-q2_k.json,not_listed_in_agents_selection
13b-128k-q3_k_l,yarn-llama2:13b-128k-q3_K_L,../sizes/13b-128k-q3_k_l.json,not_listed_in_agents_selection
13b-128k-q3_k_m,yarn-llama2:13b-128k-q3_K_M,../sizes/13b-128k-q3_k_m.json,not_listed_in_agents_selection
13b-128k-q3_k_s,yarn-llama2:13b-128k-q3_K_S,../sizes/13b-128k-q3_k_s.json,not_listed_in_agents_selection
13b-128k-q4_0,yarn-llama2:13b-128k-q4_0,../sizes/13b-128k-q4_0.json,not_listed_in_agents_selection
13b-128k-q4_1,yarn-llama2:13b-128k-q4_1,../sizes/13b-128k-q4_1.json,not_listed_in_agents_selection
13b-128k-q4_k_m,yarn-llama2:13b-128k-q4_K_M,../sizes/13b-128k-q4_k_m.json,not_listed_in_agents_selection
13b-128k-q4_k_s,yarn-llama2:13b-128k-q4_K_S,../sizes/13b-128k-q4_k_s.json,not_listed_in_agents_selection
13b-128k-q5_0,yarn-llama2:13b-128k-q5_0,../sizes/13b-128k-q5_0.json,not_listed_in_agents_selection
13b-128k-q5_1,yarn-llama2:13b-128k-q5_1,../sizes/13b-128k-q5_1.json,not_listed_in_agents_selection
13b-128k-q5_k_m,yarn-llama2:13b-128k-q5_K_M,../sizes/13b-128k-q5_k_m.json,not_listed_in_agents_selection
13b-128k-q5_k_s,yarn-llama2:13b-128k-q5_K_S,../sizes/13b-128k-q5_k_s.json,not_listed_in_agents_selection
13b-128k-q6_k,yarn-llama2:13b-128k-q6_K,../sizes/13b-128k-q6_k.json,not_listed_in_agents_selection
13b-128k-q8_0,yarn-llama2:13b-128k-q8_0,../sizes/13b-128k-q8_0.json,not_listed_in_agents_selection
13b-64k,yarn-llama2:13b-64k,../sizes/13b-64k.json,not_listed_in_agents_selection
13b-64k-fp16,yarn-llama2:13b-64k-fp16,../sizes/13b-64k-fp16.json,not_listed_in_agents_selection
13b-64k-q2_k,yarn-llama2:13b-64k-q2_K,../sizes/13b-64k-q2_k.json,not_listed_in_agents_selection
13b-64k-q3_k_l,yarn-llama2:13b-64k-q3_K_L,../sizes/13b-64k-q3_k_l.json,not_listed_in_agents_selection
13b-64k-q3_k_m,yarn-llama2:13b-64k-q3_K_M,../sizes/13b-64k-q3_k_m.json,not_listed_in_agents_selection
13b-64k-q3_k_s,yarn-llama2:13b-64k-q3_K_S,../sizes/13b-64k-q3_k_s.json,not_listed_in_agents_selection
13b-64k-q4_0,yarn-llama2:13b-64k-q4_0,../sizes/13b-64k-q4_0.json,not_listed_in_agents_selection
13b-64k-q4_1,yarn-llama2:13b-64k-q4_1,../sizes/13b-64k-q4_1.json,not_listed_in_agents_selection
13b-64k-q4_k_m,yarn-llama2:13b-64k-q4_K_M,../sizes/13b-64k-q4_k_m.json,not_listed_in_agents_selection
13b-64k-q4_k_s,yarn-llama2:13b-64k-q4_K_S,../sizes/13b-64k-q4_k_s.json,not_listed_in_agents_selection
13b-64k-q5_0,yarn-llama2:13b-64k-q5_0,../sizes/13b-64k-q5_0.json,not_listed_in_agents_selection
13b-64k-q5_1,yarn-llama2:13b-64k-q5_1,../sizes/13b-64k-q5_1.json,not_listed_in_agents_selection
13b-64k-q5_k_m,yarn-llama2:13b-64k-q5_K_M,../sizes/13b-64k-q5_k_m.json,not_listed_in_agents_selection
13b-64k-q5_k_s,yarn-llama2:13b-64k-q5_K_S,../sizes/13b-64k-q5_k_s.json,not_listed_in_agents_selection
13b-64k-q6_k,yarn-llama2:13b-64k-q6_K,../sizes/13b-64k-q6_k.json,not_listed_in_agents_selection
13b-64k-q8_0,yarn-llama2:13b-64k-q8_0,../sizes/13b-64k-q8_0.json,not_listed_in_agents_selection
