size_slug,size_json_path,ollama_ref
13b,profiles/yarn-llama2/sizes/13b.json,yarn-llama2:13b
13b128k,profiles/yarn-llama2/sizes/13b128k.json,yarn-llama2:13b-128k
13b128k-fp16,profiles/yarn-llama2/sizes/13b128k-fp16.json,yarn-llama2:13b-128k-fp16
13b128k-q2-k,profiles/yarn-llama2/sizes/13b128k-q2-k.json,yarn-llama2:13b-128k-q2_K
13b128k-q3-k-l,profiles/yarn-llama2/sizes/13b128k-q3-k-l.json,yarn-llama2:13b-128k-q3_K_L
13b128k-q3-k-m,profiles/yarn-llama2/sizes/13b128k-q3-k-m.json,yarn-llama2:13b-128k-q3_K_M
13b128k-q3-k-s,profiles/yarn-llama2/sizes/13b128k-q3-k-s.json,yarn-llama2:13b-128k-q3_K_S
13b128k-q4-k-m,profiles/yarn-llama2/sizes/13b128k-q4-k-m.json,yarn-llama2:13b-128k-q4_K_M
13b128k-q4-k-s,profiles/yarn-llama2/sizes/13b128k-q4-k-s.json,yarn-llama2:13b-128k-q4_K_S
13b128k-q40,profiles/yarn-llama2/sizes/13b128k-q40.json,yarn-llama2:13b-128k-q4_0
13b128k-q41,profiles/yarn-llama2/sizes/13b128k-q41.json,yarn-llama2:13b-128k-q4_1
13b128k-q5-k-m,profiles/yarn-llama2/sizes/13b128k-q5-k-m.json,yarn-llama2:13b-128k-q5_K_M
13b128k-q5-k-s,profiles/yarn-llama2/sizes/13b128k-q5-k-s.json,yarn-llama2:13b-128k-q5_K_S
13b128k-q50,profiles/yarn-llama2/sizes/13b128k-q50.json,yarn-llama2:13b-128k-q5_0
13b128k-q51,profiles/yarn-llama2/sizes/13b128k-q51.json,yarn-llama2:13b-128k-q5_1
13b128k-q6-k,profiles/yarn-llama2/sizes/13b128k-q6-k.json,yarn-llama2:13b-128k-q6_K
13b128k-q80,profiles/yarn-llama2/sizes/13b128k-q80.json,yarn-llama2:13b-128k-q8_0
13b64k,profiles/yarn-llama2/sizes/13b64k.json,yarn-llama2:13b-64k
13b64k-fp16,profiles/yarn-llama2/sizes/13b64k-fp16.json,yarn-llama2:13b-64k-fp16
13b64k-q2-k,profiles/yarn-llama2/sizes/13b64k-q2-k.json,yarn-llama2:13b-64k-q2_K
13b64k-q3-k-l,profiles/yarn-llama2/sizes/13b64k-q3-k-l.json,yarn-llama2:13b-64k-q3_K_L
