size_slug,ollama_ref,size_file,fit_status
7b,yarn-mistral:7b,../sizes/7b.json,unknown
7b128k,yarn-mistral:7b-128k,../sizes/7b128k.json,unknown
7b128k-fp16,yarn-mistral:7b-128k-fp16,../sizes/7b128k-fp16.json,no_fit
7b128k-q2-k,yarn-mistral:7b-128k-q2_K,../sizes/7b128k-q2-k.json,unknown
7b128k-q3-k-l,yarn-mistral:7b-128k-q3_K_L,../sizes/7b128k-q3-k-l.json,unknown
7b128k-q3-k-m,yarn-mistral:7b-128k-q3_K_M,../sizes/7b128k-q3-k-m.json,unknown
7b128k-q3-k-s,yarn-mistral:7b-128k-q3_K_S,../sizes/7b128k-q3-k-s.json,unknown
7b128k-q4-k-m,yarn-mistral:7b-128k-q4_K_M,../sizes/7b128k-q4-k-m.json,unknown
7b128k-q4-k-s,yarn-mistral:7b-128k-q4_K_S,../sizes/7b128k-q4-k-s.json,unknown
7b128k-q40,yarn-mistral:7b-128k-q4_0,../sizes/7b128k-q40.json,unknown
7b128k-q41,yarn-mistral:7b-128k-q4_1,../sizes/7b128k-q41.json,unknown
7b128k-q5-k-m,yarn-mistral:7b-128k-q5_K_M,../sizes/7b128k-q5-k-m.json,unknown
7b128k-q5-k-s,yarn-mistral:7b-128k-q5_K_S,../sizes/7b128k-q5-k-s.json,unknown
7b128k-q50,yarn-mistral:7b-128k-q5_0,../sizes/7b128k-q50.json,unknown
7b128k-q51,yarn-mistral:7b-128k-q5_1,../sizes/7b128k-q51.json,unknown
7b128k-q6-k,yarn-mistral:7b-128k-q6_K,../sizes/7b128k-q6-k.json,no_fit
7b128k-q80,yarn-mistral:7b-128k-q8_0,../sizes/7b128k-q80.json,no_fit
7b64k,yarn-mistral:7b-64k,../sizes/7b64k.json,unknown
7b64k-q2-k,yarn-mistral:7b-64k-q2_K,../sizes/7b64k-q2-k.json,unknown
7b64k-q3-k-l,yarn-mistral:7b-64k-q3_K_L,../sizes/7b64k-q3-k-l.json,unknown
7b64k-q3-k-m,yarn-mistral:7b-64k-q3_K_M,../sizes/7b64k-q3-k-m.json,unknown
7b64k-q3-k-s,yarn-mistral:7b-64k-q3_K_S,../sizes/7b64k-q3-k-s.json,unknown
7b64k-q4-k-m,yarn-mistral:7b-64k-q4_K_M,../sizes/7b64k-q4-k-m.json,unknown
7b64k-q4-k-s,yarn-mistral:7b-64k-q4_K_S,../sizes/7b64k-q4-k-s.json,unknown
7b64k-q40,yarn-mistral:7b-64k-q4_0,../sizes/7b64k-q40.json,unknown
7b64k-q41,yarn-mistral:7b-64k-q4_1,../sizes/7b64k-q41.json,unknown
7b64k-q5-k-m,yarn-mistral:7b-64k-q5_K_M,../sizes/7b64k-q5-k-m.json,unknown
7b64k-q5-k-s,yarn-mistral:7b-64k-q5_K_S,../sizes/7b64k-q5-k-s.json,unknown
7b64k-q50,yarn-mistral:7b-64k-q5_0,../sizes/7b64k-q50.json,unknown
7b64k-q51,yarn-mistral:7b-64k-q5_1,../sizes/7b64k-q51.json,unknown
7b64k-q6-k,yarn-mistral:7b-64k-q6_K,../sizes/7b64k-q6-k.json,no_fit
7b64k-q80,yarn-mistral:7b-64k-q8_0,../sizes/7b64k-q80.json,no_fit
latest,yarn-mistral:latest,../sizes/latest.json,unknown
