size_slug,ollama_ref,size_file
9b,yi-coder:9b,sizes/9b.json
9b-base,yi-coder:9b-base,sizes/9b-base.json
9b-base-fp16,yi-coder:9b-base-fp16,sizes/9b-base-fp16.json
9b-base-q2_k,yi-coder:9b-base-q2_K,sizes/9b-base-q2_k.json
9b-base-q3_k_l,yi-coder:9b-base-q3_K_L,sizes/9b-base-q3_k_l.json
9b-base-q3_k_m,yi-coder:9b-base-q3_K_M,sizes/9b-base-q3_k_m.json
9b-base-q3_k_s,yi-coder:9b-base-q3_K_S,sizes/9b-base-q3_k_s.json
9b-base-q4_0,yi-coder:9b-base-q4_0,sizes/9b-base-q4_0.json
9b-base-q4_1,yi-coder:9b-base-q4_1,sizes/9b-base-q4_1.json
9b-base-q4_k_m,yi-coder:9b-base-q4_K_M,sizes/9b-base-q4_k_m.json
9b-base-q4_k_s,yi-coder:9b-base-q4_K_S,sizes/9b-base-q4_k_s.json
9b-base-q5_0,yi-coder:9b-base-q5_0,sizes/9b-base-q5_0.json
9b-base-q5_1,yi-coder:9b-base-q5_1,sizes/9b-base-q5_1.json
9b-base-q5_k_m,yi-coder:9b-base-q5_K_M,sizes/9b-base-q5_k_m.json
9b-base-q5_k_s,yi-coder:9b-base-q5_K_S,sizes/9b-base-q5_k_s.json
9b-base-q6_k,yi-coder:9b-base-q6_K,sizes/9b-base-q6_k.json
9b-base-q8_0,yi-coder:9b-base-q8_0,sizes/9b-base-q8_0.json
9b-chat,yi-coder:9b-chat,sizes/9b-chat.json
9b-chat-fp16,yi-coder:9b-chat-fp16,sizes/9b-chat-fp16.json
9b-chat-q2_k,yi-coder:9b-chat-q2_K,sizes/9b-chat-q2_k.json
9b-chat-q3_k_l,yi-coder:9b-chat-q3_K_L,sizes/9b-chat-q3_k_l.json
9b-chat-q3_k_m,yi-coder:9b-chat-q3_K_M,sizes/9b-chat-q3_k_m.json
9b-chat-q3_k_s,yi-coder:9b-chat-q3_K_S,sizes/9b-chat-q3_k_s.json
9b-chat-q4_0,yi-coder:9b-chat-q4_0,sizes/9b-chat-q4_0.json
9b-chat-q4_1,yi-coder:9b-chat-q4_1,sizes/9b-chat-q4_1.json
9b-chat-q4_k_m,yi-coder:9b-chat-q4_K_M,sizes/9b-chat-q4_k_m.json
9b-chat-q4_k_s,yi-coder:9b-chat-q4_K_S,sizes/9b-chat-q4_k_s.json
9b-chat-q5_0,yi-coder:9b-chat-q5_0,sizes/9b-chat-q5_0.json
9b-chat-q5_1,yi-coder:9b-chat-q5_1,sizes/9b-chat-q5_1.json
9b-chat-q5_k_m,yi-coder:9b-chat-q5_K_M,sizes/9b-chat-q5_k_m.json
9b-chat-q5_k_s,yi-coder:9b-chat-q5_K_S,sizes/9b-chat-q5_k_s.json
9b-chat-q6_k,yi-coder:9b-chat-q6_K,sizes/9b-chat-q6_k.json
9b-chat-q8_0,yi-coder:9b-chat-q8_0,sizes/9b-chat-q8_0.json
latest,yi-coder:latest,sizes/latest.json
