size_slug,size_json_path,ollama_ref
34b,profiles/yi/sizes/34b.json,yi:34b
34b-chat,profiles/yi/sizes/34b-chat.json,yi:34b-chat
34b-chat-fp16,profiles/yi/sizes/34b-chat-fp16.json,yi:34b-chat-fp16
34b-chat-q2-k,profiles/yi/sizes/34b-chat-q2-k.json,yi:34b-chat-q2_K
34b-chat-q3-k-l,profiles/yi/sizes/34b-chat-q3-k-l.json,yi:34b-chat-q3_K_L
34b-chat-q3-k-m,profiles/yi/sizes/34b-chat-q3-k-m.json,yi:34b-chat-q3_K_M
34b-chat-q3-k-s,profiles/yi/sizes/34b-chat-q3-k-s.json,yi:34b-chat-q3_K_S
34b-chat-q4-k-m,profiles/yi/sizes/34b-chat-q4-k-m.json,yi:34b-chat-q4_K_M
34b-chat-q4-k-s,profiles/yi/sizes/34b-chat-q4-k-s.json,yi:34b-chat-q4_K_S
34b-chat-q40,profiles/yi/sizes/34b-chat-q40.json,yi:34b-chat-q4_0
34b-chat-q41,profiles/yi/sizes/34b-chat-q41.json,yi:34b-chat-q4_1
34b-chat-q5-k-m,profiles/yi/sizes/34b-chat-q5-k-m.json,yi:34b-chat-q5_K_M
34b-chat-q5-k-s,profiles/yi/sizes/34b-chat-q5-k-s.json,yi:34b-chat-q5_K_S
34b-chat-q50,profiles/yi/sizes/34b-chat-q50.json,yi:34b-chat-q5_0
34b-chat-q51,profiles/yi/sizes/34b-chat-q51.json,yi:34b-chat-q5_1
34b-chat-q6-k,profiles/yi/sizes/34b-chat-q6-k.json,yi:34b-chat-q6_K
34b-chat-q80,profiles/yi/sizes/34b-chat-q80.json,yi:34b-chat-q8_0
34b-chat-v1.5-fp16,profiles/yi/sizes/34b-chat-v1.5-fp16.json,yi:34b-chat-v1.5-fp16
34b-chat-v1.5-q2-k,profiles/yi/sizes/34b-chat-v1.5-q2-k.json,yi:34b-chat-v1.5-q2_K
34b-chat-v1.5-q3-k-l,profiles/yi/sizes/34b-chat-v1.5-q3-k-l.json,yi:34b-chat-v1.5-q3_K_L
34b-chat-v1.5-q3-k-m,profiles/yi/sizes/34b-chat-v1.5-q3-k-m.json,yi:34b-chat-v1.5-q3_K_M
34b-chat-v1.5-q3-k-s,profiles/yi/sizes/34b-chat-v1.5-q3-k-s.json,yi:34b-chat-v1.5-q3_K_S
34b-chat-v1.5-q4-k-m,profiles/yi/sizes/34b-chat-v1.5-q4-k-m.json,yi:34b-chat-v1.5-q4_K_M
34b-chat-v1.5-q4-k-s,profiles/yi/sizes/34b-chat-v1.5-q4-k-s.json,yi:34b-chat-v1.5-q4_K_S
34b-chat-v1.5-q40,profiles/yi/sizes/34b-chat-v1.5-q40.json,yi:34b-chat-v1.5-q4_0
34b-chat-v1.5-q41,profiles/yi/sizes/34b-chat-v1.5-q41.json,yi:34b-chat-v1.5-q4_1
34b-chat-v1.5-q5-k-m,profiles/yi/sizes/34b-chat-v1.5-q5-k-m.json,yi:34b-chat-v1.5-q5_K_M
34b-chat-v1.5-q5-k-s,profiles/yi/sizes/34b-chat-v1.5-q5-k-s.json,yi:34b-chat-v1.5-q5_K_S
34b-chat-v1.5-q50,profiles/yi/sizes/34b-chat-v1.5-q50.json,yi:34b-chat-v1.5-q5_0
34b-chat-v1.5-q51,profiles/yi/sizes/34b-chat-v1.5-q51.json,yi:34b-chat-v1.5-q5_1
