size_slug,size_json_path,ollama_ref
141b,profiles/zephyr/sizes/141b.json,zephyr:141b
141b-v0.1,profiles/zephyr/sizes/141b-v0.1.json,zephyr:141b-v0.1
141b-v0.1-fp16,profiles/zephyr/sizes/141b-v0.1-fp16.json,zephyr:141b-v0.1-fp16
141b-v0.1-q2-k,profiles/zephyr/sizes/141b-v0.1-q2-k.json,zephyr:141b-v0.1-q2_K
141b-v0.1-q40,profiles/zephyr/sizes/141b-v0.1-q40.json,zephyr:141b-v0.1-q4_0
141b-v0.1-q80,profiles/zephyr/sizes/141b-v0.1-q80.json,zephyr:141b-v0.1-q8_0
7b,profiles/zephyr/sizes/7b.json,zephyr:7b
7b-alpha,profiles/zephyr/sizes/7b-alpha.json,zephyr:7b-alpha
7b-alpha-fp16,profiles/zephyr/sizes/7b-alpha-fp16.json,zephyr:7b-alpha-fp16
7b-alpha-q2-k,profiles/zephyr/sizes/7b-alpha-q2-k.json,zephyr:7b-alpha-q2_K
7b-alpha-q3-k-l,profiles/zephyr/sizes/7b-alpha-q3-k-l.json,zephyr:7b-alpha-q3_K_L
7b-alpha-q3-k-m,profiles/zephyr/sizes/7b-alpha-q3-k-m.json,zephyr:7b-alpha-q3_K_M
7b-alpha-q3-k-s,profiles/zephyr/sizes/7b-alpha-q3-k-s.json,zephyr:7b-alpha-q3_K_S
7b-alpha-q4-k-m,profiles/zephyr/sizes/7b-alpha-q4-k-m.json,zephyr:7b-alpha-q4_K_M
7b-alpha-q4-k-s,profiles/zephyr/sizes/7b-alpha-q4-k-s.json,zephyr:7b-alpha-q4_K_S
7b-alpha-q40,profiles/zephyr/sizes/7b-alpha-q40.json,zephyr:7b-alpha-q4_0
7b-alpha-q41,profiles/zephyr/sizes/7b-alpha-q41.json,zephyr:7b-alpha-q4_1
7b-alpha-q5-k-m,profiles/zephyr/sizes/7b-alpha-q5-k-m.json,zephyr:7b-alpha-q5_K_M
7b-alpha-q5-k-s,profiles/zephyr/sizes/7b-alpha-q5-k-s.json,zephyr:7b-alpha-q5_K_S
7b-alpha-q50,profiles/zephyr/sizes/7b-alpha-q50.json,zephyr:7b-alpha-q5_0
7b-alpha-q51,profiles/zephyr/sizes/7b-alpha-q51.json,zephyr:7b-alpha-q5_1
7b-alpha-q6-k,profiles/zephyr/sizes/7b-alpha-q6-k.json,zephyr:7b-alpha-q6_K
7b-alpha-q80,profiles/zephyr/sizes/7b-alpha-q80.json,zephyr:7b-alpha-q8_0
7b-beta,profiles/zephyr/sizes/7b-beta.json,zephyr:7b-beta
7b-beta-fp16,profiles/zephyr/sizes/7b-beta-fp16.json,zephyr:7b-beta-fp16
7b-beta-q2-k,profiles/zephyr/sizes/7b-beta-q2-k.json,zephyr:7b-beta-q2_K
7b-beta-q3-k-l,profiles/zephyr/sizes/7b-beta-q3-k-l.json,zephyr:7b-beta-q3_K_L
7b-beta-q3-k-m,profiles/zephyr/sizes/7b-beta-q3-k-m.json,zephyr:7b-beta-q3_K_M
7b-beta-q3-k-s,profiles/zephyr/sizes/7b-beta-q3-k-s.json,zephyr:7b-beta-q3_K_S
7b-beta-q4-k-m,profiles/zephyr/sizes/7b-beta-q4-k-m.json,zephyr:7b-beta-q4_K_M
7b-beta-q4-k-s,profiles/zephyr/sizes/7b-beta-q4-k-s.json,zephyr:7b-beta-q4_K_S
7b-beta-q40,profiles/zephyr/sizes/7b-beta-q40.json,zephyr:7b-beta-q4_0
7b-beta-q41,profiles/zephyr/sizes/7b-beta-q41.json,zephyr:7b-beta-q4_1
7b-beta-q5-k-m,profiles/zephyr/sizes/7b-beta-q5-k-m.json,zephyr:7b-beta-q5_K_M
7b-beta-q5-k-s,profiles/zephyr/sizes/7b-beta-q5-k-s.json,zephyr:7b-beta-q5_K_S
7b-beta-q50,profiles/zephyr/sizes/7b-beta-q50.json,zephyr:7b-beta-q5_0
7b-beta-q51,profiles/zephyr/sizes/7b-beta-q51.json,zephyr:7b-beta-q5_1
7b-beta-q6-k,profiles/zephyr/sizes/7b-beta-q6-k.json,zephyr:7b-beta-q6_K
7b-beta-q80,profiles/zephyr/sizes/7b-beta-q80.json,zephyr:7b-beta-q8_0
latest,profiles/zephyr/sizes/latest.json,zephyr:latest
